Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ202106S,TSG,2021-04-23T03:39:00Z,-149.4182,60.0824,175.04,7.9,150.84,151.31,0.52,0.61,-0.0,1018.2,7.0,71.0,161.8,13.3,367.75,63.32,250.47
SKQ202106S,TSG,2021-04-23T03:40:00Z,-149.416,60.0805,181.65,8.3,150.77,151.3,0.51,0.6,0.0,1018.2,6.9,71.7,159.7,13.2,367.2,62.34,247.19
SKQ202106S,TSG,2021-04-23T03:41:00Z,-149.4137,60.0784,189.15,8.5,150.86,151.28,0.5,0.6,0.0,1018.2,6.9,71.9,161.1,12.7,366.71,61.58,244.55
SKQ202106S,TSG,2021-04-23T03:42:00Z,-149.4114,60.0764,196.39,8.6,150.71,151.19,0.49,0.6,-0.0,1018.2,6.9,72.3,161.3,12.4,366.77,60.92,242.09
SKQ202106S,TSG,2021-04-23T03:43:00Z,-149.4091,60.0743,204.48,8.7,150.59,151.31,0.47,0.6,0.01,1018.2,7.0,71.3,165.3,12.3,367.07,60.01,239.21
SKQ202106S,TSG,2021-04-23T03:44:00Z,-149.4067,60.0722,214.48,8.9,150.6,151.44,0.48,0.6,0.0,1018.2,7.0,71.1,163.5,12.0,366.88,59.04,236.48
SKQ202106S,TSG,2021-04-23T03:45:00Z,-149.4043,60.07,228.14,9.0,151.19,152.03,0.5,0.6,0.0,1018.2,7.0,71.2,162.3,11.6,367.14,57.91,233.57
SKQ202106S,TSG,2021-04-23T03:46:00Z,-149.4019,60.0678,238.98,9.0,151.3,152.01,0.51,0.6,0.0,1018.2,7.0,71.7,163.6,10.9,367.65,56.52,229.75
SKQ202106S,TSG,2021-04-23T03:47:00Z,-149.3995,60.0656,248.35,9.0,151.7,152.49,0.5,0.61,0.0,1018.2,7.0,70.8,160.5,10.7,368.58,54.89,225.36
SKQ202106S,TSG,2021-04-23T03:48:00Z,-149.3972,60.0634,251.74,9.0,152.67,153.31,0.52,0.6,-0.0,1018.2,6.9,72.2,156.9,11.3,369.09,53.19,220.91
SKQ202106S,TSG,2021-04-23T03:49:00Z,-149.3949,60.0612,246.1,9.0,152.95,153.35,0.54,0.6,-0.0,1018.2,6.8,72.7,156.7,11.7,368.94,51.23,215.68
SKQ202106S,TSG,2021-04-23T03:50:00Z,-149.3926,60.059,236.18,9.0,153.0,153.27,0.57,0.61,-0.0,1018.22,6.9,72.2,156.8,11.8,368.84,49.44,210.29
SKQ202106S,TSG,2021-04-23T03:51:00Z,-149.3904,60.0567,232.42,9.0,153.08,153.43,0.56,0.6,0.0,1018.21,7.0,70.5,156.2,11.0,368.95,47.95,205.49
SKQ202106S,TSG,2021-04-23T03:52:00Z,-149.3881,60.0545,224.45,9.0,153.5,153.95,0.48,0.6,0.0,1018.25,6.9,71.3,157.6,9.8,368.47,46.75,201.21
SKQ202106S,TSG,2021-04-23T03:53:00Z,-149.386,60.0523,209.03,9.0,156.23,156.22,0.54,0.6,0.0,1018.22,6.9,71.9,153.3,10.9,368.13,45.77,197.6
SKQ202106S,TSG,2021-04-23T03:54:00Z,-149.384,60.05,219.9,8.9,156.26,155.63,0.61,0.61,0.0,1018.2,6.9,70.5,150.1,11.6,368.97,44.5,193.14
SKQ202106S,TSG,2021-04-23T03:55:00Z,-149.3819,60.0477,237.52,8.9,153.61,153.17,0.61,0.61,-0.0,1018.2,7.0,70.1,154.2,10.2,369.52,43.15,188.31
SKQ202106S,TSG,2021-04-23T03:56:00Z,-149.3797,60.0455,272.56,8.9,152.62,152.34,0.6,0.6,0.0,1018.2,7.0,71.2,150.4,9.5,369.44,42.02,184.08
SKQ202106S,TSG,2021-04-23T03:57:00Z,-149.3774,60.0433,291.11,8.9,152.49,152.31,0.58,0.61,-0.0,1018.19,6.9,71.7,144.0,9.8,369.88,41.45,181.28
SKQ202106S,TSG,2021-04-23T03:58:00Z,-149.3751,60.0412,292.08,8.9,152.28,152.34,0.63,0.61,0.01,1018.2,6.9,72.0,146.3,10.5,370.31,40.76,178.24
SKQ202106S,TSG,2021-04-23T03:59:00Z,-149.3728,60.039,291.88,8.9,152.15,152.48,0.65,0.61,0.0,1018.21,6.9,72.0,151.2,10.1,370.8,39.92,174.75
SKQ202106S,TSG,2021-04-23T04:00:00Z,-149.3705,60.0368,291.52,8.8,152.1,152.36,0.62,0.6,0.0,1018.21,6.9,71.8,150.5,10.8,370.46,39.05,171.19
SKQ202106S,TSG,2021-04-23T04:01:00Z,-149.3683,60.0347,292.07,8.0,151.71,152.12,0.61,0.58,-0.0,1018.23,6.8,72.2,155.7,10.9,370.26,38.26,167.92
SKQ202106S,TSG,2021-04-23T04:02:00Z,-149.3663,60.0329,291.7,7.0,151.45,152.31,0.56,0.61,0.01,1018.27,6.8,72.7,157.2,9.6,371.21,37.31,164.57
SKQ202106S,TSG,2021-04-23T04:03:00Z,-149.3647,60.0314,291.65,5.8,151.16,152.08,0.53,0.63,0.01,1018.3,6.7,73.3,151.7,9.3,372.75,36.04,160.84
SKQ202106S,TSG,2021-04-23T04:04:00Z,-149.3632,60.03,291.93,5.4,150.93,151.86,0.56,0.61,0.0,1018.27,6.7,73.1,149.8,10.2,373.71,34.58,156.89
SKQ202106S,TSG,2021-04-23T04:05:00Z,-149.3618,60.0288,291.85,4.5,152.54,154.54,0.55,0.63,0.0,1018.29,6.7,73.4,147.5,9.1,374.26,33.38,153.29
SKQ202106S,TSG,2021-04-23T04:06:00Z,-149.3608,60.0278,292.17,3.8,154.61,156.14,0.58,0.63,0.0,1018.29,6.7,73.3,143.5,9.5,374.45,32.38,149.79
SKQ202106S,TSG,2021-04-23T04:07:00Z,-149.3601,60.0269,292.05,3.0,158.16,157.74,0.65,0.6,0.0,1018.29,6.7,73.3,138.4,9.6,374.4,31.33,146.23
SKQ202106S,TSG,2021-04-23T04:08:00Z,-149.3596,60.0263,292.83,2.0,157.31,156.34,0.67,0.58,0.0,1018.31,6.7,73.4,134.2,9.8,374.44,30.36,142.99
SKQ202106S,TSG,2021-04-23T04:09:00Z,-149.3592,60.0259,292.8,1.1,160.72,154.07,0.69,0.6,0.01,1018.29,6.6,73.5,130.9,9.4,374.47,29.52,140.26
SKQ202106S,TSG,2021-04-23T04:10:00Z,-149.3591,60.0257,293.46,0.6,156.22,148.58,0.69,0.58,0.0,1018.31,6.6,73.7,135.6,9.2,374.21,28.75,137.76
SKQ202106S,TSG,2021-04-23T04:11:00Z,-149.3589,60.0256,293.2,0.4,130.04,144.21,0.68,0.59,-0.0,1018.33,6.6,74.0,140.8,8.7,374.71,28.21,135.72
SKQ202106S,TSG,2021-04-23T04:12:00Z,-149.3588,60.0255,293.33,0.4,127.38,145.08,0.67,0.58,0.0,1018.32,6.6,73.8,138.2,8.7,374.4,27.91,134.28
SKQ202106S,TSG,2021-04-23T04:13:00Z,-149.3586,60.0254,294.07,0.4,133.71,139.29,0.67,0.59,0.0,1018.32,6.6,74.1,144.7,8.5,373.63,27.55,132.66
SKQ202106S,TSG,2021-04-23T04:14:00Z,-149.3585,60.0254,294.26,0.2,37.51,134.88,0.6,0.59,0.01,1018.34,6.6,74.6,158.2,9.3,373.1,27.23,131.11
SKQ202106S,TSG,2021-04-23T04:15:00Z,-149.3584,60.0255,294.42,0.2,45.81,135.3,0.58,0.58,0.0,1018.34,6.5,75.6,153.6,9.2,372.86,26.61,129.43
SKQ202106S,TSG,2021-04-23T04:16:00Z,-149.3583,60.0255,293.48,0.1,52.89,135.6,0.49,0.58,0.0,1018.33,6.5,74.9,147.6,10.1,373.12,25.93,127.69
SKQ202106S,TSG,2021-04-23T04:17:00Z,-149.3583,60.0255,294.61,0.0,227.99,134.88,0.52,0.59,0.0,1018.33,6.6,74.7,151.7,10.1,373.1,25.3,125.88
SKQ202106S,TSG,2021-04-23T04:18:00Z,-149.3583,60.0255,293.42,0.0,225.59,134.17,0.41,0.57,0.0,1018.32,6.6,74.3,156.3,10.0,372.96,24.9,124.36
SKQ202106S,TSG,2021-04-23T04:19:00Z,-149.3583,60.0255,292.73,0.0,240.04,134.07,0.5,0.58,-0.0,1018.32,6.6,74.1,150.4,9.3,372.79,24.44,122.94
SKQ202106S,TSG,2021-04-23T04:20:00Z,-149.3584,60.0255,293.89,0.1,216.16,134.15,0.58,0.6,0.01,1018.33,6.6,73.5,154.5,10.6,372.8,24.09,121.72
SKQ202106S,TSG,2021-04-23T04:21:00Z,-149.3584,60.0255,293.41,0.1,236.14,133.85,0.46,0.58,0.0,1018.37,6.6,73.1,153.4,10.8,373.0,23.86,120.81
SKQ202106S,TSG,2021-04-23T04:22:00Z,-149.3584,60.0254,293.85,0.0,28.63,128.0,0.81,0.6,-0.0,1018.33,6.6,73.7,163.6,9.4,373.01,23.86,120.29
SKQ202106S,TSG,2021-04-23T04:23:00Z,-149.3584,60.0255,293.12,0.3,41.72,128.71,0.94,0.61,0.01,1018.34,6.6,73.9,159.8,9.8,372.78,24.17,120.47
SKQ202106S,TSG,2021-04-23T04:24:00Z,-149.3583,60.0255,292.8,0.2,36.56,130.2,0.96,0.61,0.0,1018.33,6.6,74.1,164.6,10.7,372.17,24.53,120.61
SKQ202106S,TSG,2021-04-23T04:25:00Z,-149.3582,60.0256,292.53,0.1,40.33,130.33,0.96,0.61,0.01,1018.33,6.5,74.6,169.7,9.7,371.62,24.88,120.75
SKQ202106S,TSG,2021-04-23T04:26:00Z,-149.3582,60.0256,293.06,0.0,222.74,130.04,0.85,0.61,0.0,1018.35,6.5,75.6,170.6,9.3,371.69,25.0,120.65
SKQ202106S,TSG,2021-04-23T04:27:00Z,-149.3582,60.0256,292.35,0.1,223.0,129.24,0.95,0.61,-0.0,1018.36,6.5,76.4,169.1,9.6,371.7,24.93,119.92
SKQ202106S,TSG,2021-04-23T04:28:00Z,-149.3583,60.0255,292.71,0.0,219.93,127.35,0.94,0.6,0.0,1018.34,6.5,75.8,162.4,9.8,372.06,24.6,118.75
