Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ201915S,TSG,2019-06-29T18:13:00Z,-149.3576,60.0247,293.27,0.0,209.82,351.55,0.39,0.55,0.0,1020.42,17.9,74.4,165.9,2.3,351.25,364.95,1103.6
SKQ201915S,TSG,2019-06-29T18:14:00Z,-149.3576,60.0247,293.28,0.0,182.24,351.56,0.4,0.55,-0.0,1020.42,17.8,75.5,177.6,2.0,351.36,368.72,1112.66
SKQ201915S,TSG,2019-06-29T18:15:00Z,-149.3576,60.0247,293.41,0.0,199.96,351.56,0.4,0.55,-0.0,1020.4,17.6,75.8,161.2,2.7,352.81,371.81,1119.42
SKQ201915S,TSG,2019-06-29T18:16:00Z,-149.3576,60.0247,293.36,0.0,175.13,351.47,0.42,0.55,0.0,1020.4,17.7,74.0,169.1,1.7,351.84,372.71,1121.13
SKQ201915S,TSG,2019-06-29T18:17:00Z,-149.3576,60.0247,293.29,0.0,90.0,351.49,0.43,0.55,-0.0,1020.4,17.7,73.2,169.9,1.8,351.56,373.19,1121.66
SKQ201915S,TSG,2019-06-29T18:18:00Z,-149.3576,60.0247,293.28,0.0,90.0,351.52,0.43,0.55,-0.0,1020.4,17.8,74.1,171.1,2.2,352.06,373.18,1121.45
SKQ201915S,TSG,2019-06-29T18:19:00Z,-149.3576,60.0247,293.3,0.0,90.0,351.54,0.44,0.55,0.01,1020.4,17.8,72.0,167.2,2.2,352.05,376.42,1129.76
SKQ201915S,TSG,2019-06-29T18:20:00Z,-149.3576,60.0247,293.3,0.0,43.6,351.66,0.46,0.55,-0.0,1020.4,18.0,71.2,159.3,1.5,352.68,378.96,1135.43
SKQ201915S,TSG,2019-06-29T18:21:00Z,-149.3576,60.0247,293.33,0.0,287.51,351.65,0.41,0.54,-0.0,1020.42,18.1,69.8,174.0,2.4,352.48,380.29,1139.76
SKQ201915S,TSG,2019-06-29T18:22:00Z,-149.3576,60.0247,293.33,0.0,147.49,351.56,0.43,0.55,-0.0,1020.5,18.2,70.2,174.5,2.0,352.37,383.59,1148.29
SKQ201915S,TSG,2019-06-29T18:23:00Z,-149.3576,60.0247,293.34,0.0,24.92,351.53,0.49,0.55,-0.0,1020.5,18.2,71.5,166.3,2.0,351.66,387.12,1155.52
SKQ201915S,TSG,2019-06-29T18:24:00Z,-149.3576,60.0247,293.35,0.0,185.71,351.5,0.43,0.55,0.0,1020.5,18.0,72.9,164.9,2.0,351.88,388.05,1159.89
SKQ201915S,TSG,2019-06-29T18:25:00Z,-149.3576,60.0247,293.35,0.0,191.78,351.63,0.42,0.55,0.0,1020.5,18.0,73.4,166.5,1.8,351.83,390.96,1166.76
SKQ201915S,TSG,2019-06-29T18:26:00Z,-149.3576,60.0247,293.36,0.0,292.18,351.54,0.43,0.55,-0.0,1020.5,17.9,74.7,150.8,1.4,351.52,391.4,1168.58
SKQ201915S,TSG,2019-06-29T18:27:00Z,-149.3576,60.0247,293.35,0.0,94.75,351.63,0.43,0.55,0.0,1020.5,17.8,74.7,134.1,1.2,350.95,393.12,1172.54
SKQ201915S,TSG,2019-06-29T18:28:00Z,-149.3576,60.0247,293.33,0.0,197.87,351.67,0.42,0.55,-0.0,1020.5,17.8,74.1,173.2,1.4,350.5,394.2,1175.0
SKQ201915S,TSG,2019-06-29T18:29:00Z,-149.3576,60.0247,293.38,0.0,200.55,351.64,0.43,0.55,0.0,1020.5,17.7,74.2,151.8,1.2,350.87,395.03,1176.99
SKQ201915S,TSG,2019-06-29T18:30:00Z,-149.3576,60.0247,293.45,0.0,90.0,351.53,0.45,0.55,0.0,1020.5,17.6,73.5,169.2,2.7,350.67,397.57,1182.99
