Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ202010S,TSG,2020-09-01T15:26:00Z,-149.3598,60.0259,291.71,2.6,149.74,139.49,-0.55,0.36,0.0,1000.3,12.7,92.8,167.6,4.0,402.11,-3.04,21.34
SKQ202010S,TSG,2020-09-01T15:27:00Z,-149.3593,60.0255,291.42,1.2,151.37,136.72,-0.63,0.35,0.0,1000.3,12.8,92.5,169.3,4.7,402.35,-2.95,21.78
SKQ202010S,TSG,2020-09-01T15:28:00Z,-149.3591,60.0253,291.56,0.7,149.76,143.19,-0.52,0.35,-0.0,1000.3,12.8,91.8,163.7,4.5,402.42,-2.91,22.15
SKQ202010S,TSG,2020-09-01T15:29:00Z,-149.3589,60.0252,293.53,0.2,141.44,149.72,-0.51,0.36,0.0,1000.31,12.8,91.4,164.1,4.6,402.91,-2.84,22.54
SKQ202010S,TSG,2020-09-01T15:30:00Z,-149.3589,60.0251,292.13,0.0,196.09,149.98,-0.55,0.35,-0.0,1000.31,12.8,92.0,158.4,3.8,402.96,-2.75,23.0
SKQ202010S,TSG,2020-09-01T15:31:00Z,-149.3589,60.0251,292.25,0.0,62.39,150.15,-0.54,0.36,0.0,1000.31,12.8,91.8,162.1,4.0,403.23,-2.6,23.5
SKQ202010S,TSG,2020-09-01T15:32:00Z,-149.3589,60.0251,292.68,0.0,289.72,149.84,-0.61,0.35,-0.0,1000.35,12.8,92.1,162.0,3.8,403.29,-2.37,24.08
SKQ202010S,TSG,2020-09-01T15:33:00Z,-149.3589,60.0251,293.75,0.0,313.02,149.91,-0.55,0.36,-0.0,1000.37,12.7,92.7,154.1,3.5,403.46,-2.19,24.7
SKQ202010S,TSG,2020-09-01T15:34:00Z,-149.3589,60.0251,293.78,0.0,127.95,150.26,-0.5,0.36,-0.0,1000.35,12.7,92.4,150.2,4.0,403.61,-1.95,25.37
SKQ202010S,TSG,2020-09-01T15:35:00Z,-149.3589,60.0251,293.42,0.0,212.04,150.05,-0.6,0.36,0.01,1000.39,12.7,90.6,155.5,3.4,404.13,-1.7,26.15
SKQ202010S,TSG,2020-09-01T15:36:00Z,-149.3589,60.0251,294.01,0.0,176.45,149.68,-0.57,0.34,-0.0,1000.4,12.7,90.5,151.1,3.0,403.85,-1.47,26.91
SKQ202010S,TSG,2020-09-01T15:37:00Z,-149.3589,60.0251,293.98,0.0,352.05,149.9,-0.64,0.36,-0.0,1000.4,12.7,90.3,167.5,4.3,403.69,-1.25,27.66
SKQ202010S,TSG,2020-09-01T15:38:00Z,-149.3589,60.0251,293.9,0.0,22.09,150.06,-0.64,0.34,0.0,1000.4,12.7,90.4,168.6,3.5,403.58,-1.06,28.42
SKQ202010S,TSG,2020-09-01T15:39:00Z,-149.3589,60.0251,294.31,0.0,213.19,150.07,-0.67,0.35,0.0,1000.4,12.7,90.3,165.2,3.5,403.32,-0.87,29.14
SKQ202010S,TSG,2020-09-01T15:40:00Z,-149.3589,60.0251,293.58,0.0,29.22,149.94,-0.63,0.36,-0.0,1000.4,12.6,90.2,166.2,3.1,403.27,-0.75,29.85
SKQ202010S,TSG,2020-09-01T15:41:00Z,-149.3589,60.0251,293.89,0.0,55.87,150.0,-0.7,0.35,-0.0,1000.41,12.6,90.4,169.5,2.9,403.26,-0.56,30.6
SKQ202010S,TSG,2020-09-01T15:42:00Z,-149.3589,60.0251,293.85,0.0,198.38,149.95,-0.64,0.35,0.0,1000.41,12.6,90.7,166.3,2.9,403.46,-0.31,31.43
SKQ202010S,TSG,2020-09-01T15:43:00Z,-149.3589,60.0251,294.02,0.0,103.48,149.91,-0.48,0.35,0.0,1000.4,12.6,90.8,167.2,3.2,403.74,0.03,32.34
SKQ202010S,TSG,2020-09-01T15:44:00Z,-149.3589,60.0251,294.33,0.0,9.99,150.05,-0.18,0.38,0.0,1000.45,12.7,90.4,166.7,2.7,403.83,0.26,33.16
SKQ202010S,TSG,2020-09-01T15:45:00Z,-149.3589,60.0251,293.9,0.0,245.08,150.12,-0.18,0.37,0.0,1000.49,12.7,90.6,167.5,3.0,403.77,0.39,33.81
SKQ202010S,TSG,2020-09-01T15:46:00Z,-149.3589,60.0251,293.41,0.0,8.37,150.05,-0.31,0.36,0.0,1000.5,12.7,90.3,166.7,3.4,403.35,0.49,34.34
SKQ202010S,TSG,2020-09-01T15:47:00Z,-149.3589,60.0251,293.59,0.0,122.08,149.94,-0.14,0.37,0.0,1000.5,12.7,90.3,171.6,3.4,402.71,0.54,34.68
SKQ202010S,TSG,2020-09-01T15:48:00Z,-149.3589,60.0251,294.19,0.0,234.46,150.12,-0.21,0.38,0.0,1000.5,12.7,90.3,176.6,3.2,402.57,0.5,35.06
SKQ202010S,TSG,2020-09-01T15:49:00Z,-149.3589,60.0251,293.55,0.0,326.46,150.25,-0.23,0.37,-0.0,1000.51,12.7,89.8,177.3,3.3,402.38,0.46,35.47
SKQ202010S,TSG,2020-09-01T15:50:00Z,-149.3589,60.0251,293.55,0.0,284.51,150.17,-0.19,0.36,-0.0,1000.53,12.7,89.7,179.0,3.3,402.29,0.46,36.01
SKQ202010S,TSG,2020-09-01T15:51:00Z,-149.3589,60.0251,293.59,0.0,189.86,150.1,-0.23,0.37,0.0,1000.58,12.7,89.9,169.5,2.9,402.37,0.48,36.6
SKQ202010S,TSG,2020-09-01T15:52:00Z,-149.3589,60.0251,294.2,0.0,107.81,149.97,-0.23,0.37,-0.0,1000.59,12.8,90.8,155.3,2.6,402.71,0.55,37.22
SKQ202010S,TSG,2020-09-01T15:53:00Z,-149.3589,60.0251,294.47,0.0,8.53,149.99,-0.31,0.36,0.0,1000.6,12.7,91.3,153.3,2.3,403.08,0.76,37.9
SKQ202010S,TSG,2020-09-01T15:54:00Z,-149.3589,60.0251,293.27,0.0,253.16,149.6,-0.14,0.38,0.0,1000.6,12.7,91.5,148.6,2.6,403.24,1.04,38.68
SKQ202010S,TSG,2020-09-01T15:55:00Z,-149.3589,60.0251,290.92,0.0,257.21,146.83,-0.16,0.37,0.0,1000.6,12.6,91.7,142.8,2.4,403.67,1.34,39.65
SKQ202010S,TSG,2020-09-01T15:56:00Z,-149.3589,60.0251,290.87,0.0,2.84,146.55,-0.23,0.37,0.01,1000.6,12.6,91.9,142.2,2.5,403.95,1.7,40.82
SKQ202010S,TSG,2020-09-01T15:57:00Z,-149.3589,60.0251,290.86,0.0,191.52,146.49,-0.22,0.37,-0.0,1000.6,12.6,92.1,131.1,2.9,403.85,2.27,42.26
SKQ202010S,TSG,2020-09-01T15:58:00Z,-149.3589,60.0251,291.62,0.0,284.11,146.55,-0.19,0.37,-0.0,1000.61,12.6,92.5,125.4,2.9,403.41,2.79,43.89
SKQ202010S,TSG,2020-09-01T15:59:00Z,-149.3589,60.0251,291.3,0.0,250.57,146.59,-0.2,0.37,0.0,1000.63,12.6,92.9,134.4,2.6,403.5,3.37,45.72
SKQ202010S,TSG,2020-09-01T16:00:00Z,-149.3589,60.0251,290.96,0.0,334.06,146.48,-0.19,0.37,0.0,1000.65,12.5,92.6,144.7,2.2,403.83,4.0,47.64
SKQ202010S,TSG,2020-09-01T16:01:00Z,-149.3589,60.0251,291.09,0.0,28.06,146.45,-0.18,0.37,-0.0,1000.7,12.5,92.3,152.0,2.1,403.72,4.73,49.69
SKQ202010S,TSG,2020-09-01T16:02:00Z,-149.3589,60.0251,291.98,0.0,40.97,146.49,-0.17,0.37,-0.0,1000.69,12.5,92.5,155.4,2.3,403.41,5.57,51.91
SKQ202010S,TSG,2020-09-01T16:03:00Z,-149.3589,60.0251,291.59,0.0,204.65,146.41,-0.14,0.38,0.01,1000.7,12.5,92.3,152.6,2.5,403.13,6.42,54.36
SKQ202010S,TSG,2020-09-01T16:04:00Z,-149.3589,60.0251,291.76,0.0,190.15,146.45,-0.16,0.37,-0.0,1000.7,12.5,92.7,157.3,2.2,402.4,7.28,57.1
SKQ202010S,TSG,2020-09-01T16:05:00Z,-149.3589,60.0251,292.07,0.0,0.27,146.48,-0.15,0.37,-0.0,1000.7,12.5,93.0,163.5,2.2,402.64,8.22,59.88
SKQ202010S,TSG,2020-09-01T16:06:00Z,-149.3589,60.0251,291.38,0.0,336.4,146.45,-0.15,0.38,0.0,1000.7,12.5,92.9,168.2,2.7,402.29,9.17,62.57
SKQ202010S,TSG,2020-09-01T16:07:00Z,-149.3589,60.0251,291.68,0.0,210.44,146.49,-0.17,0.37,-0.0,1000.7,12.5,92.7,175.9,2.4,402.44,10.15,65.35
