Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ201810S,TSG,2018-04-18T17:11:00Z,-149.4102,60.0858,186.66,5.5,125.69,124.5,0.18,0.64,-0.0,1002.4,2.8,90.0,188.4,6.5,521.81,49.5,239.89
SKQ201810S,TSG,2018-04-18T17:12:00Z,-149.4077,60.0849,191.64,5.5,125.61,124.45,0.17,0.64,-0.0,1002.43,2.7,90.4,172.7,7.6,516.11,51.03,244.51
SKQ201810S,TSG,2018-04-18T17:13:00Z,-149.4052,60.084,196.5,5.5,126.05,124.56,0.21,0.64,-0.0,1002.5,2.6,90.2,171.2,6.7,517.5,53.01,250.45
SKQ201810S,TSG,2018-04-18T17:14:00Z,-149.4028,60.0832,205.88,5.4,126.9,128.0,0.06,0.64,-0.0,1002.43,2.6,90.1,193.9,5.8,521.1,55.13,256.03
SKQ201810S,TSG,2018-04-18T17:15:00Z,-149.4006,60.0821,217.66,5.3,142.06,147.1,-0.16,0.63,0.0,1002.4,2.6,90.4,214.8,6.2,524.25,57.87,263.01
SKQ201810S,TSG,2018-04-18T17:16:00Z,-149.3992,60.0809,220.92,5.2,160.62,163.09,0.01,0.63,-0.0,1002.4,2.6,90.0,215.2,5.7,521.56,60.71,269.11
SKQ201810S,TSG,2018-04-18T17:17:00Z,-149.3984,60.0795,223.89,5.4,162.19,161.48,0.23,0.65,0.0,1002.4,2.6,90.3,193.9,4.7,520.38,62.32,273.8
SKQ201810S,TSG,2018-04-18T17:18:00Z,-149.3974,60.078,219.84,5.7,161.27,160.82,0.23,0.64,0.0,1002.47,2.6,90.7,166.6,4.8,523.27,64.34,279.38
SKQ201810S,TSG,2018-04-18T17:19:00Z,-149.3964,60.0765,217.28,5.8,161.48,161.04,0.24,0.64,-0.0,1002.5,2.6,90.8,153.1,4.3,520.45,66.84,285.71
SKQ201810S,TSG,2018-04-18T17:20:00Z,-149.3954,60.075,222.72,5.9,161.84,161.3,0.25,0.64,0.0,1002.5,2.6,90.8,146.8,4.4,522.09,68.75,290.94
