Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ202010S,TSG,2020-05-04T14:22:00Z,-149.4251,60.0875,155.8,8.5,149.85,148.48,1.01,0.39,-0.0,1009.42,6.0,88.0,106.6,6.8,375.71,-10.0,16.61
SKQ202010S,TSG,2020-05-04T14:23:00Z,-149.4227,60.0854,160.87,8.8,148.83,147.33,1.04,0.39,0.0,1009.44,5.9,88.3,104.3,6.6,375.31,-10.0,17.21
SKQ202010S,TSG,2020-05-04T14:24:00Z,-149.42,60.0833,169.19,9.1,147.55,147.18,0.86,0.37,0.0,1009.56,5.9,88.9,151.1,2.9,375.56,-10.0,17.86
SKQ202010S,TSG,2020-05-04T14:25:00Z,-149.4174,60.0811,178.47,9.3,150.04,150.71,0.63,0.36,0.0,1009.58,5.9,88.9,236.6,4.6,375.91,-10.0,18.53
SKQ202010S,TSG,2020-05-04T14:26:00Z,-149.4149,60.0789,187.03,9.3,151.03,151.37,0.68,0.36,0.0,1009.51,5.6,89.9,252.5,6.2,375.48,-10.0,19.11
SKQ202010S,TSG,2020-05-04T14:27:00Z,-149.4124,60.0766,194.91,9.3,151.18,151.05,0.74,0.36,0.0,1009.59,5.6,90.3,243.6,3.9,376.08,-10.0,19.73
SKQ202010S,TSG,2020-05-04T14:28:00Z,-149.4099,60.0744,203.18,9.3,150.9,150.77,0.8,0.37,-0.0,1009.6,5.8,89.8,187.0,2.3,376.91,-10.0,20.35
SKQ202010S,TSG,2020-05-04T14:29:00Z,-149.4073,60.0721,213.27,9.3,150.75,150.76,0.79,0.37,-0.0,1009.6,5.9,89.7,174.6,2.0,377.35,-10.0,20.9
SKQ202010S,TSG,2020-05-04T14:30:00Z,-149.4048,60.0699,225.78,9.3,150.79,150.95,0.75,0.36,-0.0,1009.6,5.9,89.6,209.4,1.8,377.85,-9.9,21.58
SKQ202010S,TSG,2020-05-04T14:31:00Z,-149.4023,60.0676,236.83,9.2,150.87,150.85,0.76,0.36,-0.0,1009.6,5.9,89.7,213.3,2.4,378.02,-9.39,22.6
