Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Speed_[knots],Course_[degrees_true],Heading_[degree],Roll_[degree],Pitch_[degree],Heave,Atmos_Pressure_[hPa],Air_Temperature_[C],Relative_Humidity_[%],Wind_Dir_[degrees_true],Wind_Speed_[knots],Longwave_Downwelling_[W/m2],Shortwave_Downwelling_[W/m2],PAR_[uE/m2/s]
SKQ202110S,TSG,2021-06-28T00:00:00Z,-149.372,60.0493,293.16,0.3,249.58,179.09,-0.61,0.41,0.01,1022.01,12.9,67.0,179.3,15.8,352.17,879.94,2207.85
SKQ202110S,TSG,2021-06-28T00:01:00Z,-149.3721,60.0493,293.22,0.3,221.52,178.93,-0.68,0.39,-0.0,1022.01,12.9,70.0,178.5,14.8,351.91,805.96,2016.2
SKQ202110S,TSG,2021-06-28T00:02:00Z,-149.3722,60.0492,293.18,0.2,202.23,179.28,-0.7,0.39,0.0,1022.02,12.8,68.1,177.8,16.1,351.46,710.36,1808.7
SKQ202110S,TSG,2021-06-28T00:03:00Z,-149.3722,60.0492,293.2,0.2,197.2,179.22,-0.75,0.38,-0.0,1022.02,12.8,69.8,177.9,15.2,351.56,539.62,1377.04
SKQ202110S,TSG,2021-06-28T00:04:00Z,-149.3723,60.0491,293.41,0.2,190.94,179.28,-0.73,0.38,-0.0,1022.02,12.7,69.5,178.1,15.5,351.59,548.7,1573.75
SKQ202110S,TSG,2021-06-28T00:05:00Z,-149.3723,60.0491,293.54,0.2,193.83,179.67,-0.75,0.38,-0.0,1022.01,12.6,69.7,178.5,15.4,352.72,546.16,1585.37
SKQ202110S,TSG,2021-06-28T00:06:00Z,-149.3723,60.049,293.44,0.2,195.99,179.65,-0.76,0.38,-0.0,1022.01,12.6,70.0,178.5,15.2,354.87,888.85,2234.21
SKQ202110S,TSG,2021-06-28T00:07:00Z,-149.3724,60.0489,293.31,0.2,194.3,179.67,-0.8,0.38,0.0,1022.0,12.7,70.7,179.4,15.9,356.51,900.5,2265.26
SKQ202110S,TSG,2021-06-28T00:08:00Z,-149.3724,60.0489,293.32,0.2,188.72,179.52,-0.78,0.37,0.0,1022.01,12.6,70.5,179.4,15.4,357.48,914.36,2294.3
SKQ202110S,TSG,2021-06-28T00:09:00Z,-149.3724,60.0488,293.27,0.2,179.44,179.45,-0.8,0.38,0.0,1022.01,12.7,69.5,181.8,16.2,357.96,856.31,2123.95
SKQ202110S,TSG,2021-06-28T00:10:00Z,-149.3724,60.0488,293.38,0.2,172.59,179.48,-0.82,0.37,-0.0,1022.01,12.7,69.6,181.8,16.1,357.17,792.51,2024.14
SKQ202110S,TSG,2021-06-28T00:11:00Z,-149.3724,60.0487,293.26,0.2,167.52,179.48,-0.82,0.38,0.0,1022.02,12.7,68.2,181.7,16.3,355.94,866.29,2201.05
SKQ202110S,TSG,2021-06-28T00:12:00Z,-149.3723,60.0487,293.24,0.2,168.95,179.6,-0.83,0.37,-0.0,1022.02,12.7,67.2,181.5,16.3,354.34,755.51,1927.17
SKQ202110S,TSG,2021-06-28T00:13:00Z,-149.3723,60.0486,293.33,0.2,174.46,179.66,-0.87,0.37,-0.0,1022.03,12.7,69.0,180.6,15.2,353.21,702.75,1751.32
SKQ202110S,TSG,2021-06-28T00:14:00Z,-149.3723,60.0486,293.27,0.2,178.96,179.77,-0.87,0.37,0.0,1022.03,12.7,71.3,180.5,14.5,352.53,792.56,2172.74
SKQ202110S,TSG,2021-06-28T00:15:00Z,-149.3723,60.0485,293.3,0.2,179.91,179.63,-0.87,0.37,-0.0,1022.02,12.7,71.2,181.8,15.0,352.8,866.52,2208.57
SKQ202110S,TSG,2021-06-28T00:16:00Z,-149.3723,60.0485,293.26,0.2,170.98,179.2,-0.8,0.38,0.0,1022.01,12.7,69.1,182.6,15.4,352.17,850.71,2181.88
SKQ202110S,TSG,2021-06-28T00:17:00Z,-149.3723,60.0484,293.31,0.2,163.33,179.22,-0.76,0.38,-0.0,1022.0,12.7,69.3,184.0,15.1,351.44,838.69,2156.78
SKQ202110S,TSG,2021-06-28T00:18:00Z,-149.3723,60.0483,293.28,1.1,177.27,173.4,-0.75,0.4,0.01,1021.97,12.7,68.2,184.1,15.6,350.99,829.88,2145.36
SKQ202110S,TSG,2021-06-28T00:19:00Z,-149.372,60.0478,293.49,2.4,157.49,161.79,-0.85,0.4,0.01,1021.91,12.7,68.3,188.7,15.6,350.91,823.48,2143.84
