Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
TGX201909,KIP2,B,2019-09-12T16:16:53,-147.9902,60.2728,586,2,76.15,8,0.02,0.02,0.05,0.09,0.49,1.00
TGX201909,KIP2,B,2019-09-12T16:17:57,-147.9902,60.2728,586,2,50.63,9,0.04,0.04,0.08,0.11,0.51,1.00
TGX201909,KIP2,B,2019-09-12T16:19:12,-147.9902,60.2728,586,2,40.39,10,0.08,0.05,0.13,0.15,0.36,1.00
TGX201909,KIP2,B,2019-09-12T16:19:59,-147.9902,60.2728,586,2,30.3,11,0.13,0.04,0.17,0.23,0.25,1.00
TGX201909,KIP2,B,2019-09-12T16:20:45,-147.9902,60.2728,586,2,20.24,12,0.20,0.07,0.27,0.31,0.24,1.00
TGX201909,KIP2,B,2019-09-12T16:21:42,-147.9902,60.2728,586,2,9.81,13,0.83,0.02,0.85,0.59,0.02,1.00
TGX201909,KIP2,B,2019-09-12T16:22:15,-147.9902,60.2728,586,2,2.14,14,0.66,0.02,0.68,0.33,0.04,1.00
TGX201909,PWS1,B,2019-09-12T18:04:32,-147.9418,60.3742,338,3,50.54,8,0.04,0.03,0.07,0.12,0.44,1.00
TGX201909,PWS1,B,2019-09-12T18:05:31,-147.9418,60.3742,338,3,40.14,9,0.05,0.03,0.08,0.13,0.41,1.00
TGX201909,PWS1,B,2019-09-12T18:06:18,-147.9418,60.3742,338,3,30.45,10,0.10,0.05,0.15,0.21,0.34,1.00
TGX201909,PWS1,B,2019-09-12T18:07:23,-147.9418,60.3742,338,3,20.11,11,0.41,0.06,0.47,0.33,0.13,1.00
TGX201909,PWS1,B,2019-09-12T18:08:30,-147.9418,60.3742,338,3,9.72,12,0.68,0.01,0.69,0.40,0.01,1.00
TGX201909,PWS1,B,2019-09-12T18:09:19,-147.9418,60.3742,338,3,2.33,13,0.59,0.03,0.62,0.29,0.05,1.00
TGX201909,PWS2,B,2019-09-12T21:41:03,-147.7962,60.535,732,6,76.55,3,0.02,0.01,0.03,0.08,0.30,1.00
TGX201909,PWS2,B,2019-09-12T21:42:49,-147.7962,60.535,732,6,51.37,4,0.05,0.03,0.08,0.12,0.33,1.00
TGX201909,PWS2,B,2019-09-12T21:43:46,-147.7962,60.535,732,6,40.94,6,0.07,0.03,0.10,0.17,0.30,1.00
TGX201909,PWS2,B,2019-09-12T21:44:53,-147.7962,60.535,732,6,29.79,7,0.13,0.04,0.18,0.24,0.24,1.00
