Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
TGX201809,RES2.5,B,2018-09-12T05:38:36,-149.3543,60.021,293,1,76.02,7,0.02,0,0.02,NA,0.19,5
TGX201809,RES2.5,B,2018-09-12T05:40:04,-149.3543,60.021,293,1,51.05,8,0,0.02,0.05,0.21,0.21,1
TGX201809,RES2.5,B,2018-09-12T05:41:17,-149.3543,60.021,293,1,40.73,9,0,0.02,0.04,0.17,0.17,1
TGX201809,RES2.5,B,2018-09-12T05:42:07,-149.3543,60.021,293,1,30.88,10,0.02,0.1,0.06,0.24,0.24,1
TGX201809,RES2.5,B,2018-09-12T05:43:09,-149.3543,60.021,293,1,20.49,11,0.04,0.41,0.17,0.09,0.09,1
TGX201809,RES2.5,B,,,,293,1,10,13,0.02,0.43,0.15,0.04,0.04,9
TGX201809,RES2.5,B,,,,293,1,0,15,0.01,0.32,0.14,0.04,0.04,9
TGX201809,GAK1,B,2018-09-12T19:35:48,-149.4822,59.846,268,3,77,7,0.05,0.01,0.06,0.08,0.15,1
TGX201809,GAK1,B,2018-09-12T19:37:20,-149.4822,59.846,268,3,51.16,8,0.09,0.03,0.12,0.09,0.22,1
TGX201809,GAK1,B,2018-09-12T19:38:20,-149.4822,59.846,268,3,41.05,9,0.09,0.03,0.12,0.09,0.28,1
TGX201809,GAK1,B,2018-09-12T19:39:18,-149.4822,59.846,268,3,30.75,10,0.14,0.06,0.2,0.12,0.32,1
TGX201809,GAK1,B,2018-09-12T19:40:24,-149.4822,59.846,268,3,19.98,11,0.33,0.28,0.61,0.19,0.46,1
TGX201809,GAK1,B,2018-09-12T19:41:35,-149.4822,59.846,268,3,9.99,13,0.17,0.15,0.32,0.08,0.47,1
TGX201809,GAK1,B,2018-09-12T19:43:12,-149.4822,59.846,268,3,2.72,15,0.14,0.1,0.24,0.07,0.42,1
TGX201809,GAK2,B,2018-09-12T22:13:34,-149.3325,59.695,232,5,75.83,6,0.03,0.01,0.04,0.06,0.16,1
TGX201809,GAK2,B,2018-09-12T22:14:43,-149.3325,59.695,232,5,50.35,7,0.06,0.02,0.07,0.07,0.24,1
TGX201809,GAK2,B,2018-09-12T22:15:49,-149.3325,59.695,232,5,40.5,8,0.09,0.04,0.13,0.09,0.29,1
TGX201809,GAK2,B,2018-09-12T22:16:49,-149.3325,59.695,232,5,30.39,9,0.14,0.07,0.21,0.15,0.32,1
TGX201809,GAK2,B,2018-09-12T22:17:41,-149.3325,59.695,232,5,19.85,10,0.25,0.09,0.33,0.19,0.26,1
TGX201809,GAK2,B,2018-09-12T22:18:43,-149.3325,59.695,232,5,9.76,11,0.28,0.22,0.51,0.21,0.44,1
TGX201809,GAK2,B,2018-09-12T22:20:02,-149.3325,59.695,232,5,2.38,12,0.16,0.13,0.29,0.1,0.44,1
TGX201809,GAK3,B,2018-09-13T00:44:31,-149.1903,59.5555,216,7,75.69,5,0.02,0.01,0.02,0.07,0.28,1
TGX201809,GAK3,B,2018-09-13T00:45:49,-149.1903,59.5555,216,7,50.31,6,0.03,0.02,0.05,0.07,0.35,1
TGX201809,GAK3,B,2018-09-13T00:46:49,-149.1903,59.5555,216,7,40.02,7,0.1,0.08,0.18,0.15,0.43,1
TGX201809,GAK3,B,2018-09-13T00:47:49,-149.1903,59.5555,216,7,30.07,8,0.21,0.27,0.48,0.29,0.55,1
TGX201809,GAK3,B,2018-09-13T00:48:51,-149.1903,59.5555,216,7,19.39,9,0.28,0.32,0.6,0.29,0.53,1
TGX201809,GAK3,B,2018-09-13T00:49:47,-149.1903,59.5555,216,7,9.58,10,0.37,0.54,0.9,0.33,0.59,1
TGX201809,GAK3,B,2018-09-13T00:50:57,-149.1903,59.5555,216,7,2.22,11,0.2,0.25,0.45,0.1,0.56,1
TGX201809,GAK4,B,2018-09-13T03:13:24,-149.0505,59.409,200,9,77,5,0.29,0.03,0.32,NA,0.09,5
TGX201809,GAK4,B,2018-09-13T03:15:18,-149.0505,59.409,200,9,50.38,6,0.36,0.04,0.4,0.27,0.1,1
TGX201809,GAK4,B,2018-09-13T03:16:44,-149.0505,59.409,200,9,40.57,7,0.46,0.04,0.49,0.3,0.08,1
TGX201809,GAK4,B,2018-09-13T03:17:59,-149.0505,59.409,200,9,30.1,8,1,0.08,1.08,0.78,0.07,1
TGX201809,GAK4,B,2018-09-13T03:19:34,-149.0505,59.409,200,9,20.88,9,1.9,0.28,2.18,1.27,0.13,1
TGX201809,GAK4,B,2018-09-13T03:20:33,-149.0505,59.409,200,9,10.29,10,0.45,0.35,0.8,0.31,0.44,1
TGX201809,GAK4,B,2018-09-13T03:21:36,-149.0505,59.409,200,9,2.36,11,0.3,0.26,0.56,0.21,0.47,1
TGX201809,GAK5,B,2018-09-13T17:30:33,-148.9175,59.2448,168,12,75.87,5,0.1,0.01,0.1,NA,0.06,5
TGX201809,GAK5,B,2018-09-13T17:32:10,-148.9175,59.2448,168,12,50.4,6,0.08,0.01,0.09,0.08,0.07,1
