Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
SKQ202210S,RES2.5,B,,,,,1,0,17,0.41,0.04,0.45,0.19,0.08,1
SKQ202210S,RES2.5,B,,,,,1,10,15,0.94,0.01,0.96,0.77,0.01,1
SKQ202210S,RES2.5,B,,,,,1,20,13,0.57,0.01,0.59,0.6,0.02,1
SKQ202210S,RES2.5,B,,,,,1,30,11,0.16,0.01,0.17,0.36,0.05,1
SKQ202210S,RES2.5,B,,,,,1,40,10,0.05,0.01,0.05,0.17,0.1,1
SKQ202210S,RES2.5,B,,,,,1,50,9,0.02,0,0.02,0.09,0.07,1
SKQ202210S,RES2.5,B,,,,,1,75,8,0.01,0,0.01,0.07,0.1,1
SKQ202210S,GAK1,B,,,,,2,0,17,0.81,0.07,0.88,0.3,0.08,1
SKQ202210S,GAK1,B,,,,,2,10,15,2.33,0.06,2.39,1.33,0.03,1
SKQ202210S,GAK1,B,,,,,2,20,13,0.54,0.01,0.55,0.65,0.02,1
SKQ202210S,GAK1,B,,,,,2,30,11,0.18,0.02,0.19,0.3,0.08,1
SKQ202210S,GAK1,B,,,,,2,40,10,0.09,0,0.09,0.26,0.05,1
SKQ202210S,GAK1,B,,,,,2,50,9,0.07,0,0.08,0.21,0.03,1
SKQ202210S,GAK1,B,,,,,2,75,8,0.04,0,0.05,0.14,0.06,1
SKQ202210S,PWS3,B,,,,,3,0,18,0.51,0.34,0.85,0.34,0.4,1
SKQ202210S,PWS3,B,,,,,3,10,16,0.95,0.27,1.22,0.57,0.22,1
SKQ202210S,PWS3,B,,,,,3,20,14,0.71,0.08,0.79,0.58,0.1,1
SKQ202210S,PWS3,B,,,,,3,30,12,0.21,0.02,0.23,0.27,0.07,1
SKQ202210S,PWS3,B,,,,,3,40,11,0.05,0.01,0.06,0.18,0.14,1
SKQ202210S,PWS3,B,,,,,3,50,10,0.04,0.01,0.05,0.15,0.2,1
SKQ202210S,PWS3,B,,,,,3,75,9,0.02,0,0.03,0.11,0.16,1
SKQ202210S,PWS2,B,,,,,5,0,19,0.86,0.27,1.13,0.35,0.24,1
SKQ202210S,PWS2,B,,,,,5,10,16,3.62,0.23,3.85,1.02,0.06,1
SKQ202210S,PWS2,B,,,,,5,20,14,0.21,0.02,0.23,0.23,0.1,1
SKQ202210S,PWS2,B,,,,,5,30,12,0.08,0.01,0.1,0.23,0.15,1
SKQ202210S,PWS2,B,,,,,5,40,11,0.06,0.01,0.07,0.19,0.15,1
SKQ202210S,PWS2,B,,,,,5,50,10,0.04,0.01,0.05,0.15,0.13,1
SKQ202210S,PWS2,B,,,,,5,75,9,0.02,0,0.02,0.1,0.13,1
SKQ202210S,PWS1,B,,,,,6,0,17,0.52,0.27,0.79,0.21,0.34,1
SKQ202210S,PWS1,B,,,,,6,10,15,1.02,0.23,1.24,0.62,0.18,1
SKQ202210S,PWS1,B,,,,,6,20,13,0.25,0.02,0.27,0.36,0.08,1
SKQ202210S,PWS1,B,,,,,6,30,11,0.16,0.01,0.17,0.33,0.08,1
SKQ202210S,PWS1,B,,,,,6,40,10,0.11,0.01,0.12,0.2,0.08,1
