Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
SKQ202106S,RES2.5,B,2021-04-23T05:20:00,-149.3583,60.0255,292,1,1.70,13,0.39,0.19,8.06,0.85,8.45,1.04,0.95,1
SKQ202106S,RES2.5,B,2021-04-23T05:17:39,-149.3583,60.0255,292,1,9.93,12,0.48,0.42,11.23,1.42,11.71,1.84,0.96,1
SKQ202106S,RES2.5,B,2021-04-23T05:15:37,-149.3583,60.0255,292,1,20.42,11,0.24,0.29,1.41,0.36,1.65,0.65,0.85,1
SKQ202106S,RES2.5,B,2021-04-23T05:13:47,-149.3583,60.0255,292,1,29.97,10,0.15,0.26,0.37,0.19,0.51,0.45,0.71,1
SKQ202106S,RES2.5,B,2021-04-23T05:12:02,-149.3583,60.0255,292,1,40.63,9,0.12,0.20,0.19,0.09,0.32,0.29,0.62,1
SKQ202106S,RES2.5,B,2021-04-23T05:10:09,-149.3583,60.0255,292,1,50.63,8,0.12,0.19,0.14,0.24,0.26,0.43,0.54,1
SKQ202106S,RES2.5,B,2021-04-23T05:07:48,-149.3583,60.0255,292,1,75.94,7,0.09,0.14,0.05,0.05,0.15,0.19,0.37,1
SKQ202106S,GAK1,B,2021-04-23T08:01:19,-149.4662,59.8452,269,2,2.98,14,0.57,0.25,3.06,0.33,3.63,0.57,0.84,1
SKQ202106S,GAK1,B,2021-04-23T07:58:53,-149.4662,59.8452,269,2,10.21,13,0.59,0.27,2.94,0.44,3.53,0.71,0.83,1
SKQ202106S,GAK1,B,2021-04-23T07:56:45,-149.4662,59.8452,269,2,20.58,12,0.41,0.37,0.41,0.05,0.82,0.42,0.50,5
SKQ202106S,GAK1,B,2021-04-23T07:54:21,-149.4662,59.8452,269,2,30.48,11,0.26,0.40,0.13,0.04,0.38,0.45,0.33,5
SKQ202106S,GAK1,B,2021-04-23T07:51:54,-149.4662,59.8452,269,2,40.76,10,0.16,0.33,0.13,0.04,0.29,0.37,0.45,1
SKQ202106S,GAK1,B,2021-04-23T07:49:43,-149.4662,59.8452,269,2,50.61,9,0.16,0.28,0.15,0.14,0.32,0.42,0.48,5
SKQ202106S,GAK1,B,2021-04-23T07:46:48,-149.4662,59.8452,269,2,75.82,8,0.10,0.23,0.18,0.16,0.28,0.40,0.63,1
SKQ202106S,KOD4,B,2021-04-24T01:57:25,-150.9703,57.8997,74,3,2.78,7,0.25,0.17,0.15,0.03,0.40,0.20,0.37,1
SKQ202106S,KOD4,B,2021-04-24T01:55:21,-150.9703,57.8997,74,3,9.86,6,0.25,0.16,0.11,0.03,0.36,0.19,0.31,1
SKQ202106S,KOD4,B,2021-04-24T01:53:15,-150.9703,57.8997,74,3,20.33,5,0.24,0.13,0.15,0.03,0.39,0.16,0.39,1
SKQ202106S,KOD4,B,2021-04-24T01:51:05,-150.9703,57.8997,74,3,31.14,4,0.21,0.15,0.11,0.03,0.33,0.18,0.34,1
SKQ202106S,KOD4,B,2021-04-24T01:49:01,-150.9703,57.8997,74,3,41.62,3,0.20,0.12,0.08,0.03,0.29,0.14,0.29,1
SKQ202106S,KOD4,B,2021-04-24T01:46:40,-150.9703,57.8997,74,3,51.19,2,0.19,0.14,0.09,0.02,0.28,0.16,0.31,1
SKQ202106S,KOD4,B,2021-04-24T01:44:04,-150.9703,57.8997,74,3,69.86,1,0.18,0.14,0.08,0.03,0.26,0.16,0.31,1
SKQ202106S,KOD3,B,2021-04-24T03:50:21,-151.1813,58.0157,80,4,2.63,8,0.54,0.26,0.12,0.04,0.66,0.30,0.18,1
SKQ202106S,KOD3,B,2021-04-24T03:48:00,-151.1813,58.0157,80,4,10.24,7,0.51,0.31,0.12,0.03,0.63,0.34,0.19,1
SKQ202106S,KOD3,B,2021-04-24T03:46:07,-151.1813,58.0157,80,4,19.84,6,0.42,0.22,0.12,0.05,0.54,0.27,0.22,1
SKQ202106S,KOD3,B,2021-04-24T03:44:05,-151.1813,58.0157,80,4,30.39,5,0.23,0.14,0.06,0.02,0.29,0.16,0.22,1
SKQ202106S,KOD3,B,2021-04-24T03:42:15,-151.1813,58.0157,80,4,40.65,4,0.17,0.12,0.08,0.02,0.25,0.15,0.31,1
SKQ202106S,KOD3,B,2021-04-24T03:40:11,-151.1813,58.0157,80,4,49.46,3,0.15,0.13,0.06,0.01,0.21,0.14,0.28,1
SKQ202106S,KOD3,B,2021-04-24T03:36:39,-151.1813,58.0157,80,4,76.22,2,0.15,0.12,0.05,0.02,0.20,0.13,0.27,1
SKQ202106S,KOD2,B,2021-04-24T05:50:17,-151.386,58.1302,125,5,2.15,10,0.44,0.29,0.03,0.02,0.46,0.31,0.06,1
SKQ202106S,KOD2,B,2021-04-24T05:47:51,-151.386,58.1302,125,5,10.02,9,0.39,0.37,0.02,0.01,0.42,0.38,0.06,1
SKQ202106S,KOD2,B,2021-04-24T05:46:00,-151.386,58.1302,125,5,20.08,8,0.41,0.25,0.03,0.02,0.44,0.27,0.07,1
SKQ202106S,KOD2,B,2021-04-24T05:43:56,-151.386,58.1302,125,5,30.90,7,0.30,0.23,0.04,0.02,0.34,0.24,0.11,1
SKQ202106S,KOD2,B,2021-04-24T05:41:57,-151.386,58.1302,125,5,40.11,5,0.31,0.24,0.03,0.01,0.34,0.26,0.10,1
SKQ202106S,KOD2,B,2021-04-24T05:40:04,-151.386,58.1302,125,5,50.47,4,0.23,0.18,0.03,0.02,0.26,0.20,0.10,1
SKQ202106S,KOD2,B,2021-04-24T05:37:36,-151.386,58.1302,125,5,75.94,3,0.09,0.10,0.02,0.02,0.11,0.12,0.16,1
SKQ202106S,KOD1,B,2021-04-24T08:46:38,-151.5892,58.2507,70,6,2.61,8,0.35,0.23,0.05,0.02,0.40,0.25,0.13,1
SKQ202106S,KOD1,B,2021-04-24T08:44:09,-151.5892,58.2507,70,6,10.09,7,0.24,0.17,0.03,0.02,0.27,0.19,0.11,1
SKQ202106S,KOD1,B,2021-04-24T08:42:05,-151.5892,58.2507,70,6,20.42,6,0.19,0.15,0.03,0.01,0.22,0.17,0.12,1
SKQ202106S,KOD1,B,2021-04-24T08:40:06,-151.5892,58.2507,70,6,30.79,5,0.18,0.13,0.02,0.01,0.20,0.14,0.10,1
SKQ202106S,KOD1,B,2021-04-24T08:38:03,-151.5892,58.2507,70,6,40.67,4,0.15,0.12,0.02,0.01,0.17,0.14,0.12,1
SKQ202106S,KOD1,B,2021-04-24T08:35:22,-151.5892,58.2507,70,6,50.82,3,0.16,0.13,0.02,0.02,0.18,0.15,0.12,1
SKQ202106S,KOD1,B,2021-04-24T08:32:48,-151.5892,58.2507,70,6,66.72,2,0.16,0.12,0.02,0.02,0.18,0.14,0.10,1
SKQ202106S,KOD5,B,2021-04-24T19:16:23,-150.7603,57.7853,88,8,2.62,11,0.56,0.33,0.14,0.05,0.70,0.50,0.20,1
SKQ202106S,KOD5,B,2021-04-24T19:13:45,-150.7603,57.7853,88,8,10.28,9,0.55,0.47,0.15,0.03,0.70,0.32,0.22,1
SKQ202106S,KOD5,B,2021-04-24T19:11:52,-150.7603,57.7853,88,8,20.42,8,0.46,0.25,0.19,0.06,0.65,0.18,0.29,1
SKQ202106S,KOD5,B,2021-04-24T19:09:54,-150.7603,57.7853,88,8,31.16,7,0.17,0.14,0.14,0.04,0.30,0.18,0.45,1
SKQ202106S,KOD5,B,2021-04-24T19:08:05,-150.7603,57.7853,88,8,41.26,6,0.16,0.12,0.12,0.06,0.28,0.15,0.44,1
SKQ202106S,KOD5,B,2021-04-24T19:06:00,-150.7603,57.7853,88,8,50.11,4,0.13,0.12,0.13,0.03,0.26,0.17,0.49,1
SKQ202106S,KOD5,B,2021-04-24T19:03:27,-150.7603,57.7853,88,8,75.86,3,0.14,0.12,0.12,0.04,0.26,0.38,0.46,1
SKQ202106S,KOD6,B,2021-04-25T00:02:20,-150.5495,57.6713,100,9,2.01,9,0.43,0.30,0.23,0.05,0.65,0.35,0.35,1
SKQ202106S,KOD6,B,2021-04-24T23:57:40,-150.5495,57.6713,100,9,9.75,7,0.43,0.31,0.25,0.07,0.67,0.38,0.37,1
SKQ202106S,KOD6,B,2021-04-24T23:55:29,-150.5495,57.6713,100,9,20.87,6,0.54,0.30,0.37,0.11,0.91,0.40,0.41,1
SKQ202106S,KOD6,B,2021-04-24T23:53:30,-150.5495,57.6713,100,9,29.82,5,0.37,0.29,0.29,0.09,0.66,0.38,0.44,1
