Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
SKQ201915S,RES2.5,B,2019-06-29T18:34:06,-149.3577,60.0247,293,1.00,75.71,7,0.02,0,0.03,0.1,0.04,1
SKQ201915S,RES2.5,B,2019-06-29T18:36:17,-149.3577,60.0247,293,1.00,50.42,8,0.03,0.01,0.04,0.14,0.14,1
SKQ201915S,RES2.5,B,2019-06-29T18:37:50,-149.3577,60.0247,293,1.00,40.58,9,0.06,0.01,0.07,0.17,0.16,1
SKQ201915S,RES2.5,B,2019-06-29T18:39:25,-149.3577,60.0247,293,1.00,30.28,10,0.14,0.01,0.15,0.22,0.06,1
SKQ201915S,RES2.5,B,2019-06-29T18:40:57,-149.3577,60.0247,293,1.00,20.35,11,1.54,0.04,1.57,0.84,0.02,1
SKQ201915S,RES2.5,B,2019-06-29T18:42:26,-149.3577,60.0247,293,1.00,10.24,12,2.31,0.05,2.37,1.34,0.02,1
SKQ201915S,RES2.5,B,2019-06-29T18:45:55,-149.3577,60.0247,293,1.00,3.47,13,0.43,0.02,0.46,0.19,0.05,1
SKQ201915S,GAK1,B,2019-06-29T21:15:19,-149.4658,59.8452,270,2.00,75.54,8,0.03,0,0.03,0.14,0.13,1
SKQ201915S,GAK1,B,2019-06-29T21:17:19,-149.4658,59.8452,270,2.00,50.44,10,0.06,0.01,0.06,0.24,0.11,1
SKQ201915S,GAK1,B,2019-06-29T21:19:03,-149.4658,59.8452,270,2.00,40.1,12,0.08,0.01,0.09,0.27,0.08,1
SKQ201915S,GAK1,B,2019-06-29T21:20:40,-149.4658,59.8452,270,2.00,30.36,14,0.15,0.02,0.17,0.31,0.12,1
SKQ201915S,GAK1,B,2019-06-29T21:22:36,-149.4658,59.8452,270,2.00,20.2,16,1.4,2.49,3.89,1.39,0.64,1
SKQ201915S,GAK1,B,2019-06-29T21:24:23,-149.4658,59.8452,270,2.00,10.03,18,0.59,0.16,0.75,0.52,0.21,1
SKQ201915S,GAK1,B,2019-06-29T21:26:34,-149.4658,59.8452,270,2.00,3.46,23,0.29,0.01,0.31,0.13,0.05,1
SKQ201915S,PWS2,B,2019-06-30T18:54:33,-147.804,60.5348,738,3.00,75.78,16,0.05,0.01,0.06,0.12,0.17,1
SKQ201915S,PWS2,B,2019-06-30T18:56:59,-147.804,60.5348,738,3.00,50.62,17,0.12,0.04,0.17,0.27,0.27,1
SKQ201915S,PWS2,B,2019-06-30T18:58:42,-147.804,60.5348,738,3.00,40.72,18,0.22,0.1,0.32,0.45,0.32,1
SKQ201915S,PWS2,B,2019-06-30T19:00:59,-147.804,60.5348,738,3.00,30.44,19,0.93,0.36,1.28,0.7,0.28,1
SKQ201915S,PWS2,B,2019-06-30T19:02:56,-147.804,60.5348,738,3.00,20.35,20,2.31,0.39,2.7,0.89,0.14,1
SKQ201915S,PWS2,B,2019-06-30T19:04:49,-147.804,60.5348,738,3.00,10.25,21,0.9,0.04,0.95,0.3,0.05,1
SKQ201915S,PWS2,B,2019-06-30T19:08:25,-147.804,60.5348,738,3.00,3.36,24,0.47,0.01,0.48,0.13,0.03,1
SKQ201915S,MID1,B,2019-07-01T18:43:02,-145.5017,60.249,20,5.00,15.34,2,0.36,0.03,0.39,0.31,0.08,1
SKQ201915S,MID1,B,2019-07-01T18:45:14,-145.5017,60.249,20,5.00,10.25,3,0.89,0.12,1.01,0.65,0.12,1
SKQ201915S,MID1,B,2019-07-01T18:46:46,-145.5017,60.249,20,5.00,5.59,4,0.61,0.03,0.64,0.39,0.05,1
SKQ201915S,MID1,B,2019-07-01T18:48:46,-145.5017,60.249,20,5.00,3.89,5,0.39,0.02,0.41,0.25,0.04,1
SKQ201915S,MID2,B,2019-07-01T23:43:59,-145.6498,60.0993,119,8.00,75.53,4,0.1,0.02,0.11,0.12,0.16,1
SKQ201915S,MID2,B,2019-07-01T23:46:34,-145.6498,60.0993,119,8.00,50.73,5,0.08,0,0.09,0.09,0.04,1
SKQ201915S,MID2,B,2019-07-01T23:48:13,-145.6498,60.0993,119,8.00,40.08,6,0.09,0.01,0.1,0.21,0.08,1
SKQ201915S,MID2,B,2019-07-01T23:49:58,-145.6498,60.0993,119,8.00,30.34,8,0.39,0.01,0.4,0.41,0.02,1
SKQ201915S,MID2,B,2019-07-01T23:51:46,-145.6498,60.0993,119,8.00,20.24,9,0.58,0.05,0.63,0.51,0.08,1
SKQ201915S,MID2,B,2019-07-01T23:54:44,-145.6498,60.0993,119,8.00,10.02,12,0.51,0.02,0.53,0.51,0.04,1
SKQ201915S,MID2,B,2019-07-01T23:56:50,-145.6498,60.0993,119,8.00,4.68,14,0.19,0.02,0.21,0.12,0.08,1
SKQ201915S,MID3,B,2019-07-02T02:12:54,-145.8012,59.9508,87,10.00,75.95,3,0.05,0.01,0.05,0.11,0.12,1
SKQ201915S,MID3,B,2019-07-02T02:15:23,-145.8012,59.9508,87,10.00,50.97,4,0.02,0,0.03,0.14,0.13,1
