Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],<20_Phaeo_[ug/L],>20_Chl_A_[ug/L],>20_Phaeo_[ug/L],Total_Chl_A_[ug/L],Total_Phaeo_[ug/L],Fraction Chl >20,Data flag
TGX202109,MID6,B,2021-09-15T20:34:46,-146.2507,59.4985,43,9,36.14,2,0.40,0.25,0.07,0.05,0.47,0.31,0.14,1
TGX202109,MID5,B,2021-09-15T23:23:32,-146.109,59.6498,97,12,2.84,11,0.36,0.11,0.16,0.06,0.52,0.18,0.31,1
TGX202109,MID5,B,2021-09-15T23:22:25,-146.109,59.6498,97,12,10,10,0.35,0.14,0.17,0.08,0.52,0.22,0.32,1
TGX202109,MID5,B,2021-09-15T23:21:29,-146.109,59.6498,97,12,14.89,8,0.26,0.15,0.08,0.07,0.34,0.22,0.24,1
TGX202109,MID5,B,2021-09-15T23:20:26,-146.109,59.6498,97,12,20.43,7,0.23,0.12,0.07,0.06,0.31,0.19,0.24,1
TGX202109,MID5,B,2021-09-15T23:19:11,-146.109,59.6498,97,12,29.36,6,0.20,0.10,0.05,0.05,0.25,0.15,0.18,1
TGX202109,MID5,B,2021-09-15T23:18:01,-146.109,59.6498,97,12,40.52,5,0.19,0.09,0.03,0.04,0.22,0.13,0.13,1
TGX202109,MID5,B,2021-09-15T23:16:34,-146.109,59.6498,97,12,51.72,4,0.15,0.10,0.04,0.05,0.19,0.15,0.23,1
TGX202109,MID5,B,2021-09-15T23:15:20,-146.109,59.6498,97,12,75.94,3,0.05,0.06,0.01,0.03,0.07,0.09,0.19,1
TGX202109,MID4,B,2021-09-16T01:23:00,-145.9547,59.7942,86,14,2.91,8,0.29,0.11,0.23,0.08,0.53,0.19,0.44,1
TGX202109,MID4,B,2021-09-16T01:22:00,-145.9547,59.7942,86,14,10.16,7,0.31,0.12,0.21,0.12,0.52,0.24,0.41,1
