Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
SKQ202207S,PWS3,B,,,,,1,0,24,3.43,4.7,8.13,2.95,0.58,1
SKQ202207S,PWS3,B,,,,,1,10,21,3.2,4.87,8.06,3.34,0.6,1
SKQ202207S,PWS3,B,,,,,1,20,20,2.74,4.08,6.82,3.2,0.6,1
SKQ202207S,PWS3,B,,,,,1,30,17,0.99,1.52,2.52,2.13,0.61,1
SKQ202207S,PWS3,B,,,,,1,40,16,0.34,0.48,0.82,0.98,0.59,1
SKQ202207S,PWS3,B,,,,,1,50,13,0.24,0.26,0.51,0.6,0.52,1
SKQ202207S,PWS3,B,,,,,1,75,12,0.1,0.05,0.15,0.32,0.35,1
SKQ202207S,PWS2,B,,,,,3,0,23,2.23,1.99,4.22,1.73,0.47,1
SKQ202207S,PWS2,B,,,,,3,10,22,2.48,1.98,4.45,1.76,0.44,1
SKQ202207S,PWS2,B,,,,,3,20,16,0.56,0.85,1.41,1.15,0.6,1
SKQ202207S,PWS2,B,,,,,3,30,15,0.4,0.46,0.87,0.96,0.54,1
SKQ202207S,PWS2,B,,,,,3,40,14,0.35,0.31,0.66,0.76,0.47,1
SKQ202207S,PWS2,B,,,,,3,50,13,0.34,0.24,0.58,0.68,0.41,1
SKQ202207S,PWS2,B,,,,,3,75,12,0.19,0.08,0.27,0.44,0.31,1
SKQ202207S,PWS1,B,,,,,4,0,24,4.08,2.74,6.82,2.43,0.4,1
SKQ202207S,PWS1,B,,,,,4,10,22,3.89,2.37,6.26,2.71,0.38,1
SKQ202207S,PWS1,B,,,,,4,20,20,2.35,1.61,3.96,1.7,0.41,1
SKQ202207S,PWS1,B,,,,,4,30,17,0.52,0.5,1.02,1.08,0.49,1
SKQ202207S,PWS1,B,,,,,4,40,15,0.31,0.32,0.62,0.83,0.51,1
SKQ202207S,PWS1,B,,,,,4,50,13,0.21,0.17,0.38,0.6,0.44,1
SKQ202207S,PWS1,B,,,,,4,75,11,0.16,0.08,0.24,0.32,0.34,1
SKQ202207S,KIP2,B,,,,,5,0,14,3.89,2,5.89,2.07,0.34,1
SKQ202207S,KIP2,B,,,,,5,10,13,3.66,1.95,5.61,2.37,0.35,1
SKQ202207S,KIP2,B,,,,,5,20,12,2.94,1.66,4.59,2.4,0.36,1
SKQ202207S,KIP2,B,,,,,5,30,11,2.04,1.26,3.3,1.82,0.38,1
SKQ202207S,KIP2,B,,,,,5,40,10,1.62,1.01,2.63,1.48,0.38,1
SKQ202207S,KIP2,B,,,,,5,50,9,0.8,0.57,1.36,1.26,0.42,1
SKQ202207S,KIP2,B,,,,,5,75,8,0.24,0.14,0.38,0.6,0.37,1
SKQ202207S,IB0,B,,,,,6,0,24,1.58,0.15,1.73,1.08,0.09,1
SKQ202207S,IB0,B,,,,,6,10,20,1.2,0.13,1.33,0.8,0.1,1
SKQ202207S,IB0,B,,,,,6,20,18,0.14,0.02,0.15,0.28,0.1,1
SKQ202207S,IB0,B,,,,,6,30,15,0.06,0.02,0.08,0.19,0.23,1
SKQ202207S,IB0,B,,,,,6,40,14,0.06,0.01,0.08,0.17,0.19,1
SKQ202207S,IB0,B,,,,,6,50,13,0.05,0.01,0.06,0.14,0.22,1
SKQ202207S,IB0,B,,,,,6,75,10,0.03,0.01,0.04,0.09,0.27,1
SKQ202207S,IB1,B,,,,,7,0,22,1.7,0.18,1.88,1.11,0.09,1
SKQ202207S,IB1,B,,,,,7,10,20,1.64,0.19,1.83,0.91,0.11,1
SKQ202207S,IB1,B,,,,,7,20,16,0.11,0.02,0.13,0.3,0.18,1
SKQ202207S,IB1,B,,,,,7,30,14,0.09,0.04,0.13,0.23,0.29,1
SKQ202207S,IB1,B,,,,,7,40,13,0.08,0.03,0.11,0.18,0.3,1
SKQ202207S,IB1,B,,,,,7,50,12,0.08,0.03,0.1,0.18,0.24,1
SKQ202207S,IB1,B,,,,,7,75,9,0.04,0.02,0.06,0.13,0.29,1
SKQ202207S,IB2,B,,,,,8,0,22,1.48,0.44,1.91,0.91,0.23,1
SKQ202207S,IB2,B,,,,,8,10,19,1.4,0.35,1.75,1.05,0.2,1
SKQ202207S,IB2,B,,,,,8,20,16,0.6,0.2,0.8,0.84,0.25,1
SKQ202207S,IB2,B,,,,,8,30,13,0.29,0.13,0.42,0.66,0.3,1
SKQ202207S,IB2,B,,,,,8,40,12,0.22,0.18,0.41,0.59,0.45,1
SKQ202207S,IB2,B,,,,,8,50,11,0.17,0.11,0.28,0.4,0.4,1
SKQ202207S,IB2,B,,,,,8,75,8,0.19,0.16,0.35,0.46,0.45,1
SKQ202207S,MID6,B,,,,,14,0,7,0.44,0.69,1.12,0.64,0.61,1
SKQ202207S,MID6,B,,,,,14,10,6,0.39,4.02,4.4,1.49,0.91,1
SKQ202207S,MID6,B,,,,,14,20,3,0.35,3.53,3.88,1.28,0.91,1
SKQ202207S,MID6,B,,,,,14,30,2,0.25,2.04,2.29,0.88,0.89,1
SKQ202207S,MID5,B,,,,,17,0,16,0.24,1.13,1.37,0.45,0.83,1
SKQ202207S,MID5,B,,,,,17,10,12,0.45,3.33,3.78,1.04,0.88,1
SKQ202207S,MID5,B,,,,,17,20,9,0.58,5,5.58,1.61,0.9,1
SKQ202207S,MID5,B,,,,,17,30,7,0.19,0.33,0.52,0.84,0.63,1
SKQ202207S,MID5,B,,,,,17,40,6,0.09,0.03,0.12,0.18,0.24,1
