Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
SKQ202010S,RES2.5,B,2020-07-02T19:43:43,-149.3572,60.0232,293,1,2.68,15,0.31,0.07,0.38,0.14,0.18,1
SKQ202010S,RES2.5,B,2020-07-02T19:41:30,-149.3572,60.0232,293,1,10.1,14,0.7,0.01,0.71,0.36,0.02,1
SKQ202010S,RES2.5,B,2020-07-02T19:39:42,-149.3572,60.0232,293,1,20.38,13,0.51,0.01,0.51,0.41,0.01,1
SKQ202010S,RES2.5,B,2020-07-02T19:37:59,-149.3572,60.0232,293,1,30.36,12,0.26,0,0.26,0.39,0,1
SKQ202010S,RES2.5,B,2020-07-02T19:35:57,-149.3572,60.0232,293,1,40.68,11,0.07,0,0.07,0.21,0.04,1
SKQ202010S,RES2.5,B,2020-07-02T19:33:58,-149.3572,60.0232,293,1,50.51,10,0.02,0,0.03,0.15,0.1,1
SKQ202010S,RES2.5,B,2020-07-02T19:31:42,-149.3572,60.0232,293,1,75.81,9,0.01,0,0.01,0.07,0.17,1
SKQ202010S,GAK1,B,2020-07-03T01:06:15,-149.4653,59.843,270.2,3,2.73,21,0.27,0.09,0.35,0.12,0.25,1
SKQ202010S,GAK1,B,2020-07-03T01:03:58,-149.4653,59.843,270.2,3,10.37,19,1.52,0.04,1.57,0.71,0.03,1
SKQ202010S,GAK1,B,2020-07-03T01:01:53,-149.4653,59.843,270.2,3,20.32,17,0.95,0.02,0.97,0.71,0.02,1
SKQ202010S,GAK1,B,2020-07-03T00:59:28,-149.4653,59.843,270.2,3,30.82,15,0.29,0.01,0.29,0.38,0.03,1
SKQ202010S,GAK1,B,2020-07-03T00:57:39,-149.4653,59.843,270.2,3,40.38,14,0.17,0.01,0.17,0.3,0.03,1
SKQ202010S,GAK1,B,2020-07-03T00:55:53,-149.4653,59.843,270.2,3,50.78,13,0.03,0,0.04,0.15,0.11,1
SKQ202010S,GAK1,B,2020-07-03T00:53:23,-149.4653,59.843,270.2,3,75.82,12,0.02,0,0.02,0.1,0.08,1
SKQ202010S,GAK2,B,2020-07-04T13:38:51,-149.3258,59.6915,226,5,3.17,16,0.72,0.19,0.91,0.27,0.21,1
SKQ202010S,GAK2,B,2020-07-04T13:36:38,-149.3258,59.6915,226,5,10.28,15,2.14,0.05,2.19,0.87,0.02,1
SKQ202010S,GAK2,B,2020-07-04T13:34:16,-149.3258,59.6915,226,5,20.45,13,2.11,0.05,2.16,1.04,0.02,1
SKQ202010S,GAK2,B,2020-07-04T13:32:19,-149.3258,59.6915,226,5,30.41,12,0.91,0.04,0.95,0.58,0.04,1
SKQ202010S,GAK2,B,2020-07-04T13:30:28,-149.3258,59.6915,226,5,40.8,11,0.34,0.01,0.35,0.33,0.03,1
SKQ202010S,GAK2,B,2020-07-04T13:28:17,-149.3258,59.6915,226,5,50.89,9,0.23,0.01,0.24,0.3,0.04,1
SKQ202010S,GAK2,B,2020-07-04T13:25:48,-149.3258,59.6915,226,5,76.01,8,0.05,0,0.05,0.15,0.07,1
SKQ202010S,GAK3,B,2020-07-04T16:29:54,-149.1877,59.5525,214,6,2.78,15,0.45,0.01,0.46,0.13,0.02,1
SKQ202010S,GAK3,B,2020-07-04T16:27:19,-149.1877,59.5525,214,6,10.1,14,0.7,0.01,0.72,0.28,0.02,1
SKQ202010S,GAK3,B,2020-07-04T16:24:37,-149.1877,59.5525,214,6,20.39,12,0.68,0.04,0.72,0.36,0.05,1
SKQ202010S,GAK3,B,2020-07-04T16:22:19,-149.1877,59.5525,214,6,30.46,11,0.32,0.01,0.32,0.25,0.02,1
SKQ202010S,GAK3,B,2020-07-04T16:19:57,-149.1877,59.5525,214,6,40.32,10,0.24,0,0.25,0.18,0.02,1
SKQ202010S,GAK3,B,2020-07-04T16:17:31,-149.1877,59.5525,214,6,50.56,9,0.1,0,0.1,0.14,0.02,1
SKQ202010S,GAK3,B,2020-07-04T16:14:27,-149.1877,59.5525,214,6,75.84,7,0.01,0,0.01,0.08,0.11,1
SKQ202010S,GAK5,B,2020-07-04T23:30:35,-148.9085,59.2617,167,8,3.28,20,0.6,0.01,0.61,0.16,0.01,1
SKQ202010S,GAK5,B,2020-07-04T23:26:15,-148.9085,59.2617,167,8,10.06,17,0.98,0.01,0.99,0.29,0.01,1
SKQ202010S,GAK5,B,2020-07-04T23:23:40,-148.9085,59.2617,167,8,20.11,15,1.78,0.02,1.8,0.49,0.01,1
SKQ202010S,GAK5,B,2020-07-04T23:21:21,-148.9085,59.2617,167,8,30.66,13,0.31,0,0.32,0.33,0.01,1
SKQ202010S,GAK5,B,2020-07-04T23:19:09,-148.9085,59.2617,167,8,40.73,11,0.11,0,0.12,0.25,0.03,1
SKQ202010S,GAK5,B,2020-07-04T23:16:55,-148.9085,59.2617,167,8,51.13,9,0.06,0,0.06,0.18,0.04,1
SKQ202010S,GAK5,B,2020-07-04T23:13:56,-148.9085,59.2617,167,8,75.84,7,0.05,0,0.05,0.12,0.04,1
SKQ202010S,GAK4,B,2020-07-05T02:14:59,-149.0467,59.4105,203,9,3.13,17,0.41,0.01,0.42,0.12,0.03,1
SKQ202010S,GAK4,B,2020-07-05T02:12:41,-149.0467,59.4105,203,9,10.17,15,0.46,0.01,0.47,0.14,0.03,1
SKQ202010S,GAK4,B,2020-07-05T02:10:20,-149.0467,59.4105,203,9,20.34,13,1.14,0.03,1.18,0.63,0.03,1
SKQ202010S,GAK4,B,2020-07-05T02:08:01,-149.0467,59.4105,203,9,30.74,11,0.44,0,0.44,0.27,0.01,1
SKQ202010S,GAK4,B,2020-07-05T02:05:45,-149.0467,59.4105,203,9,40.12,9,0.1,0,0.11,0.13,0.03,1
SKQ202010S,GAK4,B,2020-07-05T02:03:21,-149.0467,59.4105,203,9,50.84,7,0.06,0,0.07,0.15,0.04,1
SKQ202010S,GAK4,B,2020-07-05T02:01:00,-149.0467,59.4105,203,9,75.56,6,0.03,0,0.03,0.06,0.04,1
SKQ202010S,GAK6,B,2020-07-05T06:02:08,-148.7735,59.1197,148.7,10,2.61,15,0.8,0,0.81,0.22,0.01,1
SKQ202010S,GAK6,B,2020-07-05T05:59:27,-148.7735,59.1197,148.7,10,10.06,13,1.45,0.01,1.46,0.47,0.01,1
SKQ202010S,GAK6,B,2020-07-05T05:57:20,-148.7735,59.1197,148.7,10,15.14,11,2.25,0.02,2.27,0.62,0.01,1
