Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag
SKQ202006S,RES2.5,B,2020-05-04T15:42:21,-149.3582,60.025,292,1,3.16,13,0.30,0.28,0.58,0.13,0.48,1.00
SKQ202006S,RES2.5,B,2020-05-04T15:40:25,-149.3582,60.025,292,1,9.9,12,1.10,2.15,3.25,0.97,0.66,1.00
SKQ202006S,RES2.5,B,2020-05-04T15:38:36,-149.3582,60.025,292,1,20.16,11,0.75,1.57,2.32,1.28,0.68,1.00
SKQ202006S,RES2.5,B,2020-05-04T15:36:45,-149.3582,60.025,292,1,30.3,10,0.42,0.73,1.15,1.06,0.63,1.00
SKQ202006S,RES2.5,B,2020-05-04T15:35:02,-149.3582,60.025,292,1,40.28,9,0.35,0.29,0.63,0.77,0.45,1.00
SKQ202006S,RES2.5,B,2020-05-04T15:32:21,-149.3582,60.025,292,1,50.31,8,0.23,0.07,0.30,0.60,0.22,1.00
SKQ202006S,RES2.5,B,2020-05-04T15:30:11,-149.3582,60.025,292,1,75.82,7,0.06,0.04,0.11,0.26,0.41,1.00
SKQ202006S,GAK1,B,2020-05-04T18:50:04,-149.4702,59.8447,270,2,3.09,23,0.29,0.81,1.10,0.10,0.74,1.00
SKQ202006S,GAK1,B,2020-05-04T18:47:32,-149.4702,59.8447,270,2,10.26,21,0.35,1.18,1.53,0.29,0.77,1.00
SKQ202006S,GAK1,B,2020-05-04T18:44:52,-149.4702,59.8447,270,2,20.33,19,1.02,2.36,3.38,0.84,0.70,1.00
SKQ202006S,GAK1,B,2020-05-04T18:42:47,-149.4702,59.8447,270,2,30.86,17,0.12,0.10,0.22,0.33,0.45,1.00
SKQ202006S,GAK1,B,2020-05-04T18:40:36,-149.4702,59.8447,270,2,40.54,15,0.05,0.02,0.07,0.24,0.24,1.00
SKQ202006S,GAK1,B,2020-05-04T18:38:25,-149.4702,59.8447,270,2,50.41,13,0.06,0.02,0.07,0.25,0.22,1.00
SKQ202006S,GAK1,B,2020-05-04T18:36:23,-149.4702,59.8447,270,2,75.11,12,0.03,0.01,0.04,0.18,0.28,1.00
SKQ202006S,GAK8,B,2020-05-05T17:36:58,-148.4902,58.8093,289,4,3.33,13,4.48,1.13,5.61,0.87,0.20,1.00
SKQ202006S,GAK8,B,2020-05-05T17:35:11,-148.4902,58.8093,289,4,10.27,12,4.37,1.33,5.70,0.81,0.23,1.00
SKQ202006S,GAK8,B,2020-05-05T17:33:21,-148.4902,58.8093,289,4,20.85,11,4.31,1.15,5.46,1.06,0.21,1.00
SKQ202006S,GAK8,B,2020-05-05T17:31:32,-148.4902,58.8093,289,4,30.84,10,2.99,0.95,3.94,0.99,0.24,1.00
SKQ202006S,GAK8,B,2020-05-05T17:29:36,-148.4902,58.8093,289,4,40.9,9,1.96,0.46,2.41,0.63,0.19,1.00
SKQ202006S,GAK8,B,2020-05-05T17:27:41,-148.4902,58.8093,289,4,52.58,8,0.61,0.19,0.80,0.62,0.23,1.00
SKQ202006S,GAK8,B,2020-05-05T17:24:47,-148.4902,58.8093,289,4,75.83,7,0.05,0.03,0.07,0.21,0.39,1.00
SKQ202006S,GAK9,B,2020-05-05T20:38:57,-148.3478,58.6808,279,5,3.04,14,0.30,1.03,1.33,0.29,0.77,1.00
SKQ202006S,GAK9,B,2020-05-05T20:36:45,-148.3478,58.6808,279,5,9.54,13,0.27,1.04,1.32,0.37,0.79,1.00
SKQ202006S,GAK9,B,2020-05-05T20:34:23,-148.3478,58.6808,279,5,21.13,12,0.37,1.23,1.60,0.63,0.77,1.00
SKQ202006S,GAK9,B,2020-05-05T20:32:17,-148.3478,58.6808,279,5,30.24,11,1.21,0.67,1.89,0.60,0.36,1.00
SKQ202006S,GAK9,B,2020-05-05T20:30:23,-148.3478,58.6808,279,5,39.91,10,1.14,0.38,1.53,0.56,0.25,1.00
SKQ202006S,GAK9,B,2020-05-05T20:28:30,-148.3478,58.6808,279,5,51.04,9,0.12,0.06,0.18,0.24,0.32,1.00
SKQ202006S,GAK9,B,2020-05-05T20:26:07,-148.3478,58.6808,279,5,76.87,8,0.04,0.03,0.06,0.18,0.39,1.00
SKQ202006S,GAK10,B,2020-05-06T01:14:05,-148.2255,58.5383,1405,8,5.52,16,3.27,1.32,4.59,0.95,0.29,1.00
SKQ202006S,GAK10,B,2020-05-06T01:12:20,-148.2255,58.5383,1405,8,9.22,15,0.75,3.38,4.13,1.01,0.82,1.00
SKQ202006S,GAK10,B,2020-05-06T01:10:34,-148.2255,58.5383,1405,8,20.38,14,0.89,2.77,3.67,1.22,0.76,1.00
SKQ202006S,GAK10,B,2020-05-06T01:08:38,-148.2255,58.5383,1405,8,27,13,1.93,0.97,2.90,0.79,0.33,1.00
SKQ202006S,GAK10,B,2020-05-06T01:06:59,-148.2255,58.5383,1405,8,39.81,12,0.73,0.33,1.05,0.68,0.31,1.00
SKQ202006S,GAK10,B,2020-05-06T01:05:45,-148.2255,58.5383,1405,8,51.08,11,0.19,0.20,0.39,0.44,0.52,1.00
SKQ202006S,GAK10,B,2020-05-06T01:03:51,-148.2255,58.5383,1405,8,74.87,10,0.01,0.07,0.08,0.12,0.90,1.00
SKQ202006S,GAK11,B,2020-05-06T04:34:52,-148.072,58.391,1409,10,4.04,16,0.18,0.97,1.15,0.32,0.84,1.00
SKQ202006S,GAK11,B,2020-05-06T04:33:26,-148.072,58.391,1409,10,9.44,15,0.33,0.82,1.15,0.37,0.71,1.00
SKQ202006S,GAK11,B,2020-05-06T04:31:32,-148.072,58.391,1409,10,19.79,14,0.29,0.86,1.15,0.25,0.75,1.00
SKQ202006S,GAK11,B,2020-05-06T04:29:57,-148.072,58.391,1409,10,30.26,13,1.75,1.09,2.84,0.87,0.38,1.00
SKQ202006S,GAK11,B,2020-05-06T04:28:16,-148.072,58.391,1409,10,40.85,12,0.65,0.29,0.94,0.60,0.31,1.00
SKQ202006S,GAK11,B,2020-05-06T04:26:31,-148.072,58.391,1409,10,49.09,11,0.55,0.31,0.86,0.51,0.36,1.00
SKQ202006S,GAK11,B,2020-05-06T04:24:25,-148.072,58.391,1409,10,75.07,10,0.05,0.10,0.15,0.24,0.64,1.00
SKQ202006S,GAK15,B,2020-05-06T16:30:56,-147.4998,57.7915,4530,12,5.16,16,0.62,1.59,2.21,0.74,0.72,1.00
SKQ202006S,GAK15,B,2020-05-06T16:28:52,-147.4998,57.7915,4530,12,10.38,15,0.34,1.65,1.98,0.61,0.83,1.00
SKQ202006S,GAK15,B,2020-05-06T16:26:50,-147.4998,57.7915,4530,12,20.56,14,0.39,1.64,2.03,0.80,0.81,1.00
SKQ202006S,GAK15,B,2020-05-06T16:24:53,-147.4998,57.7915,4530,12,30.95,13,0.36,2.02,2.38,0.80,0.85,1.00
SKQ202006S,GAK15,B,2020-05-06T16:23:03,-147.4998,57.7915,4530,12,41.04,12,0.12,0.51,0.63,0.41,0.80,1.00
SKQ202006S,GAK15,B,2020-05-06T16:21:07,-147.4998,57.7915,4530,12,51.03,11,0.06,0.20,0.26,0.28,0.77,1.00
SKQ202006S,GAK15,B,2020-05-06T16:18:54,-147.4998,57.7915,4530,12,76.18,10,0.02,0.05,0.07,0.16,0.68,1.00
