Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,<20_Chl_A_[ug/L],>20_Chl_A _[ug/L],Total_Chl_A _[ug/L],Total_Phaeo _[ug/L],Fraction_Chl_>20,Quality_flag,
SKQ202012S,GAK8,B,2020-09-03T18:01:44,-148.4895,58.8073,289,13,50.26,9,0.03,0.02,0.05,0.05,0.36,1.00,
SKQ202012S,GAK8,B,2020-09-03T17:58:46,-148.4895,58.8073,289,13,75.67,8,0.02,0.00,0.02,0.04,0.20,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:46:53,-148.3513,58.68,275,15,3.12,22,0.93,0.70,1.62,0.33,0.43,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:44:08,-148.3513,58.68,275,15,9.96,19,0.94,0.75,1.69,0.31,0.44,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:41:57,-148.3513,58.68,275,15,20.17,17,0.49,0.55,1.04,0.17,0.53,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:40:02,-148.3513,58.68,275,15,30.52,16,0.19,0.05,0.24,0.15,0.19,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:38:03,-148.3513,58.68,275,15,40.59,15,0.09,0.01,0.11,0.07,0.10,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:35:50,-148.3513,58.68,275,15,50.24,14,0.05,0.01,0.06,0.05,0.13,1.00,
SKQ202012S,GAK9,B,2020-09-03T22:33:26,-148.3513,58.68,275,15,75.54,13,0.02,0.00,0.02,0.04,0.16,1.00,
SKQ202012S,GAK10,B,2020-09-04T02:05:22,-148.2102,58.5428,1453,16,3.23,22,0.54,0.99,1.52,0.34,0.65,1.00,
SKQ202012S,GAK10,B,2020-09-04T02:02:51,-148.2102,58.5428,1453,16,10.04,19,0.59,1.04,1.63,0.36,0.64,1.00,
SKQ202012S,GAK10,B,2020-09-04T02:00:45,-148.2102,58.5428,1453,16,20.29,18,0.43,0.12,0.55,0.24,0.21,1.00,
SKQ202012S,GAK10,B,2020-09-04T01:58:44,-148.2102,58.5428,1453,16,30.65,17,0.11,0.06,0.16,0.15,0.34,1.00,
SKQ202012S,GAK10,B,2020-09-04T01:56:39,-148.2102,58.5428,1453,16,40.71,16,0.09,0.04,0.13,0.10,0.28,1.00,
SKQ202012S,GAK10,B,2020-09-04T01:54:35,-148.2102,58.5428,1453,16,50.75,15,0.07,0.02,0.09,0.07,0.22,1.00,
SKQ202012S,GAK10,B,2020-09-04T01:52:07,-148.2102,58.5428,1453,16,76.02,14,0.01,0.01,0.02,0.04,0.29,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:38:58,-148.0688,58.3887,1414,17,2.99,21,0.91,0.42,1.33,0.34,0.32,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:36:19,-148.0688,58.3887,1414,17,10.1,18,0.94,0.44,1.38,0.30,0.32,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:33:57,-148.0688,58.3887,1414,17,20.4,17,0.80,0.37,1.17,0.32,0.32,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:31:52,-148.0688,58.3887,1414,17,30.52,16,0.54,0.19,0.73,0.22,0.26,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:29:35,-148.0688,58.3887,1414,17,40.41,15,0.27,0.10,0.38,0.20,0.27,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:27:28,-148.0688,58.3887,1414,17,50.66,14,0.08,0.02,0.10,0.08,0.18,1.00,
SKQ202012S,GAK11,B,2020-09-04T05:24:45,-148.0688,58.3887,1414,17,76.49,13,0.02,0.00,0.02,0.04,0.15,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:41:46,-147.5012,57.7922,4497,19,2.88,23,0.23,0.02,0.25,0.09,0.08,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:39:06,-147.5012,57.7922,4497,19,10.18,22,0.25,0.02,0.27,0.09,0.07,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:36:59,-147.5012,57.7922,4497,19,20.43,20,0.26,0.02,0.28,0.10,0.07,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:35:02,-147.5012,57.7922,4497,19,30.16,19,0.24,0.02,0.25,0.09,0.06,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:32:57,-147.5012,57.7922,4497,19,40.2,18,0.22,0.01,0.23,0.07,0.06,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:31:12,-147.5012,57.7922,4497,19,50.12,17,0.18,0.01,0.19,0.10,0.06,1.00,
SKQ202012S,GAK15,B,2020-09-04T21:28:50,-147.5012,57.7922,4497,19,75.74,16,0.10,0.01,0.11,0.06,0.09,1.00,
SKQ202012S,GAK14,B,2020-09-05T01:57:49,-147.6513,57.9425,3019.3,20,2.92,22,NA,NA,0.21,0.06,NA,9,
SKQ202012S,GAK14,B,2020-09-05T01:55:17,-147.6513,57.9425,3019.3,20,10.38,19,NA,NA,0.20,0.08,NA,9,
SKQ202012S,GAK14,B,2020-09-05T01:53:17,-147.6513,57.9425,3019.3,20,20.35,18,NA,NA,0.24,0.09,NA,9,
SKQ202012S,GAK14,B,2020-09-05T01:51:25,-147.6513,57.9425,3019.3,20,30.25,17,NA,NA,0.26,0.11,NA,9,
SKQ202012S,GAK14,B,2020-09-05T01:48:19,-147.6513,57.9425,3019.3,20,40.37,15,NA,NA,0.16,0.08,NA,9,
SKQ202012S,GAK14,B,2020-09-05T01:46:23,-147.6513,57.9425,3019.3,20,50.68,14,NA,NA,0.17,0.09,NA,9,
SKQ202012S,GAK14,B,2020-09-05T01:43:51,-147.6513,57.9425,3019.3,20,76.1,13,NA,NA,0.12,0.06,NA,9,
SKQ202012S,GAK13,B,2020-09-05T05:15:49,-147.7925,58.098,2062,21,3.33,20,0.18,0.02,0.20,0.06,0.11,1.00,
SKQ202012S,GAK13,B,2020-09-05T05:12:45,-147.7925,58.098,2062,21,10.08,18,0.20,0.02,0.23,0.05,0.10,1.00,
SKQ202012S,GAK13,B,2020-09-05T05:10:23,-147.7925,58.098,2062,21,19.89,17,0.20,0.02,0.22,0.07,0.07,1.00,
SKQ202012S,GAK13,B,2020-09-05T05:08:07,-147.7925,58.098,2062,21,30.59,15,0.21,0.02,0.23,0.10,0.09,1.00,
SKQ202012S,GAK13,B,2020-09-05T05:05:54,-147.7925,58.098,2062,21,41.03,14,0.14,0.02,0.16,0.07,0.10,1.00,
SKQ202012S,GAK13,B,2020-09-05T05:03:52,-147.7925,58.098,2062,21,50.43,13,0.15,0.01,0.16,0.08,0.08,1.00,
SKQ202012S,GAK13,B,2020-09-05T05:01:11,-147.7925,58.098,2062,21,75.59,12,0.10,0.01,0.11,0.06,0.09,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:24:09,-147.9337,58.243,2168,22,2.93,22,0.24,0.06,0.30,0.08,0.21,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:21:33,-147.9337,58.243,2168,22,10.35,19,0.21,0.07,0.29,0.07,0.25,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:19:35,-147.9337,58.243,2168,22,19.83,18,0.25,0.06,0.31,0.08,0.20,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:17:33,-147.9337,58.243,2168,22,30.65,16,0.26,0.04,0.30,0.12,0.14,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:15:55,-147.9337,58.243,2168,22,40.08,15,0.20,0.03,0.24,0.08,0.14,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:14:08,-147.9337,58.243,2168,22,50.87,14,0.13,0.02,0.15,0.09,0.12,1.00,
SKQ202012S,GAK12,B,2020-09-05T22:11:48,-147.9337,58.243,2168,22,75.99,13,0.08,0.01,0.09,0.06,0.10,1.00,
SKQ202012S,GEO,B,2020-09-06T08:28:22,-148.6882,59.0137,232,23,3.25,16,1.07,0.05,1.12,0.50,0.04,1.00,
SKQ202012S,GEO,B,2020-09-06T08:25:53,-148.6882,59.0137,232,23,10.39,15,0.83,0.06,0.89,0.42,0.07,1.00,
SKQ202012S,GEO,B,2020-09-06T08:23:47,-148.6882,59.0137,232,23,20.33,14,0.43,0.08,0.51,0.28,0.15,1.00,
SKQ202012S,GEO,B,2020-09-06T08:20:23,-148.6882,59.0137,232,23,24.9,10,0.27,0.06,0.33,0.26,0.18,1.00,
SKQ202012S,GEO,B,2020-09-06T08:18:37,-148.6882,59.0137,232,23,30.54,9,0.23,0.04,0.27,0.19,0.14,1.00,
SKQ202012S,GEO,B,2020-09-06T08:16:44,-148.6882,59.0137,232,23,40.32,8,0.12,0.00,0.12,0.11,0.03,1.00,
SKQ202012S,GEO,B,2020-09-06T08:14:39,-148.6882,59.0137,232,23,50.55,7,0.05,0.00,0.05,0.10,0.07,1.00,
SKQ202012S,GEO,B,2020-09-06T08:12:22,-148.6882,59.0137,232,23,75.87,6,0.02,0.00,0.02,0.05,0.08,1.00,
SKQ202012S,MS2,B,2020-09-07T03:18:59,-147.8938,59.9447,190,27,0 (est),14,0.37,0.04,0.41,0.25,0.10,5.00,
SKQ202012S,MS2,B,2020-09-07T03:18:59,-147.8938,59.9447,190,27,10.36,13,0.46,0.04,0.50,0.29,0.08,1.00,
SKQ202012S,MS2,B,2020-09-07T03:17:14,-147.8938,59.9447,190,27,20.4,12,0.60,0.31,0.90,0.34,0.34,1.00,
SKQ202012S,MS2,B,2020-09-07T03:15:26,-147.8938,59.9447,190,27,30.18,11,NA,0.62,NA,NA,NA,9,
SKQ202012S,MS2,B,2020-09-07T03:13:12,-147.8938,59.9447,190,27,40.46,10,0.11,0.02,0.13,0.15,0.18,1.00,
SKQ202012S,MS2,B,2020-09-07T03:11:07,-147.8938,59.9447,190,27,50.3,9,0.06,0.02,0.08,0.12,0.22,1.00,
SKQ202012S,MS2,B,2020-09-07T03:08:45,-147.8938,59.9447,190,27,76.16,8,0.03,0.01,0.04,0.08,0.26,1.00,
SKQ202012S,PWS3,B,2020-09-07T15:37:06,-147.6678,60.6665,730,28,0 (est),15,0.61,0.04,0.64,0.25,0.06,5.00,
SKQ202012S,PWS3,B,2020-09-07T15:37:06,-147.6678,60.6665,730,28,9.86,14,0.54,0.03,0.57,0.30,0.05,1.00,
SKQ202012S,PWS3,B,2020-09-07T15:35:10,-147.6678,60.6665,730,28,20.47,13,0.55,0.03,0.59,0.25,0.05,1.00,
SKQ202012S,PWS3,B,2020-09-07T15:33:12,-147.6678,60.6665,730,28,30.43,12,0.21,0.06,0.27,0.20,0.21,1.00,
SKQ202012S,PWS3,B,2020-09-07T15:31:17,-147.6678,60.6665,730,28,40.79,11,0.13,0.02,0.14,0.15,0.12,1.00,
SKQ202012S,PWS3,B,2020-09-07T15:29:28,-147.6678,60.6665,730,28,50.93,10,0.06,0.01,0.07,0.10,0.08,1.00,
SKQ202012S,PWS3,B,2020-09-07T15:26:28,-147.6678,60.6665,730,28,75.76,9,0.01,0.00,0.02,0.06,0.11,1.00,
SKQ202012S,PWS2,B,2020-09-07T23:03:54,-147.8035,60.535,737,30,2.94,23,0.72,0.05,0.77,0.38,0.07,1.00,
SKQ202012S,PWS2,B,2020-09-07T23:01:10,-147.8035,60.535,737,30,10.22,19,0.59,0.06,0.65,0.32,0.10,1.00,
SKQ202012S,PWS2,B,2020-09-07T22:59:14,-147.8035,60.535,737,30,20.26,18,0.38,0.10,0.48,0.25,0.20,1.00,
SKQ202012S,PWS2,B,2020-09-07T22:57:24,-147.8035,60.535,737,30,30.44,17,0.18,0.05,0.23,0.18,0.23,1.00,
SKQ202012S,PWS2,B,2020-09-07T22:55:40,-147.8035,60.535,737,30,40.45,16,0.11,0.01,0.12,0.15,0.09,1.00,
SKQ202012S,PWS2,B,2020-09-07T22:53:30,-147.8035,60.535,737,30,50.39,15,0.05,0.01,0.06,0.10,0.11,1.00,
SKQ202012S,PWS2,B,2020-09-07T22:51:02,-147.8035,60.535,737,30,76.03,14,0.01,0.00,0.02,0.06,0.23,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:32:37,-147.9348,60.3802,348,31,2.92,14,0.34,0.05,0.39,0.17,0.12,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:30:24,-147.9348,60.3802,348,31,10.24,13,0.60,0.05,0.65,0.29,0.08,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:28:26,-147.9348,60.3802,348,31,20.48,12,0.48,0.09,0.57,0.35,0.16,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:26:18,-147.9348,60.3802,348,31,30.42,11,0.19,0.04,0.23,0.21,0.18,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:24:18,-147.9348,60.3802,348,31,40.37,10,0.10,0.01,0.11,0.15,0.09,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:22:28,-147.9348,60.3802,348,31,50.61,9,0.06,0.01,0.06,0.11,0.12,1.00,
SKQ202012S,PWS1,B,2020-09-08T01:19:56,-147.9348,60.3802,348,31,75.8,8,0.01,0.00,0.01,0.06,0.19,1.00,
SKQ202012S,KIP2,B,2020-09-08T04:01:06,-147.987,60.2787,581,32,2.96,16,0.37,0.04,0.41,0.24,0.09,1.00,
SKQ202012S,KIP2,B,2020-09-08T03:58:57,-147.987,60.2787,581,32,9.98,15,0.46,0.07,0.53,0.28,0.13,1.00,
SKQ202012S,KIP2,B,2020-09-08T03:56:55,-147.987,60.2787,581,32,20.27,14,0.29,0.06,0.35,0.24,0.18,1.00,
SKQ202012S,KIP2,B,2020-09-08T03:54:49,-147.987,60.2787,581,32,30.38,13,0.21,0.06,0.28,0.20,0.23,1.00,
SKQ202012S,KIP2,B,2020-09-08T03:52:43,-147.987,60.2787,581,32,40.56,12,0.11,0.02,0.13,0.15,0.13,1.00,
SKQ202012S,KIP2,B,2020-09-08T03:50:26,-147.987,60.2787,581,32,50.45,11,0.05,0.01,0.06,0.09,0.15,1.00,
SKQ202012S,KIP2,B,2020-09-08T03:47:34,-147.987,60.2787,581,32,75.7,10,0.02,0.01,0.03,0.06,0.29,1.00,
SKQ202012S,IB2,B,2020-09-08T18:27:39,-148.233,60.272,156,34,3.13,10,NA,NA,0.53,0.16,NA,9,
SKQ202012S,IB2,B,2020-09-08T18:25:29,-148.233,60.272,156,34,10.18,9,NA,NA,0.32,0.13,NA,9,
SKQ202012S,IB2,B,2020-09-08T18:23:38,-148.233,60.272,156,34,20.44,8,NA,NA,0.21,0.16,NA,9,
SKQ202012S,IB2,B,2020-09-08T18:21:42,-148.233,60.272,156,34,30.52,7,NA,NA,0.11,0.12,NA,9,
SKQ202012S,IB2,B,2020-09-08T18:19:46,-148.233,60.272,156,34,40.35,6,NA,NA,0.07,0.10,NA,9,
SKQ202012S,IB2,B,2020-09-08T18:16:20,-148.233,60.272,156,34,50.55,5,NA,NA,0.03,0.06,NA,9,
SKQ202012S,IB2,B,2020-09-08T18:13:39,-148.233,60.272,156,34,75.7,4,NA,NA,0.01,0.04,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:16:23,-148.333,60.2417,140,35,2.41,11,NA,NA,0.19,0.07,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:13:30,-148.333,60.2417,140,35,10.24,10,NA,NA,0.25,0.12,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:11:03,-148.333,60.2417,140,35,20.24,9,NA,NA,0.10,0.11,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:08:59,-148.333,60.2417,140,35,30.58,8,NA,NA,0.06,0.09,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:06:36,-148.333,60.2417,140,35,40.5,7,NA,NA,0.04,0.06,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:04:39,-148.333,60.2417,140,35,50.74,6,NA,NA,0.02,0.03,NA,9,
SKQ202012S,IB1,B,2020-09-08T21:01:58,-148.333,60.2417,140,35,75.8,5,NA,NA,0.01,0.03,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:15:14,-148.36,60.2713,280,36A,2.31,13,NA,NA,0.44,0.09,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:12:50,-148.36,60.2713,280,36A,10.05,12,NA,NA,0.24,0.12,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:10:22,-148.36,60.2713,280,36A,20.42,11,NA,NA,0.10,0.08,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:08:23,-148.36,60.2713,280,36A,30.49,10,NA,NA,0.05,0.06,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:06:20,-148.36,60.2713,280,36A,40.43,9,NA,NA,0.03,0.03,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:04:25,-148.36,60.2713,280,36A,50.59,8,NA,NA,0.01,0.02,NA,9,
SKQ202012S,IB0,B,2020-09-08T23:01:24,-148.36,60.2713,280,36A,75.81,7,NA,NA,0.00,0.02,NA,9,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
