Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
SKQ202010S,GAK1,B,2020-07-03T01:06:15,-149.4653,59.843,270.2,3,2.73,21,181.4,152.2,-29.2,1
SKQ202010S,GAK1,B,2020-07-03T01:03:58,-149.4653,59.843,270.2,3,10.37,19,237.9,220.6,-17.3,1
SKQ202010S,GAK1,B,2020-07-03T01:01:53,-149.4653,59.843,270.2,3,20.32,17,169,164.5,-4.5,1
SKQ202010S,GAK1,B,2020-07-03T00:57:39,-149.4653,59.843,270.2,3,40.38,14,38.4,42.7,4.3,1
SKQ202010S,GAK5,B,2020-07-04T23:30:35,-148.9085,59.2617,167,8,3.28,20,204.4,213.7,9.3,1
SKQ202010S,GAK5,B,2020-07-04T23:26:15,-148.9085,59.2617,167,8,10.06,17,207.6,228.7,21.2,1
SKQ202010S,GAK5,B,2020-07-04T23:23:40,-148.9085,59.2617,167,8,20.11,15,229.6,235.6,6,1
SKQ202010S,GAK5,B,2020-07-04T23:19:09,-148.9085,59.2617,167,8,40.73,11,40.9,36.9,-4,1
SKQ202010S,GAK9,B,2020-07-06T20:02:15,-148.3495,58.6805,276,18,3.06,20,189.1,191,2,1
SKQ202010S,GAK9,B,2020-07-06T20:00:14,-148.3495,58.6805,276,18,10.08,18,186.2,193.8,7.6,1
SKQ202010S,GAK9,B,2020-07-06T19:58:22,-148.3495,58.6805,276,18,20.19,17,154.8,160.6,5.7,1
SKQ202010S,GAK9,B,2020-07-06T19:54:46,-148.3495,58.6805,276,18,40.12,15,47.9,46.9,-1,1
SKQ202010S,GAK15,B,2020-07-07T20:48:36,-147.5037,57.7917,4437,23,3.2,24,83.5,84.6,1.1,1
SKQ202010S,GAK15,B,2020-07-07T20:46:39,-147.5037,57.7917,4437,23,10.24,22,76.9,79.3,2.5,1
SKQ202010S,GAK15,B,2020-07-07T20:44:44,-147.5037,57.7917,4437,23,20.1,21,69,74.8,5.8,1
SKQ202010S,GAK15,B,2020-07-07T20:41:14,-147.5037,57.7917,4437,23,40.48,19,55.3,63.6,8.3,1
SKQ202010S,MID10,B,2020-07-08T20:55:24,-146.0005,58.9102,4445,27,4.55,18,175.8,179.8,4,1
SKQ202010S,MID10,B,2020-07-08T20:52:53,-146.0005,58.9102,4445,27,10.47,16,166.7,176.9,10.2,1
SKQ202010S,MID10,B,2020-07-08T20:51:23,-146.0005,58.9102,4445,27,19.74,15,107.8,98.3,-9.5,1
SKQ202010S,MID10,B,2020-07-08T20:48:31,-146.0005,58.9102,4445,27,39.62,13,32.3,31.2,-1.1,1
SKQ202010S,MID5,B,2020-07-09T21:17:02,-146.0978,59.6503,94,37,3.77,13,141.6,149.2,7.5,1
SKQ202010S,MID5,B,2020-07-09T21:14:19,-146.0978,59.6503,94,37,9.72,8,162.9,175.1,12.2,1
SKQ202010S,MID5,B,2020-07-09T21:12:43,-146.0978,59.6503,94,37,20.51,6,141.5,157.7,16.2,1
SKQ202010S,MID5,B,2020-07-09T21:09:35,-146.0978,59.6503,94,37,40.8,4,47.8,51.3,3.5,1
SKQ202010S,MID2,B,2020-07-10T19:15:57,-145.6497,60.0997,118,45,2.35,19,128.8,110.1,-18.7,1
SKQ202010S,MID2,B,2020-07-10T19:10:57,-145.6497,60.0997,118,45,10.26,11,110.3,97.5,-12.8,1
SKQ202010S,MID2,B,2020-07-10T19:08:56,-145.6497,60.0997,118,45,20.01,9,57.8,59.7,1.9,1
SKQ202010S,MID2,B,2020-07-10T19:05:16,-145.6497,60.0997,118,45,40.24,7,39.7,42.8,3.1,1
SKQ202010S,PL21,B,2020-07-12T20:10:44,-145.3227,60.1427,71,49,3.09,8,91.1,150.7,59.5,1
SKQ202010S,PL21,B,2020-07-12T20:09:01,-145.3227,60.1427,71,49,5.22,7,128.7,289.8,161.1,1
SKQ202010S,PL21,B,2020-07-12T20:07:34,-145.3227,60.1427,71,49,10.19,6,109,106,-3,1
SKQ202010S,PL21,B,2020-07-12T20:05:49,-145.3227,60.1427,71,49,19.99,5,72.3,74.8,2.5,1
SKQ202010S,PL22,B,2020-07-13T18:09:50,-146.3798,60.0472,62,51,2.92,15,100.7,101.8,1.1,1
SKQ202010S,PL22,B,2020-07-13T18:05:58,-146.3798,60.0472,62,51,9.91,9,140.5,131.8,-8.6,1
SKQ202010S,PL22,B,2020-07-13T18:03:24,-146.3798,60.0472,62,51,20.37,5,120.5,126.3,5.8,1
SKQ202010S,PL22,B,2020-07-13T18:00:37,-146.3798,60.0472,62,51,40.58,3,37.2,40.1,3,1
SKQ202010S,PWS2,B,2020-07-14T19:49:12,-147.8023,60.5355,729,53,2.94,24,123.2,118.4,-4.8,1
SKQ202010S,PWS2,B,2020-07-14T19:47:12,-147.8023,60.5355,729,53,10.11,22,166.9,177.7,10.7,1
SKQ202010S,PWS2,B,2020-07-14T19:44:55,-147.8023,60.5355,729,53,20.27,20,96,77.9,-18.1,1
SKQ202010S,PWS2,B,2020-07-14T19:41:10,-147.8023,60.5355,729,53,40.35,17,33,52.1,19.1,1
