Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
TGX201909,PWS2,B,2019-09-12T20:41:08,-147.8028,60.536,736,5,2.14,14,163.8,178.9,15.2,1
TGX201909,PWS2,B,2019-09-12T20:37:22,-147.8028,60.536,736,5,9.89,10,127.9,170.4,42.5,1
TGX201909,PWS2,B,2019-09-12T20:34:06,-147.8028,60.536,736,5,20.21,6,85.6,96.2,10.6,1
TGX201909,PWS2,B,2019-09-12T20:31:07,-147.8028,60.536,736,5,40.83,2,88,122.3,34.3,1
TGX201909,MID2,B,2019-09-14T20:01:47,-145.6488,60.1017,118,18,2.35,12,88,92.9,4.9,1
TGX201909,MID2,B,2019-09-14T19:58:53,-145.6488,60.1017,118,18,10.18,8,115.7,120.6,4.9,1
TGX201909,MID2,B,2019-09-14T19:57:03,-145.6488,60.1017,118,18,20.27,4,107.5,129.5,22,1
TGX201909,MID2,B,2019-09-14T19:54:17,-145.6488,60.1017,118,18,39.1,1,103.5,110,6.5,1
TGX201909,MID5,B,2019-09-15T18:50:05,-146.1133,59.6578,92,29,2.46,13,125.1,136.8,11.7,1
TGX201909,MID5,B,2019-09-15T18:48:01,-146.1133,59.6578,92,29,9.84,10,174.2,130.3,-43.8,1
TGX201909,MID5,B,2019-09-15T18:47:03,-146.1133,59.6578,92,29,20.1,8,98.1,79.6,-18.5,1
TGX201909,MID5,B,2019-09-15T18:45:00,-146.1133,59.6578,92,29,39.99,5,40,36.7,-3.3,1
TGX201909,GAK1,B,2019-09-16T18:44:56,-149.4802,59.848,268,36,2.41,13,115,127.1,12.1,1
TGX201909,GAK1,B,2019-09-16T18:41:13,-149.4802,59.848,268,36,9.94,8,122.3,131.9,9.7,1
TGX201909,GAK1,B,2019-09-16T18:38:22,-149.4802,59.848,268,36,19.96,4,60.8,62.8,2,1
TGX201909,GAK1,B,2019-09-16T18:36:15,-149.4802,59.848,268,36,40.39,1,46.1,56.1,10,1
TGX201909,GAK5,B,2019-09-17T18:52:24,-148.9342,59.2437,168,46,2.42,13,196.5,181.5,-15.1,1
TGX201909,GAK5,B,2019-09-17T18:49:18,-148.9342,59.2437,168,46,9.31,8,183.8,214.7,30.9,1
TGX201909,GAK5,B,2019-09-17T18:46:56,-148.9342,59.2437,168,46,19.61,4,166.7,175.8,9.1,1
TGX201909,GAK5,B,2019-09-17T18:44:01,-148.9342,59.2437,168,46,38.12,1,41.7,57.7,16,1
TGX201909,GAK9,B,2019-09-19T18:05:03,-148.349,58.6778,280,57,2.31,14,156.5,170.9,14.4,1
TGX201909,GAK9,B,2019-09-19T18:01:41,-148.349,58.6778,280,57,10.09,9,153.8,165.2,11.4,1
TGX201909,GAK9,B,2019-09-19T18:00:04,-148.349,58.6778,280,57,20.58,6,155.5,154.7,-0.8,1
TGX201909,GAK9,B,2019-09-19T17:55:33,-148.349,58.6778,280,57,41.1,1,77.8,76.2,-1.6,1
TGX201909,KOD5,B,2019-09-22T18:10:38,-150.759,57.7833,87,66,2.13,14,144.5,153.1,8.6,1
TGX201909,KOD5,B,2019-09-22T18:08:56,-150.759,57.7833,87,66,9.4,12,158.2,177.4,19.3,1
TGX201909,KOD5,B,2019-09-22T18:07:56,-150.759,57.7833,87,66,19.79,10,116,121.4,5.4,1
TGX201909,KOD5,B,2019-09-22T18:06:13,-150.759,57.7833,87,66,40.33,6,58.9,55.9,-3,1
