Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot_Depth_[m],Cast_Number,Pressure_[dbar],Bottle_Number,POC_[ug/L],TPC_[ug/L],PIC_[ug/L],Quality_flag
SKQ201810S,KOD5,B,2018-04-19T20:06:24,-150.761,57.7847,87,4,76.08,4,43.7,49.3,5.6,1
SKQ201810S,KOD5,B,2018-04-19T20:08:43,-150.761,57.7847,87,4,51.05,6,35.4,42.8,7.3,1
SKQ201810S,KOD5,B,2018-04-19T20:12:27,-150.761,57.7847,87,4,30.93,10,32.1,46.6,14.5,1
SKQ201810S,KOD5,B,2018-04-19T20:16:45,-150.761,57.7847,87,4,10.41,13,35.1,41.4,6.3,1
SKQ201810S,PWSA,B,2018-04-22T23:34:52,-147.3982,60.8217,478,18,74.91,7,65.9,94.3,28.4,1
SKQ201810S,PWSA,B,2018-04-22T23:36:45,-147.3982,60.8217,478,18,50.72,8,46.5,53,6.4,1
SKQ201810S,PWSA,B,2018-04-22T23:39:53,-147.3982,60.8217,478,18,30.26,12,79.1,86.9,7.8,1
SKQ201810S,PWSA,B,2018-04-22T23:43:45,-147.3982,60.8217,478,18,10.02,16,218.5,218.4,-0.1,1
SKQ201810S,PWS2,B,2018-04-23T19:50:07,-147.8027,60.536,738,23,75.61,8,30.5,71.9,41.4,1
SKQ201810S,PWS2,B,2018-04-23T19:52:37,-147.8027,60.536,738,23,50.2,9,47.7,57.4,9.7,1
SKQ201810S,PWS2,B,2018-04-23T19:56:42,-147.8027,60.536,738,23,30.4,12,83.6,94.4,10.8,1
SKQ201810S,PWS2,B,2018-04-23T20:00:36,-147.8027,60.536,738,23,10.22,17,254.9,269.5,14.7,1
SKQ201810S,MID2,B,2018-04-26T15:55:15,-145.653,60.0995,118,36,76.59,4,58.7,79.8,21.2,1
SKQ201810S,MID2,B,2018-04-26T15:57:12,-145.653,60.0995,118,36,50.4,5,78.6,109,30.4,1
SKQ201810S,MID2,B,2018-04-26T16:00:02,-145.653,60.0995,118,36,29.28,9,82.6,91.2,8.6,1
SKQ201810S,MID2,B,2018-04-26T16:03:04,-145.653,60.0995,118,36,9.46,13,96.5,144,47.5,1
SKQ201810S,MID5,B,2018-04-27T19:38:36,-146.0962,59.6533,95,46,75.65,2,85.7,82.3,-3.3,1
SKQ201810S,MID5,B,2018-04-27T19:40:27,-146.0962,59.6533,95,46,50.36,3,130.3,137.6,7.3,1
SKQ201810S,MID5,B,2018-04-27T19:44:00,-146.0962,59.6533,95,46,30.5,7,73.4,88,14.6,1
SKQ201810S,MID5,B,2018-04-27T19:47:35,-146.0962,59.6533,95,46,10.41,11,74.3,82.8,8.4,1
SKQ201810S,CS2,B,2018-04-28T20:44:04,-143.892,59.7728,122,57,75.87,3,86.1,121.8,35.7,1
SKQ201810S,CS2,B,2018-04-28T20:46:02,-143.892,59.7728,122,57,50.3,4,100,126.9,26.9,1
SKQ201810S,CS2,B,2018-04-28T20:49:40,-143.892,59.7728,122,57,30.01,8,132.1,141.7,9.6,1
SKQ201810S,CS2,B,2018-04-28T20:53:35,-143.892,59.7728,122,57,10.98,13,178.1,225.7,47.6,1
SKQ201810S,CS4,B,2018-04-29T23:13:25,-143.8922,59.4382,2033,65,75.46,11,25.1,26.8,1.7,1
SKQ201810S,CS4,B,2018-04-29T23:15:32,-143.8922,59.4382,2033,65,50.85,12,87.3,101.2,13.8,1
SKQ201810S,CS4,B,2018-04-29T23:19:10,-143.8922,59.4382,2033,65,31.06,16,85.7,92.7,7,1
SKQ201810S,CS4,B,2018-04-29T23:22:51,-143.8922,59.4382,2033,65,9.51,22,141.8,135.6,-6.2,1
SKQ201810S,GAK15,B,2018-04-30T20:16:39,-147.4983,57.7918,4551,68,75.64,12,5.3,28.3,23,1
SKQ201810S,GAK15,B,2018-04-30T20:18:33,-147.4983,57.7918,4551,68,50.56,14,47.6,57.1,9.5,1
SKQ201810S,GAK15,B,2018-04-30T20:21:56,-147.4983,57.7918,4551,68,30.31,18,54.6,75.6,21,1
SKQ201810S,GAK15,B,2018-04-30T20:25:04,-147.4983,57.7918,4551,68,9.8,22,87.3,101.7,14.4,1
SKQ201810S,GAK9,B,2018-05-02T15:56:58,-148.3467,58.6782,277,77,75.28,7,7.4,42,34.6,1
SKQ201810S,GAK9,B,2018-05-02T15:58:49,-148.3467,58.6782,277,77,50.39,9,105.3,106.1,0.8,1
SKQ201810S,GAK9,B,2018-05-02T16:02:29,-148.3467,58.6782,277,77,30.1,13,106.1,155.5,49.4,1
SKQ201810S,GAK9,B,2018-05-02T16:05:34,-148.3467,58.6782,277,77,10.06,17,118.1,135,16.8,1
SKQ201810S,GAK5,B,2018-05-03T19:14:05,-148.9082,59.2627,166,83,76.49,5,52.4,148,95.6,1
SKQ201810S,GAK5,B,2018-05-03T19:16:41,-148.9082,59.2627,166,83,50.56,6,231.8,103.2,-128.6,1
SKQ201810S,GAK5,B,2018-05-03T19:19:58,-148.9082,59.2627,166,83,30.34,10,142.3,187.6,45.3,1
SKQ201810S,GAK5,B,2018-05-03T19:23:17,-148.9082,59.2627,166,83,11.33,14,176.9,200.6,23.7,1
SKQ201810S,GAK1,B,2018-05-04T16:35:34,-149.4658,59.8465,268,87,75.59,7,49,42.7,-6.3,1
SKQ201810S,GAK1,B,2018-05-04T16:36:29,-149.4658,59.8465,268,87,50.72,8,40.9,47.4,6.5,1
SKQ201810S,GAK1,B,2018-05-04T16:39:33,-149.4658,59.8465,268,87,29.47,12,39.7,45,5.2,1
SKQ201810S,GAK1,B,2018-05-04T16:42:14,-149.4658,59.8465,268,87,8.82,16,148.1,95.2,-52.9,1
