Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
TGX202109,MID10,B,2021-09-14T19:38:25,-145.9883,58.911,4443,2,3.04,12,1,E,0.53,0.17,161.11,2.52,9.54,29.08,1
TGX202109,MID10,B,2021-09-14T19:37:47,-145.9883,58.911,4443,2,7.81,11,0.5,E,0.51,0.18,169.97,2.55,9.54,31.26,1
TGX202109,MID10,B,2021-09-14T19:35:42,-145.9883,58.911,4443,2,11.98,8,0.3,E,0.54,0.18,163.88,2.31,9.54,25.28,1
TGX202109,MID10,B,2021-09-14T19:33:44,-145.9883,58.911,4443,2,24.75,6,0.1,E,0.52,0.21,150.23,2,9.54,17.38,1
TGX202109,MID10,B,2021-09-14T19:31:21,-145.9883,58.911,4443,2,31.65,4,0.05,E,0.4,0.2,158.62,1.33,9.51,4.98,1
TGX202109,MID10,B,2021-09-14T19:29:15,-145.9883,58.911,4443,2,47.63,2,0.01,E,0.08,0.06,28.31,1.15,9.42,0.26,1
TGX202109,MID10,B,2021-09-14T19:37:47,-145.9883,58.911,4443,2,7.81,11,0.5,U,0.51,0.14,140.43,1.08,0,0.88,1
TGX202109,MID5,B,2021-09-15T22:34:25,-146.1082,59.6473,97,11,2.9,9,1,E,0.51,0.25,113.78,3.04,10.5,24.04,1
TGX202109,MID5,B,2021-09-15T22:33:26,-146.1082,59.6473,97,11,5.41,8,0.5,E,0.53,0.24,113.74,2.33,10.5,15.29,1
TGX202109,MID5,B,2021-09-15T22:32:09,-146.1082,59.6473,97,11,9.79,7,0.3,E,0.53,0.25,90.75,1.82,10.5,7.27,1
TGX202109,MID5,B,2021-09-15T22:30:52,-146.1082,59.6473,97,11,19.62,5,0.1,E,0.31,0.15,69.85,1.42,10.33,2.6,1
TGX202109,MID5,B,2021-09-15T22:29:13,-146.1082,59.6473,97,11,24.42,3,0.05,E,0.23,0.15,48.51,1.18,10.23,0.54,1
TGX202109,MID5,B,2021-09-15T22:26:38,-146.1082,59.6473,97,11,39.51,1,0.01,E,0.22,0.17,50.01,1.13,10.1,0.26,1
TGX202109,MID5,B,2021-09-15T22:33:26,-146.1082,59.6473,97,11,5.41,8,0.5,U,0.53,0.24,114.4,1.08,0,1.06,1
TGX202109,PWS2,B,2021-09-16T20:00:01,-147.8023,60.534,739,22,2.59,12,1,E,0.53,0.39,148.24,3.25,11.85,30.94,1
TGX202109,PWS2,B,2021-09-16T19:59:06,-147.8023,60.534,739,22,6.18,11,0.5,E,0.55,0.38,141.78,2.83,11.83,23.97,1
TGX202109,PWS2,B,2021-09-16T19:58:17,-147.8023,60.534,739,22,7.44,10,0.3,E,0.54,0.39,129.59,2.68,11.84,19.92,1
TGX202109,PWS2,B,2021-09-16T19:56:30,-147.8023,60.534,739,22,17.18,7,0.1,E,0.3,0.29,83.67,2.12,11.29,8.84,1
TGX202109,PWS2,B,2021-09-16T19:54:26,-147.8023,60.534,739,22,20.86,6,0.05,E,0.24,0.24,65.32,1.36,10.85,1.93,1
