Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],Quality_Flag
SKQ201915S,PWS2,B,2019-06-30T21:15:42,-147.8043,60.5347,735,4,0.21,21.52,27.82,27.24,240.28,1
SKQ201915S,MID2,B,2019-07-01T22:18:22,-145.6498,60.0997,122,7,0.21,21.52,21.98,9.80,431.79,1
SKQ201915S,MID5,B,2019-07-02T19:21:09,-146.102,59.649,96,13,0.18,26.13,33.27,12.62,257.95,1
SKQ201915S,MID10,B,2019-07-03T17:00:26,-145.9948,58.9092,4443,17,0.14,33.82,27.55,18.30,525.53,1
SKQ201915S,PL1,B,2019-07-04T16:39:39,-145.9195,59.829,102,21,0.20,23.06,22.90,9.00,311.77,1
SKQ201915S,PL4,B,2019-07-05T16:45:11,-146.0858,60.2765,60,25,0.25,18.45,29.31,27.30,591.40,1
SKQ201915S,PL7,B,2019-07-06T16:39:17,-144.9597,60.071,109,29,0.23,19.98,24.43,7.82,371.74,1
SKQ201915S,PL10,B,2019-07-07T17:41:08,-146.0395,59.6773,78,33,0.17,27.67,20.30,11.74,1159.51,1
SKQ201915S,GAK15,B,2019-07-09T19:58:34,-147.5013,57.7927,4400,35,0.15,30.74,23.75,22.90,807.10,1
SKQ201915S,GAK9,B,2019-07-10T17:08:10,-148.3537,58.6823,278,41,0.19,24.60,21.96,14.55,945.96,1
SKQ201915S,GAK5,B,2019-07-12T16:47:27,-148.909,59.2618,169,52,0.16,29.21,19.37,11.54,613.92,1
SKQ201915S,GAK1,B,2019-07-13T17:13:09,-149.4658,59.8467,269,57,0.19,24.60,15.05,17.31,423.44,1
SKQ201915S,KOD5,B,2019-07-15T17:35:49,-150.7565,57.786,86,59,0.19,24.60,22.13,35.57,912.86,1
SKQ201915S,KOD10,B,2019-07-17T17:55:26,-149.7192,57.2038,2501,71,0.12,36.89,30.49,8.97,698.41,1
