Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
TGX201909,PWS2,B,2019-09-12T20:41:08,-147.8028,60.536,736,5,2.14,14,1,E,0.78,0.37,180.90,11.52,2.86,31.52,1
TGX201909,PWS2,B,2019-09-12T20:39:59,-147.8028,60.536,736,5,3.6,12,0.5,E,0.76,0.40,163.43,11.52,2.53,23.18,1
TGX201909,PWS2,B,2019-09-12T20:38:21,-147.8028,60.536,736,5,6.51,11,0.3,E,0.66,0.47,153.74,11.37,2.41,20.36,1
TGX201909,PWS2,B,2019-09-12T20:36:13,-147.8028,60.536,736,5,14.04,8,0.1,E,0.80,0.56,115.20,10.96,2.41,15.89,1
TGX201909,PWS2,B,2019-09-12T20:34:54,-147.8028,60.536,736,5,17.7,7,0.05,E,0.67,0.46,96.32,10.71,1.53,4.61,1
TGX201909,PWS2,B,2019-09-12T20:33:15,-147.8028,60.536,736,5,28.37,4,0.01,E,0.22,0.31,49.60,10.00,1.19,0.62,1
TGX201909,PWS2,B,2019-09-12T20:39:59,-147.8028,60.536,736,5,3.6,12,0.5,U,0.76,0.40,156.33,0.00,1.08,1.96,1
TGX201909,MID2,B,2019-09-14T20:01:52,-145.6488,60.1017,118,18,2.14,13,1,E,0.35,0.14,100.85,10.42,2.72,18.13,1
TGX201909,MID2,B,2019-09-14T20:00:33,-145.6488,60.1017,118,18,4.73,10,0.5,E,0.37,0.15,115.19,10.33,2.56,18.84,1
TGX201909,MID2,B,2019-09-14T19:59:42,-145.6488,60.1017,118,18,8.44,9,0.3,E,0.38,0.18,129.37,10.09,2.13,15.42,1
TGX201909,MID2,B,2019-09-14T19:58:00,-145.6488,60.1017,118,18,18.83,6,0.1,E,0.80,0.35,150.02,9.91,2.53,25.19,1
TGX201909,MID2,B,2019-09-14T19:56:18,-145.6488,60.1017,118,18,23.19,3,0.05,E,0.86,0.35,126.79,9.87,1.65,8.42,1
