Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
SKQ201810S,KOD5,B,2018-04-19T18:35:44,-150.7607,57.786,87,3,3.29,4,1,E,0.47,0.25,76.94,9.54,3.10,18.79,1
SKQ201810S,KOD5,B,2018-04-19T18:35:44,-150.7607,57.786,87,3,3.29,4,0.5,E,0.47,0.25,66.17,9.54,2.96,15.06,1
SKQ201810S,KOD5,B,2018-04-19T18:33:23,-150.7607,57.786,87,3,5.47,3,0.3,E,0.46,0.24,77.55,9.54,2.40,12.44,1
SKQ201810S,KOD5,B,2018-04-19T18:31:40,-150.7607,57.786,87,3,8.88,2,0.1,E,0.39,0.21,77.86,9.54,1.94,8.13,1
SKQ201810S,KOD5,B,2018-04-19T18:29:47,-150.7607,57.786,87,3,11.88,1,0.05,E,0.37,0.21,75.24,9.53,1.35,2.46,1
SKQ201810S,KOD5,B,2018-04-19T18:35:44,-150.7607,57.786,87,3,3.29,4,0.5,E,0.47,0.25,39.37,9.54,1.10,0.09,1
SKQ201810S,KOD5,B,2018-04-19T18:35:44,-150.7607,57.786,87,3,3.29,4,0.5,U,0.47,0.25,112.87,0,1.08,0.47,1
SKQ201810S,PWSA,B,2018-04-22T22:31:49,-147.3985,60.8213,470,17,3.48,5,1,E,6.01,1.68,800.67,9.5,3.49,229.73,1
SKQ201810S,PWSA,B,2018-04-22T22:31:49,-147.3985,60.8213,470,17,3.48,5,0.5,E,6.01,1.68,845.13,9.5,2.59,151.88,1
SKQ201810S,PWSA,B,2018-04-22T22:30:03,-147.3985,60.8213,470,17,3.75,4,0.3,E,5.96,1.87,632.67,9.48,2.22,86.3,1
SKQ201810S,PWSA,B,2018-04-22T22:27:59,-147.3985,60.8213,470,17,7.2,3,0.1,E,6.06,1.72,666.76,9.42,2.68,128.11,1
SKQ201810S,PWSA,B,2018-04-22T22:26:27,-147.3985,60.8213,470,17,10.15,2,0.05,E,6.15,1.77,489.14,9.36,1.32,14.31,1
SKQ201810S,PWSA,B,2018-04-22T22:24:55,-147.3985,60.8213,470,17,14.74,1,0.01,E,7.22,0.86,453.24,9.28,1.21,7.11,1
SKQ201810S,PWSA,B,2018-04-22T22:31:49,-147.3985,60.8213,470,17,3.48,5,0.5,E,6.01,1.68,556.89,9.5,1.10,1.45,1
SKQ201810S,PWSA,B,2018-04-22T22:31:49,-147.3985,60.8213,470,17,3.48,5,0.5,U,6.01,1.68,452.98,0,1.08,0.63,1
SKQ201810S,PWS2,B,2018-04-23T18:37:25,-147.8027,60.536,728,22,2.56,6,1,E,3.67,0.99,365.65,9.46,3.63,114.56,1
SKQ201810S,PWS2,B,2018-04-23T18:35:46,-147.8027,60.536,728,22,2.98,5,0.5,E,3.24,1.17,355.34,9.43,3.31,97.3,1
SKQ201810S,PWS2,B,2018-04-23T18:34:21,-147.8027,60.536,728,22,6,4,0.3,E,3.29,1.07,324.39,9.38,2.71,65.26,1
SKQ201810S,PWS2,B,2018-04-23T18:32:56,-147.8027,60.536,728,22,11.06,3,0.1,E,3.14,1.18,279.3,9.36,2.55,50.89,1
SKQ201810S,PWS2,B,2018-04-23T18:31:07,-147.8027,60.536,728,22,14.3,2,0.05,E,3.21,1.23,303.75,9.27,1.40,11.98,1
SKQ201810S,PWS2,B,2018-04-23T18:29:43,-147.8027,60.536,728,22,21.45,1,0.01,E,2.96,1.44,310.63,9.25,1.13,1.59,1
SKQ201810S,PWS2,B,2018-04-23T18:35:46,-147.8027,60.536,728,22,2.98,5,0.5,E,3.24,1.17,145.52,9.43,1.11,0.44,1
SKQ201810S,PWS2,B,2018-04-23T18:35:46,-147.8027,60.536,728,22,2.98,5,0.5,U,3.24,1.17,339.99,0,1.09,0.38,1
SKQ201810S,MID2,B,2018-04-26T17:36:28,-145.6523,60.1002,118,37,3.02,5,1,E,0.68,0.54,172.12,9.54,2.74,32.77,1
SKQ201810S,MID2,B,2018-04-26T17:35:02,-145.6523,60.1002,118,37,5.93,4,0.5,E,0.74,0.71,332.06,9.53,2.10,38.83,1
SKQ201810S,MID2,B,2018-04-26T17:33:43,-145.6523,60.1002,118,37,10.8,3,0.3,E,0.71,0.74,161.5,9.54,2.40,24.57,1
SKQ201810S,MID2,B,2018-04-26T17:32:16,-145.6523,60.1002,118,37,20.85,2,0.1,E,0.9,0.78,156.94,9.53,2.38,23.52,1
