Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
SKQ202106S,KOD5,B,2021-04-24T17:22:52,-150.7607,57.7852,87,7,1.76,10,1,E,0.87,0.45,166.32,9.55,3.6,50.5,1
SKQ202106S,KOD5,B,2021-04-24T17:21:08,-150.7607,57.7852,87,7,6.87,9,0.5,E,0.85,0.48,143.4,9.55,3.41,40.25,1
SKQ202106S,KOD5,B,2021-04-24T17:19:03,-150.7607,57.7852,87,7,11.12,8,0.3,E,0.76,0.49,137.46,9.55,2.8,28.62,1
SKQ202106S,KOD5,B,2021-04-24T17:16:33,-150.7607,57.7852,87,7,22.02,6,0.1,E,0.45,0.25,77.93,9.54,2.44,12.84,1
SKQ202106S,KOD5,B,2021-04-24T17:14:27,-150.7607,57.7852,87,7,27.64,5,0.05,E,0.35,0.21,53.44,9.54,1.62,3.47,1
SKQ202106S,KOD5,B,2021-04-24T17:09:11,-150.7607,57.7852,87,7,43.24,3,0.01,E,0.32,0.17,43.15,9.54,1.25,0.89,1
SKQ202106S,KOD5,B,2021-04-24T17:21:08,-150.7607,57.7852,87,7,6.87,9,0.5,U,0.86,0.53,111.91,0,1.08,1.76,1
SKQ202106S,KOD10,B,2021-04-25T19:36:44,-149.7218,57.2052,2507,13,1.55,13,1,E,5.43,1.12,642.9,9.44,2.97,147.82,1
SKQ202106S,KOD10,B,2021-04-25T19:34:19,-149.7218,57.2052,2507,13,2.02,11,0.5,E,5.72,0.89,761.75,9.44,4.32,301.78,1
SKQ202106S,KOD10,B,2021-04-25T19:31:29,-149.7218,57.2052,2507,13,4.29,10,0.3,E,6.53,0.56,749.57,9.44,4.08,274.61,1
SKQ202106S,KOD10,B,2021-04-25T19:29:29,-149.7218,57.2052,2507,13,8.07,9,0.1,E,5.78,1.25,560.33,9.44,3.25,148.29,1
SKQ202106S,KOD10,B,2021-04-25T19:27:32,-149.7218,57.2052,2507,13,11.27,7,0.05,E,5.61,1.19,540.43,9.44,1.72,42.16,1
SKQ202106S,KOD10,B,2021-04-25T19:25:56,-149.7218,57.2052,2507,13,16.44,6,0.01,E,5.72,1.61,345.72,9.44,1.41,13.74,1
SKQ202106S,KOD10,B,2021-04-25T19:34:19,-149.7218,57.2052,2507,13,2.02,11,0.5,U,5.55,1.12,492.48,0,1.08,9.3,1
SKQ202106S,MID10,B,2021-04-26T18:33:19,-146.001,58.9103,4440,15,1.45,11,1,E,3.25,1.1,496.64,9.57,5.06,237.08,1
SKQ202106S,MID10,B,2021-04-26T18:30:34,-146.001,58.9103,4440,15,3.86,10,0.5,E,2.97,1.15,475.02,9.57,5.08,227.74,1
SKQ202106S,MID10,B,2021-04-26T18:28:57,-146.001,58.9103,4440,15,6.55,9,0.3,E,3.14,1.33,422.63,9.57,4.89,193.06,1
SKQ202106S,MID10,B,2021-04-26T18:25:25,-146.001,58.9103,4440,15,12.03,7,0.1,E,2.29,0.77,247.72,9.56,4.18,92.34,1
SKQ202106S,MID10,B,2021-04-26T18:23:16,-146.001,58.9103,4440,15,15.24,6,0.05,E,1.64,0.92,151.37,9.55,2.62,28.05,1
SKQ202106S,MID10,B,2021-04-26T18:19:35,-146.001,58.9103,4440,15,23.15,4,0.01,E,1.53,0.7,95.63,9.55,1.69,7.02,1
SKQ202106S,MID10,B,2021-04-26T18:30:34,-146.001,58.9103,4440,15,3.86,10,0.5,U,2.35,1.18,266.62,0,1.08,2.96,1
