Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],Quality_Flag
TGX201909,PWS2,B,2019-09-12T20:41:08,-147.8028,60.536,736,5,0.17,27.67,7.88,17.77,368.73,1
TGX201909,MID2,B,2019-09-14T20:01:52,-145.6488,60.1017,118,18,0.13,35.36,18.67,25.04,513.17,1
TGX201909,MID5,B,2019-09-15T18:06:26,-146.1008,59.652,92,28,0.15,30.74,5.85,50.85,359.99,1
TGX201909,GAK1,B,2019-09-16T18:44:49,-149.4802,59.848,268,36,0.16,29.21,21.05,14.51,712.09,1
TGX201909,GAK5,B,2019-09-17T18:52:32,-148.9342,59.2437,168,46,0.17,27.67,15.59,54.08,1325.46,1
TGX201909,GAK9,B,2019-09-19T18:04:58,-148.349,58.6778,280,57,0.14,32.28,11.02,29.62,721.76,1
TGX201909,KOD5,B,2019-09-22T17:23:46,-150.7582,57.7832,87,65,0.15,30.74,10.43,31.34,832.53,1
