Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
SKQ202010S,GAK1,B,2020-07-02T21:58:49,-149.4668,59.845,269.7,2,2.1,15,1,E,0.32,0.09,162.76,10.77,2.31,21.02,1
SKQ202010S,GAK1,B,2020-07-02T21:56:21,-149.4668,59.845,269.7,2,4.35,14,0.5,E,0.34,0.11,191.18,10.68,2.27,24.1,1
SKQ202010S,GAK1,B,2020-07-02T21:56:21,-149.4668,59.845,269.7,2,4.35,14,0.5,U,0.34,0.11,187.72,0,1.08,12.29,1
SKQ202010S,GAK1,B,2020-07-02T21:54:38,-149.4668,59.845,269.7,2,7.38,13,0.3,E,0.37,0.08,204.45,10.51,2.3,27.09,1
SKQ202010S,GAK1,B,2020-07-02T21:51:03,-149.4668,59.845,269.7,2,13.33,10,0.1,E,1.26,0.48,250.38,9.93,2.74,47.82,1
SKQ202010S,GAK1,B,2020-07-02T21:48:25,-149.4668,59.845,269.7,2,20.1,8,0.05,E,1.99,0.54,289.5,9.85,1.95,29.15,1
SKQ202010S,GAK1,B,2020-07-02T21:45:46,-149.4668,59.845,269.7,2,27.39,4,0.01,E,0.57,0.38,76.85,9.8,1.37,2.58,1
SKQ202010S,GAK5,B,2020-07-04T21:16:56,-148.9105,59.2613,171,7,2.53,8,1,E,0.64,0.15,207.65,9.61,2.09,25.14,1
SKQ202010S,GAK5,B,2020-07-04T21:13:50,-148.9105,59.2613,171,7,3.5,7,0.5,E,0.57,0.18,197.32,9.61,2.01,22.03,1
SKQ202010S,GAK5,B,2020-07-04T21:12:11,-148.9105,59.2613,171,7,6.28,6,0.3,E,0.64,0.09,191.57,9.61,1.86,17.76,1
SKQ202010S,GAK5,B,2020-07-04T21:08:28,-148.9105,59.2613,171,7,11.87,4,0.1,E,1.28,0.33,236.78,9.6,2.27,33.62,1
SKQ202010S,GAK5,B,2020-07-04T21:08:28,-148.9105,59.2613,171,7,11.87,4,0.5,U,0.57,0.18,206.49,0,1.08,16.22,1
SKQ202010S,GAK5,B,2020-07-04T21:06:29,-148.9105,59.2613,171,7,16.2,3,0.05,E,1.33,0.56,212.54,9.6,1.71,16.05,1
SKQ202010S,GAK5,B,2020-07-04T21:03:36,-148.9105,59.2613,171,7,25.59,2,0.01,E,1.6,0.45,199.37,9.59,1.25,4.08,1
SKQ202010S,GAK9,B,2020-07-06T17:36:39,-148.3495,58.6793,274,17,2.34,12,1,E,0.8,0.7,245.56,9.62,3.02,56.3,1
SKQ202010S,GAK9,B,2020-07-06T17:34:28,-148.3495,58.6793,274,17,4.09,11,0.5,E,2,0.63,242.36,9.63,2.94,53.2,1
SKQ202010S,GAK9,B,2020-07-06T17:34:28,-148.3495,58.6793,274,17,4.09,11,0.5,U,2,0.63,209,0,1.08,4.53,1
SKQ202010S,GAK9,B,2020-07-06T17:32:45,-148.3495,58.6793,274,17,6.26,10,0.3,E,1.89,0.41,225.88,9.63,2.68,42.85,1
SKQ202010S,GAK9,B,2020-07-06T17:28:55,-148.3495,58.6793,274,17,12.27,7,0.1,E,0.95,0.27,234.9,9.62,2.63,43.17,1
SKQ202010S,GAK9,B,2020-07-06T17:26:53,-148.3495,58.6793,274,17,16.65,6,0.05,E,0.95,0.35,199.69,9.6,1.6,12.22,1
SKQ202010S,GAK9,B,2020-07-06T17:23:00,-148.3495,58.6793,274,17,25.38,3,0.01,E,0.89,0.28,98.1,9.56,1.3,2.55,1
SKQ202010S,GAK15,B,2020-07-07T17:46:10,-147.5,57.791,4523,22,2.92,14,1,E,0.19,0.03,94.66,9.46,2.49,16.39,1
SKQ202010S,GAK15,B,2020-07-07T17:43:53,-147.5,57.791,4523,22,7.95,12,0.5,E,0.17,0.04,81.44,9.46,2.28,12.08,1
SKQ202010S,GAK15,B,2020-07-07T17:43:53,-147.5,57.791,4523,22,7.95,12,0.5,U,0.17,0.04,79.04,0,1.08,5.75,1
SKQ202010S,GAK15,B,2020-07-07T17:40:07,-147.5,57.791,4523,22,14.54,9,0.3,E,0.19,0.06,82.66,9.46,2.12,10.59,1
SKQ202010S,GAK15,B,2020-07-07T17:36:16,-147.5,57.791,4523,22,28.28,7,0.1,E,0.22,0.06,65.15,9.44,1.69,4.88,1
SKQ202010S,GAK15,B,2020-07-07T17:33:05,-147.5,57.791,4523,22,36.55,5,0.05,E,0.26,0.1,66.79,9.43,1.42,2.83,1
SKQ202010S,GAK15,B,2020-07-07T17:26:03,-147.5,57.791,4523,22,55.72,1,0.01,E,0.32,0.2,40.94,9.42,1.27,0.94,1
SKQ202010S,MID10,B,2020-07-08T17:29:09,-146.0003,58.9097,4445,26,2.97,7,1,E,0.37,0.1,167.48,9.67,2.38,25.99,1
SKQ202010S,MID10,B,2020-07-08T17:27:09,-146.0003,58.9097,4445,26,4.02,6,0.5,E,0.44,0.13,175.25,9.61,2.25,24.52,1
SKQ202010S,MID10,B,2020-07-08T17:27:09,-146.0003,58.9097,4445,26,4.02,6,0.5,U,0.44,0.13,173.94,0,1.08,1.74,1
SKQ202010S,MID10,B,2020-07-08T17:25:27,-146.0003,58.9097,4445,26,8.16,5,0.3,E,0.56,0.16,175.42,9.56,2.19,23.59,1
SKQ202010S,MID10,B,2020-07-08T17:22:11,-146.0003,58.9097,4445,26,15.31,3,0.1,E,0.81,0.38,141.76,9.54,2.62,26.37,1
SKQ202010S,MID10,B,2020-07-08T17:20:37,-146.0003,58.9097,4445,26,19.31,2,0.05,E,0.59,0.33,76.4,9.52,1.56,4.46,1
SKQ202010S,MID10,B,2020-07-08T17:18:17,-146.0003,58.9097,4445,26,29.34,1,0.01,E,0.27,0.21,40.32,9.5,1.17,0.45,1
SKQ202010S,MID5,B,2020-07-09T19:26:27,-146.1057,59.6512,94,36,3.34,8,1,E,0.44,0.13,153.55,9.82,2.44,24.41,1
SKQ202010S,MID5,B,2020-07-09T19:24:42,-146.1057,59.6512,94,36,4.07,7,0.5,E,0.5,0.1,160.19,9.82,2.36,23.96,1
SKQ202010S,MID5,B,2020-07-09T19:24:42,-146.1057,59.6512,94,36,4.07,7,0.5,U,0.5,0.1,157.65,0,1.08,7.51,1
SKQ202010S,MID5,B,2020-07-09T19:23:09,-146.1057,59.6512,94,36,6.97,6,0.3,E,0.63,0.17,174.51,9.79,2.31,25.18,1
SKQ202010S,MID5,B,2020-07-09T19:19:53,-146.1057,59.6512,94,36,14.05,4,0.1,E,0.77,0.25,171.22,9.75,2.12,21.01,1
SKQ202010S,MID5,B,2020-07-09T19:18:14,-146.1057,59.6512,94,36,18.04,3,0.05,E,0.93,0.27,152.03,9.74,1.43,6.27,1
SKQ202010S,MID5,B,2020-07-09T19:14:58,-146.1057,59.6512,94,36,28.24,1,0.01,E,0.49,0.36,67.15,9.57,1.31,1.83,1
SKQ202010S,MID2,B,2020-07-10T17:35:46,-145.6497,60.1,120,44,2.49,7,1,E,0.35,0.11,155.51,10.35,3.01,32.87,1
SKQ202010S,MID2,B,2020-07-10T17:32:39,-145.6497,60.1,120,44,4.13,6,0.5,E,0.48,0.15,166.52,10.33,3.24,39.42,1
SKQ202010S,MID2,B,2020-07-10T17:32:39,-145.6497,60.1,120,44,4.13,6,0.5,U,0.48,0.15,142.62,0,1.08,2,1
