Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Attenuation_coefficient_[1/m],Euphotic_zone_depth_[m],Incident_PAR_dose_[mol photons/m^2],Integrated_Chl_a_[mg/m^2],Integrated_production_[mg/m^2/d],Quality_Flag
TGX202109,MID10,B,2021-09-14T19:38:25,-145.9883,58.911,4443,2,0.1,47.65,19.3,19.7,728.7,1
TGX202109,MID5,B,2021-09-15T22:34:25,-146.1082,59.6473,97,11,0.12,38.43,5.2,14,225.9,1
TGX202109,PWS2,B,2021-09-16T20:00:01,-147.8023,60.534,739,22,0.15,30.74,7.1,10.8,351.5,1
TGX202109,GAK9,B,2021-09-18T18:46:50,-148.3412,58.6807,275,27,0.14,32.28,20.1,16.7,510,9
TGX202109,GAK15,B,2021-09-19T16:55:40,-147.494,57.7887,4240,33,0.14,33.82,19.9,17.9,431.9,1
TGX202109,GAK5,B,2021-09-20T17:05:24,-148.9162,59.2407,169,37,0.18,26.13,6.1,40.8,774.8,1
TGX202109,GAK1,B,2021-09-25T16:47:17,-149.4832,59.8445,269,57,0.18,26.13,11.2,20.1,424.6,1
