Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
SKQ201915S,PWS2,B,2019-06-30T21:15:42,-147.8043,60.5347,735,4,2.95,18,1,E,0.38,0.08,210.18,10.59,1.79,16.07,1
SKQ201915S,PWS2,B,2019-06-30T21:13:23,-147.8043,60.5347,735,4,3.33,16,0.5,E,0.42,0.14,235.18,10.54,1.70,15.79,1
SKQ201915S,PWS2,B,2019-06-30T21:11:34,-147.8043,60.5347,735,4,6.32,14,0.3,E,0.65,0.22,276.07,10.09,1.60,16.41,1
SKQ201915S,PWS2,B,2019-06-30T21:08:22,-147.8043,60.5347,735,4,11.3,9,0.1,E,1.10,0.30,304.48,10.00,1.51,14.98,1
SKQ201915S,PWS2,B,2019-06-30T21:06:03,-147.8043,60.5347,735,4,14.19,8,0.05,E,1.45,0.34,294.50,9.95,1.24,5.66,1
SKQ201915S,PWS2,B,2019-06-30T21:02:22,-147.8043,60.5347,735,4,22.6,5,0.01,E,2.60,1.30,199.87,9.82,1.21,3.02,1
SKQ201915S,PWS2,B,2019-06-30T21:13:23,-147.8043,60.5347,735,4,3.33,16,0.5,U,0.42,0.14,238.82,0.00,1.08,18.77,1
SKQ201915S,MID2,B,2019-07-01T22:18:22,-145.6498,60.0997,122,7,0,NaN,1,E,0.14,0.06,86.05,10.61,2.49,13.21,9
SKQ201915S,MID2,B,2019-07-01T22:18:22,-145.6498,60.0997,122,7,5.3,8,0.5,E,0.28,0.14,174.83,10.61,2.06,18.55,1
SKQ201915S,MID2,B,2019-07-01T22:16:24,-145.6498,60.0997,122,7,5.75,7,0.3,E,0.49,0.52,346.99,10.38,1.70,24.05,1
SKQ201915S,MID2,B,2019-07-01T22:13:21,-145.6498,60.0997,122,7,11.3,3,0.1,E,0.63,0.64,281.02,10.00,2.47,44.89,1
SKQ201915S,MID2,B,2019-07-01T22:12:00,-145.6498,60.0997,122,7,14.26,2,0.05,E,0.37,0.28,158.47,9.93,1.75,12.31,1
SKQ201915S,MID2,B,2019-07-01T22:10:06,-145.6498,60.0997,122,7,22.25,1,0.01,E,0.51,0.49,87.77,9.78,1.21,1.42,1
SKQ201915S,MID2,B,2019-07-01T22:18:22,-145.6498,60.0997,122,7,5.3,8,0.5,U,0.28,0.14,179.85,0.00,1.08,8.43,1
SKQ201915S,MID5,B,2019-07-02T19:21:09,-146.102,59.649,96,13,4.21,11,1,E,0.27,0.13,157.52,9.98,1.78,12.41,1
SKQ201915S,MID5,B,2019-07-02T19:19:20,-146.102,59.649,96,13,4.1,8,0.5,E,0.26,0.16,167.99,9.97,1.70,11.74,1
SKQ201915S,MID5,B,2019-07-02T19:17:55,-146.102,59.649,96,13,7.09,7,0.3,E,0.30,0.15,151.72,9.92,1.66,10.01,1
SKQ201915S,MID5,B,2019-07-02T19:14:29,-146.102,59.649,96,13,13.19,3,0.1,E,0.97,0.78,188.83,9.59,1.69,13.50,1
SKQ201915S,MID5,B,2019-07-02T19:12:10,-146.102,59.649,96,13,17.52,2,0.05,E,0.69,0.48,121.04,9.55,1.92,11.96,1
SKQ201915S,MID5,B,2019-07-02T19:09:46,-146.102,59.649,96,13,26.52,1,0.01,E,0.11,0.16,39.52,9.53,1.16,0.39,1
SKQ201915S,MID5,B,2019-07-02T19:19:20,-146.102,59.649,96,13,4.1,8,0.5,U,0.26,0.16,140.15,0.00,1.08,3.16,1
SKQ201915S,MID10,B,2019-07-03T17:00:26,-145.9948,58.9092,4443,17,4.06,9,1,E,0.19,0.09,165.36,9.51,1.95,17.73,1
SKQ201915S,MID10,B,2019-07-03T16:59:04,-145.9948,58.9092,4443,17,5.03,8,0.5,E,0.25,0.09,145.43,9.51,1.79,12.83,1
SKQ201915S,MID10,B,2019-07-03T16:57:46,-145.9948,58.9092,4443,17,9.54,7,0.3,E,0.58,0.17,218.64,9.51,2.42,36.18,1
SKQ201915S,MID10,B,2019-07-03T16:53:32,-145.9948,58.9092,4443,17,17.33,3,0.1,E,0.84,0.36,130.94,9.49,2.54,23.78,1
SKQ201915S,MID10,B,2019-07-03T16:51:29,-145.9948,58.9092,4443,17,22.58,2,0.05,E,0.59,0.27,76.98,9.48,1.67,5.62,1
SKQ201915S,MID10,B,2019-07-03T16:48:15,-145.9948,58.9092,4443,17,33.37,1,0.01,E,0.56,0.25,56.72,9.47,1.25,1.25,1
SKQ201915S,MID10,B,2019-07-03T16:59:04,-145.9948,58.9092,4443,17,5.03,8,0.5,U,0.25,0.09,153.55,0.00,1.08,7.05,1
SKQ201915S,PL1,B,2019-07-04T16:39:39,-145.9195,59.829,102,21,4.04,8,1,E,0.18,0.10,123.62,11.72,2.10,12.17,1
