Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,surface_irradiance,Enriched_or_unenriched_[E/U],Chl_a_[ug/L],Phaeopigments_[ug/L],POC_[ugC/L],13C_[At_%]_DIC,13C_[At_%]_POC,Production_(ugC/L/d),Quality_flag
TGX201809,GAK1,B,2018-09-12T18:30:00,-149.4853,59.8467,268,2,2.73,12,1,E,0.28,0.06,222.26,12.59,1.62,10.53,1
TGX201809,GAK1,B,2018-09-12T18:27:56,-149.4853,59.8467,268,2,5.32,11,0.5,E,0.26,0.08,138.68,12.49,2.44,16.66,1
TGX201809,GAK1,B,2018-09-12T18:26:54,-149.4853,59.8467,268,2,9.51,9,0.3,E,0.27,0.07,133.2,12.15,1.98,10.86,1
TGX201809,GAK1,B,2018-09-12T18:25:14,-149.4853,59.8467,268,2,15.97,7,0.1,E,0.47,0.14,153.83,11.32,2.01,14.07,1
TGX201809,GAK1,B,2018-09-12T18:23:13,-149.4853,59.8467,268,2,21.17,5,0.05,E,0.48,0.17,139.6,10.51,1.38,4.51,1
TGX201809,GAK1,B,2018-09-12T18:20:51,-149.4853,59.8467,268,2,33.04,3,0.01,E,0.15,0.09,71.9,9.76,1.13,0.46,1
TGX201809,GAK1,B,2018-09-12T18:27:56,-149.4853,59.8467,268,2,5.32,11,0.5,E,0.26,0.08,110.35,12.49,1.10,0.25,1
TGX201809,GAK1,B,2018-09-12T18:27:56,-149.4853,59.8467,268,2,5.32,11,0.5,U,0.26,0.08,124.93,0,1.08,2.41,1
TGX201809,GAK5,B,2018-09-13T16:38:42,-148.9278,59.2423,168,11,2.54,12,1,E,0.42,0.16,175.87,9.8,2.36,27.77,1
TGX201809,GAK5,B,2018-09-13T16:37:34,-148.9278,59.2423,168,11,3.8,11,0.5,E,0.42,0.14,169.23,9.8,2.46,28.87,1
TGX201809,GAK5,B,2018-09-13T16:36:15,-148.9278,59.2423,168,11,7.29,9,0.3,E,0.47,0.15,167.45,9.77,2.35,26.44,1
TGX201809,GAK5,B,2018-09-13T16:34:08,-148.9278,59.2423,168,11,14.85,7,0.1,E,0.88,0.4,219.97,9.66,2.31,33.91,1
TGX201809,GAK5,B,2018-09-13T16:32:57,-148.9278,59.2423,168,11,19.87,6,0.05,E,0.96,0.45,212.59,9.59,1.44,9.82,1
TGX201809,GAK5,B,2018-09-13T16:30:48,-148.9278,59.2423,168,11,29.52,4,0.01,E,0.51,0.35,82,9.49,1.33,2.68,1
TGX201809,GAK5,B,2018-09-13T16:37:34,-148.9278,59.2423,168,11,3.8,11,0.5,E,0.42,0.14,137.71,9.8,1.11,0.53,1
TGX201809,GAK5,B,2018-09-13T16:37:34,-148.9278,59.2423,168,11,3.8,11,0.5,U,0.42,0.14,153.38,0,1.08,1.92,1
TGX201809,GAK9,B,2018-09-14T17:35:29,-148.3415,58.6798,280,20,2.56,11,1,E,0.35,0.1,182.55,9.62,2.49,28.75,1
TGX201809,GAK9,B,2018-09-14T17:34:18,-148.3415,58.6798,280,20,3.58,9,0.5,E,0.32,0.14,160.79,9.61,2.42,24.12,1
TGX201809,GAK9,B,2018-09-14T17:33:31,-148.3415,58.6798,280,20,7.89,8,0.3,E,0.39,0.18,154.65,9.59,2.32,21.38,1
