Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Temperature_[C],Conductivity_[S/m],Salinity_[psu],Sound_Speed_[m/s],Nitrate_[uM],Temperature_UNCSW_[C],Flow_Speed_[m/s],Volume_Flow_[l/min],Chlorophyll_a_[ug/l]
SKQ202010S,TSG,2020-05-04T14:22:00Z,-149.4251,60.0875,155.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SKQ202010S,TSG,2020-05-04T14:23:00Z,-149.4227,60.0854,160.87,9.4293,3.1954,NaN,1480.751,NaN,NaN,0.13,1.36,2.39
SKQ202010S,TSG,2020-05-04T14:24:00Z,-149.42,60.0833,169.19,8.4155,3.1789,NaN,1477.783,NaN,NaN,0.13,1.37,2.24
SKQ202010S,TSG,2020-05-04T14:25:00Z,-149.4174,60.0811,178.47,8.1525,3.1665,30.0282,1476.901,NaN,NaN,0.14,1.44,2.2
SKQ202010S,TSG,2020-05-04T14:26:00Z,-149.4149,60.0789,187.03,8.1505,3.1689,30.0543,1476.926,NaN,NaN,0.13,1.42,2.17
SKQ202010S,TSG,2020-05-04T14:27:00Z,-149.4124,60.0766,194.91,8.2699,3.1798,30.0668,1477.396,NaN,NaN,0.13,1.42,2.1
SKQ202010S,TSG,2020-05-04T14:28:00Z,-149.4099,60.0744,203.18,8.2316,3.18,30.1012,1477.292,NaN,NaN,0.13,1.37,2.02
SKQ202010S,TSG,2020-05-04T14:29:00Z,-149.4073,60.0721,213.27,8.621,3.2356,30.3465,1479.061,NaN,NaN,0.32,3.35,1.86
SKQ202010S,TSG,2020-05-04T14:30:00Z,-149.4048,60.0699,225.78,7.7861,3.1711,30.3927,1475.949,NaN,NaN,0.43,4.57,1.97
SKQ202010S,TSG,2020-05-04T14:31:00Z,-149.4023,60.0676,236.83,7.6327,3.1574,30.3808,1475.343,NaN,NaN,0.49,5.14,1.95
SKQ202010S,TSG,2020-05-04T14:32:00Z,-149.3998,60.0654,247.05,7.6552,3.1571,30.3577,1475.402,NaN,NaN,0.36,3.8,1.81
SKQ202010S,TSG,2020-05-04T14:33:00Z,-149.3973,60.0632,250.0,7.6371,3.1516,30.3149,1475.278,NaN,NaN,0.39,4.1,1.77
SKQ202010S,TSG,2020-05-04T14:34:00Z,-149.3949,60.061,246.15,7.6342,3.1454,30.2518,1475.189,NaN,NaN,0.39,4.13,1.73
SKQ202010S,TSG,2020-05-04T14:35:00Z,-149.3924,60.0588,236.26,7.6765,3.1428,30.1878,1475.273,NaN,NaN,0.42,4.42,1.69
SKQ202010S,TSG,2020-05-04T14:36:00Z,-149.3899,60.0566,234.59,7.6888,3.1425,30.1738,1475.303,NaN,NaN,0.42,4.43,1.7
SKQ202010S,TSG,2020-05-04T14:37:00Z,-149.3874,60.0544,228.06,7.6955,3.1439,30.1829,1475.34,NaN,NaN,0.42,4.43,1.69
SKQ202010S,TSG,2020-05-04T14:38:00Z,-149.385,60.0522,216.12,7.6929,3.1403,30.1466,1475.285,NaN,NaN,0.42,4.43,1.68
SKQ202010S,TSG,2020-05-04T14:39:00Z,-149.3826,60.05,238.59,7.685,3.1382,30.1316,1475.236,NaN,NaN,0.42,4.42,1.67
SKQ202010S,TSG,2020-05-04T14:40:00Z,-149.3802,60.0478,272.59,7.6632,3.1414,30.1846,1475.218,NaN,NaN,0.42,4.43,1.66
SKQ202010S,TSG,2020-05-04T14:41:00Z,-149.3778,60.0455,291.31,7.6179,3.1499,30.3143,1475.204,NaN,NaN,0.42,4.42,1.66
SKQ202010S,TSG,2020-05-04T14:42:00Z,-149.3754,60.0433,292.35,7.5672,3.1605,30.4713,1475.203,NaN,NaN,0.42,4.42,1.66
SKQ202010S,TSG,2020-05-04T14:43:00Z,-149.373,60.0411,292.25,7.5387,3.1694,30.5916,1475.242,NaN,6.8112,0.38,4.06,1.65
SKQ202010S,TSG,2020-05-04T14:44:00Z,-149.3705,60.0389,291.99,7.5277,3.1749,30.6601,1475.285,NaN,6.7676,0.34,3.66,1.64
SKQ202010S,TSG,2020-05-04T14:45:00Z,-149.3681,60.0366,291.99,7.4404,3.1734,30.7215,1475.024,NaN,6.7297,0.34,3.61,1.65
SKQ202010S,TSG,2020-05-04T14:46:00Z,-149.366,60.0343,291.8,7.196,3.1622,30.8176,1474.194,NaN,6.7174,0.38,4.0,1.74
SKQ202010S,TSG,2020-05-04T14:47:00Z,-149.364,60.0321,291.46,7.1126,3.1601,30.8695,1473.933,NaN,6.7668,0.38,4.03,1.72
SKQ202010S,TSG,2020-05-04T14:48:00Z,-149.3622,60.0299,292.14,7.121,3.1619,30.8816,1473.981,NaN,6.8562,0.38,4.03,1.69
SKQ202010S,TSG,2020-05-04T14:49:00Z,-149.3603,60.028,292.71,7.1754,3.1649,30.8651,1474.172,NaN,6.9162,0.38,4.03,1.67
SKQ202010S,TSG,2020-05-04T14:50:00Z,-149.3586,60.0266,293.93,7.3258,3.1725,30.8128,1474.692,NaN,6.9784,0.38,4.06,1.67
SKQ202010S,TSG,2020-05-04T14:51:00Z,-149.3581,60.0259,293.77,7.3584,3.1757,30.8183,1474.826,NaN,7.0122,0.39,4.11,1.61
SKQ202010S,TSG,2020-05-04T14:52:00Z,-149.3581,60.0255,293.22,7.3636,3.1748,30.8038,1474.828,NaN,7.0262,0.39,4.12,1.58
SKQ202010S,TSG,2020-05-04T14:53:00Z,-149.3581,60.0252,294.84,7.3816,3.1761,30.8026,1474.896,NaN,7.0327,0.39,4.12,1.58
SKQ202010S,TSG,2020-05-04T14:54:00Z,-149.3581,60.0251,293.59,7.3946,3.1691,30.7158,1474.839,NaN,6.9907,0.39,4.12,1.55
SKQ202010S,TSG,2020-05-04T14:55:00Z,-149.3581,60.025,292.81,7.3898,3.1537,30.5548,1474.62,NaN,6.9491,0.39,4.12,1.51
SKQ202010S,TSG,2020-05-04T14:56:00Z,-149.3581,60.025,292.74,7.3374,3.1297,30.3429,1474.153,NaN,6.925,0.39,4.13,1.48
SKQ202010S,TSG,2020-05-04T14:57:00Z,-149.3581,60.025,292.35,7.3105,3.1357,30.4311,1474.158,NaN,6.9335,0.39,4.14,1.52
SKQ202010S,TSG,2020-05-04T14:58:00Z,-149.3581,60.025,292.11,7.2977,3.1437,30.5285,1474.23,NaN,6.8436,0.39,4.16,1.55
SKQ202010S,TSG,2020-05-04T14:59:00Z,-149.3581,60.025,292.07,7.2882,3.1487,30.5911,1474.271,NaN,6.495,0.39,4.14,1.56
SKQ202010S,TSG,2020-05-04T15:00:00Z,-149.3581,60.025,292.07,7.1048,3.1654,30.9346,1473.984,NaN,6.5634,0.39,4.15,1.64
SKQ202010S,TSG,2020-05-04T15:01:00Z,-149.3581,60.025,292.11,6.9119,3.1578,31.0254,1473.343,NaN,6.5759,0.39,4.14,1.65
SKQ202010S,TSG,2020-05-04T15:02:00Z,-149.3581,60.025,292.13,6.9539,3.1498,30.9003,1473.351,NaN,6.5665,0.39,4.14,1.63
SKQ202010S,TSG,2020-05-04T15:03:00Z,-149.3581,60.025,292.15,6.9587,3.1525,30.9253,1473.402,NaN,6.5556,0.39,4.14,1.64
SKQ202010S,TSG,2020-05-04T15:04:00Z,-149.3581,60.025,292.07,6.9374,3.1656,31.0869,1473.52,NaN,6.6061,0.39,4.14,1.7
SKQ202010S,TSG,2020-05-04T15:05:00Z,-149.3581,60.025,291.85,6.9494,3.1712,31.1368,1473.629,NaN,6.6512,0.39,4.14,1.7
SKQ202010S,TSG,2020-05-04T15:06:00Z,-149.3581,60.025,291.92,6.9908,3.1735,31.1248,1473.776,NaN,6.6724,0.39,4.14,1.72
SKQ202010S,TSG,2020-05-04T15:07:00Z,-149.3581,60.025,292.2,7.0272,3.176,31.1193,1473.911,NaN,6.6657,0.39,4.14,1.73
SKQ202010S,TSG,2020-05-04T15:08:00Z,-149.3581,60.025,291.98,7.0357,3.1771,31.123,1473.95,NaN,6.6645,0.39,4.15,1.71
SKQ202010S,TSG,2020-05-04T15:09:00Z,-149.3581,60.025,292.17,7.0294,3.1772,31.1302,1473.934,NaN,6.6741,0.39,4.15,1.7
