Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Temperature_[C],Conductivity_[S/m],Salinity_[psu],Sound_Speed_[m/s],Nitrate_[uM],Temperature_UNCSW_[C],Flow_Speed_[m/s],Volume_Flow_[l/min],Chlorophyll_a_[ug/l]
SKQ202110S,TSG,2021-06-28T00:38:00Z,-149.3583,60.0266,294.02,11.6277,3.1621,27.2309,1486.251,1.345,11.3494,0.36,3.8,2.79
SKQ202110S,TSG,2021-06-28T00:39:00Z,-149.3581,60.0262,295.21,11.5326,3.1923,27.589,1486.344,1.335,11.2119,0.36,3.85,2.82
SKQ202110S,TSG,2021-06-28T00:40:00Z,-149.3581,60.026,294.19,11.3944,3.2178,27.9371,1486.272,1.324,11.0415,0.36,3.84,3.06
SKQ202110S,TSG,2021-06-28T00:41:00Z,-149.3581,60.026,294.23,11.2469,3.2352,28.2157,1486.083,1.314,10.8453,0.36,3.86,3.5
SKQ202110S,TSG,2021-06-28T00:42:00Z,-149.3579,60.026,294.36,11.0321,3.2514,28.5388,1485.706,1.304,10.6407,0.36,3.85,4.15
SKQ202110S,TSG,2021-06-28T00:43:00Z,-149.3578,60.0259,294.51,10.8508,3.2707,28.8683,1485.455,1.295,10.5208,0.36,3.85,4.86
SKQ202110S,TSG,2021-06-28T00:44:00Z,-149.3578,60.0259,294.55,10.7541,3.2858,29.0928,1485.379,1.286,10.5147,0.36,3.86,5.05
SKQ202110S,TSG,2021-06-28T00:45:00Z,-149.3578,60.0259,294.67,10.7107,3.2929,29.1965,1485.349,1.278,10.3143,0.36,3.87,4.83
SKQ202110S,TSG,2021-06-28T00:46:00Z,-149.3578,60.0259,296.97,10.5337,3.3092,29.4997,1485.078,1.278,10.3496,0.37,3.89,4.78
SKQ202110S,TSG,2021-06-28T00:47:00Z,-149.3578,60.0259,296.19,10.5831,3.3151,29.517,1485.277,1.279,10.4206,0.36,3.86,4.79
SKQ202110S,TSG,2021-06-28T00:48:00Z,-149.3578,60.0259,294.56,10.6314,3.322,29.546,1485.486,1.282,10.4248,0.36,3.86,4.65
SKQ202110S,TSG,2021-06-28T00:49:00Z,-149.3578,60.0259,294.07,10.632,3.3246,29.571,1485.518,1.285,10.4187,0.36,3.85,4.52
SKQ202110S,TSG,2021-06-28T00:50:00Z,-149.3578,60.0258,294.28,10.629,3.3253,29.581,1485.519,1.29,10.4386,0.37,3.88,4.46
SKQ202110S,TSG,2021-06-28T00:51:00Z,-149.3578,60.0258,294.39,10.6474,3.323,29.5432,1485.54,1.295,10.4566,0.36,3.86,4.52
SKQ202110S,TSG,2021-06-28T00:52:00Z,-149.3578,60.0258,294.32,10.6606,3.3198,29.5012,1485.536,1.298,10.4616,0.36,3.85,4.6
SKQ202110S,TSG,2021-06-28T00:53:00Z,-149.3578,60.0258,296.91,10.6634,3.32,29.5008,1485.546,1.3,10.455,0.36,3.85,4.68
SKQ202110S,TSG,2021-06-28T00:54:00Z,-149.3578,60.0258,295.67,10.6546,3.3144,29.4525,1485.456,1.3,10.437,0.36,3.86,4.81
SKQ202110S,TSG,2021-06-28T00:55:00Z,-149.3578,60.0258,296.58,10.6402,3.3051,29.3728,1485.308,1.299,10.4396,0.36,3.81,5.1
SKQ202110S,TSG,2021-06-28T00:56:00Z,-149.3578,60.0258,295.15,10.643,3.3076,29.3949,1485.345,1.298,10.4522,0.36,3.88,5.04
SKQ202110S,TSG,2021-06-28T00:57:00Z,-149.3578,60.0257,294.91,10.6541,3.3117,29.427,1485.423,1.299,10.4572,0.36,3.83,4.91
SKQ202110S,TSG,2021-06-28T00:58:00Z,-149.3577,60.0257,296.58,10.6567,3.3101,29.4087,1485.411,1.303,10.4537,0.37,3.89,4.94
SKQ202110S,TSG,2021-06-28T00:59:00Z,-149.3577,60.0257,294.7,10.6555,3.3113,29.4215,1485.422,1.308,10.4535,0.36,3.88,4.91
SKQ202110S,TSG,2021-06-28T01:00:00Z,-149.3577,60.0257,294.5,10.6571,3.3162,29.4683,1485.484,1.315,10.4494,0.36,3.85,4.88
SKQ202110S,TSG,2021-06-28T01:01:00Z,-149.3577,60.0257,294.23,10.6534,3.3183,29.492,1485.499,1.323,10.4537,0.37,3.89,4.86
SKQ202110S,TSG,2021-06-28T01:02:00Z,-149.3577,60.0257,294.53,10.6562,3.3185,29.4917,1485.509,1.329,10.4584,0.36,3.83,4.91
SKQ202110S,TSG,2021-06-28T01:03:00Z,-149.3577,60.0257,294.17,10.6599,3.3157,29.4618,1485.486,1.333,10.4572,0.36,3.86,4.96
SKQ202110S,TSG,2021-06-28T01:04:00Z,-149.3577,60.0256,294.06,10.6566,3.3086,29.3939,1485.392,1.336,10.4485,0.37,3.88,5.0
SKQ202110S,TSG,2021-06-28T01:05:00Z,-149.3577,60.0256,295.89,10.6484,3.301,29.3258,1485.281,1.337,10.4364,0.36,3.87,5.18
SKQ202110S,TSG,2021-06-28T01:06:00Z,-149.3577,60.0256,296.92,10.6345,3.3146,29.4711,1485.406,1.33,10.4137,0.36,3.85,4.98
SKQ202110S,TSG,2021-06-28T01:07:00Z,-149.3576,60.0256,295.46,10.6188,3.3224,29.5605,1485.458,1.325,10.4212,0.37,3.91,4.68
SKQ202110S,TSG,2021-06-28T01:08:00Z,-149.3576,60.0256,294.76,10.6226,3.3219,29.5526,1485.462,1.322,10.4142,0.37,3.87,4.67
SKQ202110S,TSG,2021-06-28T01:09:00Z,-149.3576,60.0256,294.76,10.6165,3.3242,29.5801,1485.473,1.321,10.4148,0.37,3.88,4.61
SKQ202110S,TSG,2021-06-28T01:10:00Z,-149.3576,60.0256,296.17,10.616,3.3246,29.5846,1485.477,1.323,10.4004,0.37,3.9,4.58
SKQ202110S,TSG,2021-06-28T01:11:00Z,-149.3576,60.0255,295.38,10.6014,3.3254,29.6048,1485.449,1.33,10.3848,0.36,3.86,4.55
SKQ202110S,TSG,2021-06-28T01:12:00Z,-149.3575,60.0255,294.17,10.5877,3.3261,29.6225,1485.421,1.338,10.39,0.36,3.87,4.52
SKQ202110S,TSG,2021-06-28T01:13:00Z,-149.3575,60.0255,294.57,10.5929,3.3255,29.612,1485.427,1.345,10.3885,0.36,3.88,4.51
SKQ202110S,TSG,2021-06-28T01:14:00Z,-149.3575,60.0255,294.09,10.5874,3.3257,29.6186,1485.415,1.353,10.3742,0.36,3.86,4.52
SKQ202110S,TSG,2021-06-28T01:15:00Z,-149.3574,60.0255,294.43,10.5781,3.3264,29.633,1485.399,1.361,10.3752,0.36,3.85,4.51
SKQ202110S,TSG,2021-06-28T01:16:00Z,-149.3574,60.0255,294.05,10.5799,3.3263,29.6303,1485.402,1.355,10.3686,0.36,3.87,4.49
SKQ202110S,TSG,2021-06-28T01:17:00Z,-149.3574,60.0255,293.92,10.5708,3.3266,29.6404,1485.382,1.349,10.3596,0.36,3.85,4.48
SKQ202110S,TSG,2021-06-28T01:18:00Z,-149.3573,60.0254,294.54,10.5645,3.3267,29.6473,1485.367,1.342,10.3604,0.36,3.88,4.47
SKQ202110S,TSG,2021-06-28T01:19:00Z,-149.3572,60.0254,295.08,10.564,3.3266,29.6464,1485.365,1.336,10.3605,0.36,3.85,4.44
SKQ202110S,TSG,2021-06-28T01:20:00Z,-149.3572,60.0254,294.52,10.5618,3.3265,29.6475,1485.358,1.329,10.351,0.37,3.88,4.45
SKQ202110S,TSG,2021-06-28T01:21:00Z,-149.3571,60.0254,295.85,10.5533,3.3271,29.6599,1485.342,1.34,10.3437,0.36,3.84,4.48
SKQ202110S,TSG,2021-06-28T01:22:00Z,-149.3571,60.0254,295.01,10.5473,3.3272,29.6654,1485.328,1.351,10.3579,0.36,3.84,4.48
SKQ202110S,TSG,2021-06-28T01:23:00Z,-149.357,60.0254,294.18,10.5625,3.3259,29.6409,1485.353,1.362,10.3912,0.36,3.86,4.44
SKQ202110S,TSG,2021-06-28T01:24:00Z,-149.357,60.0253,294.67,10.5897,3.3246,29.6063,1485.409,1.373,10.3744,0.36,3.88,4.49
SKQ202110S,TSG,2021-06-28T01:25:00Z,-149.357,60.0253,295.15,10.5718,3.3259,29.6332,1485.377,1.383,10.3703,0.36,3.86,4.46
SKQ202110S,TSG,2021-06-28T01:26:00Z,-149.357,60.0253,293.89,10.5727,3.3246,29.6202,1485.364,1.382,10.3817,0.36,3.86,4.46
SKQ202110S,TSG,2021-06-28T01:27:00Z,-149.357,60.0253,294.12,10.5792,3.325,29.6178,1485.385,1.381,10.3705,0.36,3.86,4.47
SKQ202110S,TSG,2021-06-28T01:28:00Z,-149.357,60.0253,294.23,10.5711,3.3256,29.6306,1485.371,1.379,10.3963,0.36,3.82,4.47
SKQ202110S,TSG,2021-06-28T01:29:00Z,-149.357,60.0253,293.93,10.6003,3.3219,29.571,1485.404,1.376,10.4158,0.36,3.81,4.61
SKQ202110S,TSG,2021-06-28T01:30:00Z,-149.357,60.0253,294.8,10.6087,3.3019,29.3665,1485.187,1.373,10.3916,0.36,3.83,5.21
SKQ202110S,TSG,2021-06-28T01:31:00Z,-149.3571,60.0253,295.9,10.5879,3.2842,29.2088,1484.922,1.361,10.4302,0.36,3.82,5.81
SKQ202110S,TSG,2021-06-28T01:32:00Z,-149.3571,60.0253,296.54,10.639,3.2795,29.1217,1485.001,1.347,10.5046,0.36,3.84,5.81
SKQ202110S,TSG,2021-06-28T01:33:00Z,-149.3571,60.0252,295.01,10.6892,3.2873,29.1588,1485.226,1.331,10.4631,0.36,3.85,5.55
SKQ202110S,TSG,2021-06-28T01:34:00Z,-149.357,60.0252,293.85,10.6568,3.3005,29.3142,1485.297,1.314,10.4445,0.37,3.86,5.31
SKQ202110S,TSG,2021-06-28T01:35:00Z,-149.357,60.0252,293.82,10.6401,3.312,29.4413,1485.39,1.296,10.4284,0.36,3.85,5.02
SKQ202110S,TSG,2021-06-28T01:36:00Z,-149.357,60.0252,293.91,10.6256,3.3188,29.5194,1485.433,1.281,10.4111,0.36,3.84,4.83
SKQ202110S,TSG,2021-06-28T01:37:00Z,-149.357,60.0252,293.77,10.6113,3.3224,29.5661,1485.438,1.282,10.4112,0.36,3.84,4.68
SKQ202110S,TSG,2021-06-28T01:38:00Z,-149.357,60.0252,295.12,10.6132,3.3221,29.5619,1485.439,1.283,10.4132,0.36,3.82,4.63
SKQ202110S,TSG,2021-06-28T01:39:00Z,-149.357,60.0252,293.97,10.6138,3.3224,29.5649,1485.445,1.283,10.4246,0.36,3.83,4.61
SKQ202110S,TSG,2021-06-28T01:40:00Z,-149.357,60.0252,296.5,10.6272,3.3198,29.5283,1485.449,1.282,10.4431,0.36,3.86,4.65
SKQ202110S,TSG,2021-06-28T01:41:00Z,-149.357,60.0251,293.85,10.6406,3.3172,29.4919,1485.453,1.285,10.4494,0.36,3.86,4.75
SKQ202110S,TSG,2021-06-28T01:42:00Z,-149.357,60.0251,293.76,10.6476,3.3131,29.4455,1485.422,1.29,10.4512,0.37,3.89,4.9
SKQ202110S,TSG,2021-06-28T01:43:00Z,-149.357,60.0251,293.94,10.649,3.311,29.4244,1485.402,1.297,10.4643,0.36,3.83,5.0
SKQ202110S,TSG,2021-06-28T01:44:00Z,-149.357,60.0251,294.03,10.6638,3.3048,29.3514,1485.367,1.306,10.4711,0.36,3.84,5.13
SKQ202110S,TSG,2021-06-28T01:45:00Z,-149.357,60.0251,293.78,10.6659,3.3082,29.3826,1485.412,1.317,10.4455,0.36,3.83,5.06
SKQ202110S,TSG,2021-06-28T01:46:00Z,-149.357,60.0251,293.83,10.6399,3.3164,29.4842,1485.441,1.322,10.4084,0.36,3.86,4.85
SKQ202110S,TSG,2021-06-28T01:47:00Z,-149.357,60.0251,293.82,10.6105,3.3223,29.5665,1485.435,1.324,10.4317,0.36,3.83,4.64
SKQ202110S,TSG,2021-06-28T01:48:00Z,-149.3571,60.0251,294.44,10.6419,3.3124,29.4437,1485.4,1.327,10.4876,0.35,3.71,4.76
SKQ202110S,TSG,2021-06-28T01:49:00Z,-149.3571,60.0251,293.68,10.6867,3.294,29.2269,1485.299,1.33,10.5053,0.35,3.7,5.07
SKQ202110S,TSG,2021-06-28T01:50:00Z,-149.3571,60.0251,294.4,10.6951,3.2859,29.1404,1485.225,1.335,10.475,0.36,3.85,5.28
SKQ202110S,TSG,2021-06-28T01:51:00Z,-149.3572,60.025,293.71,10.6704,3.2911,29.2114,1485.222,1.339,10.4784,0.36,3.87,5.28
SKQ202110S,TSG,2021-06-28T01:52:00Z,-149.3572,60.025,293.72,10.6747,3.2918,29.2143,1485.241,1.336,10.4628,0.36,3.82,5.27
SKQ202110S,TSG,2021-06-28T01:53:00Z,-149.3572,60.025,293.64,10.6597,3.2898,29.2065,1485.178,1.33,10.4585,0.36,3.86,5.35
SKQ202110S,TSG,2021-06-28T01:54:00Z,-149.3572,60.025,293.61,10.6566,3.2837,29.1495,1485.098,1.322,10.4498,0.36,3.83,5.48
SKQ202110S,TSG,2021-06-28T01:55:00Z,-149.3573,60.025,293.62,10.6472,3.2928,29.2465,1485.181,1.311,10.4448,0.36,3.83,5.28
SKQ202110S,TSG,2021-06-28T01:56:00Z,-149.3573,60.025,293.59,10.6435,3.291,29.2321,1485.15,1.299,10.4374,0.36,3.82,5.25
SKQ202110S,TSG,2021-06-28T01:57:00Z,-149.3573,60.025,293.49,10.6365,3.2922,29.2495,1485.146,1.289,10.4304,0.36,3.83,5.3
SKQ202110S,TSG,2021-06-28T01:58:00Z,-149.3573,60.025,294.37,10.633,3.3002,29.331,1485.232,1.282,10.4275,0.35,3.74,5.16
SKQ202110S,TSG,2021-06-28T01:59:00Z,-149.3573,60.025,293.6,10.6306,3.2998,29.3285,1485.22,1.277,10.427,0.33,3.48,5.05
SKQ202110S,TSG,2021-06-28T02:00:00Z,-149.3573,60.025,293.69,10.6188,3.3006,29.346,1485.199,1.274,10.422,0.36,3.84,5.12
SKQ202110S,TSG,2021-06-28T02:01:00Z,-149.3574,60.025,293.62,10.6219,3.3058,29.3943,1485.269,1.274,10.4256,0.36,3.82,4.97
SKQ202110S,TSG,2021-06-28T02:02:00Z,-149.3574,60.025,293.47,10.6252,3.3047,29.3813,1485.265,1.275,10.4241,0.36,3.81,5.02
SKQ202110S,TSG,2021-06-28T02:03:00Z,-149.3574,60.0251,293.5,10.6248,3.3009,29.3443,1485.218,1.277,10.4239,0.36,3.88,5.19
SKQ202110S,TSG,2021-06-28T02:04:00Z,-149.3574,60.0251,293.27,10.6238,3.304,29.3749,1485.252,1.281,10.429,0.37,3.87,5.11
SKQ202110S,TSG,2021-06-28T02:05:00Z,-149.3574,60.0251,293.59,10.6299,3.3043,29.3734,1485.272,1.286,10.4248,0.36,3.82,5.03
SKQ202110S,TSG,2021-06-28T02:06:00Z,-149.3574,60.0251,293.55,10.6238,3.3091,29.4258,1485.313,1.291,10.4206,0.36,3.83,5.01
SKQ202110S,TSG,2021-06-28T02:07:00Z,-149.3574,60.0251,293.55,10.6224,3.3132,29.4666,1485.357,1.304,10.4303,0.36,3.85,4.85
SKQ202110S,TSG,2021-06-28T02:08:00Z,-149.3574,60.0251,293.62,10.6312,3.3106,29.434,1485.35,1.315,10.4395,0.36,3.83,4.87
SKQ202110S,TSG,2021-06-28T02:09:00Z,-149.3574,60.0251,293.58,10.6399,3.3044,29.3661,1485.299,1.325,10.4406,0.36,3.83,5.02
SKQ202110S,TSG,2021-06-28T02:10:00Z,-149.3575,60.0251,293.53,10.6348,3.307,29.3954,1485.316,1.333,10.4135,0.36,3.86,4.99
SKQ202110S,TSG,2021-06-28T02:11:00Z,-149.3575,60.0251,293.54,10.6142,3.3173,29.5138,1485.385,1.331,10.4188,0.36,3.86,4.79
SKQ202110S,TSG,2021-06-28T02:12:00Z,-149.3575,60.0251,293.79,10.6278,3.3151,29.4811,1485.394,1.329,10.4299,0.36,3.85,4.77
SKQ202110S,TSG,2021-06-28T02:13:00Z,-149.3575,60.0251,294.17,10.6364,3.3119,29.4432,1485.379,1.328,10.4459,0.36,3.83,4.98
SKQ202110S,TSG,2021-06-28T02:14:00Z,-149.3575,60.0251,294.39,10.6474,3.301,29.3263,1485.278,1.328,10.4453,0.36,3.86,5.29
SKQ202110S,TSG,2021-06-28T02:15:00Z,-149.3575,60.0251,293.88,10.6432,3.3034,29.3539,1485.296,1.328,10.4368,0.36,3.86,5.22
SKQ202110S,TSG,2021-06-28T02:16:00Z,-149.3575,60.0251,293.82,10.6358,3.3138,29.4618,1485.4,1.325,10.4298,0.36,3.86,4.99
SKQ202110S,TSG,2021-06-28T02:17:00Z,-149.3575,60.0251,293.79,10.6274,3.319,29.5197,1485.439,1.318,10.4163,0.36,3.84,4.9
SKQ202110S,TSG,2021-06-28T02:18:00Z,-149.3575,60.0251,293.61,10.6183,3.3212,29.5494,1485.443,1.316,10.4365,0.36,3.84,4.86
SKQ202110S,TSG,2021-06-28T02:19:00Z,-149.3574,60.0251,293.61,10.6397,3.3152,29.4723,1485.426,1.32,10.4408,0.36,3.83,4.97
SKQ202110S,TSG,2021-06-28T02:20:00Z,-149.3573,60.0251,293.75,10.6339,3.318,29.5048,1485.445,1.33,10.4194,0.36,3.84,4.93
SKQ202110S,TSG,2021-06-28T02:21:00Z,-149.3572,60.0252,294.68,10.6201,3.3195,29.5309,1485.427,1.344,10.4202,0.36,3.86,4.78
SKQ202110S,TSG,2021-06-28T02:22:00Z,-149.3571,60.0253,294.95,10.6151,3.3184,29.5246,1485.401,1.357,10.3513,0.36,3.86,4.83
SKQ202110S,TSG,2021-06-28T02:23:00Z,-149.357,60.0254,295.06,10.5426,3.3241,29.6395,1485.279,1.368,10.2479,0.36,3.84,4.92
SKQ202110S,TSG,2021-06-28T02:24:00Z,-149.3569,60.0254,294.82,10.4499,3.3272,29.7458,1485.074,1.379,10.1994,0.36,3.85,4.93
SKQ202110S,TSG,2021-06-28T02:25:00Z,-149.3569,60.0255,294.61,10.4121,3.3252,29.7565,1484.951,1.389,10.2352,0.36,3.84,4.89
SKQ202110S,TSG,2021-06-28T02:26:00Z,-149.3568,60.0256,294.8,10.4431,3.3233,29.7122,1485.009,1.393,10.2353,0.36,3.83,4.93
SKQ202110S,TSG,2021-06-28T02:27:00Z,-149.3567,60.0257,294.14,10.4386,3.323,29.7128,1484.993,1.389,10.2373,0.36,3.85,4.92
SKQ202110S,TSG,2021-06-28T02:28:00Z,-149.3566,60.0258,294.3,10.4404,3.3219,29.7009,1484.986,1.387,10.2145,0.36,3.85,4.9
SKQ202110S,TSG,2021-06-28T02:29:00Z,-149.3566,60.026,294.56,10.4102,3.3202,29.7087,1484.886,1.385,10.1921,0.36,3.84,4.88
SKQ202110S,TSG,2021-06-28T02:30:00Z,-149.3566,60.0261,294.02,10.4069,3.318,29.689,1484.85,1.384,10.2737,0.36,3.82,4.87
SKQ202110S,TSG,2021-06-28T02:31:00Z,-149.3566,60.0261,294.08,10.4747,3.3168,29.6225,1485.014,1.372,10.3287,0.36,3.81,4.92
SKQ202110S,TSG,2021-06-28T02:32:00Z,-149.3567,60.0261,293.98,10.5347,3.3109,29.5156,1485.102,1.362,10.417,0.36,3.85,4.93
SKQ202110S,TSG,2021-06-28T02:33:00Z,-149.3567,60.0261,293.85,10.6116,3.3044,29.3885,1485.225,1.354,10.3939,0.37,3.88,4.96
SKQ202110S,TSG,2021-06-28T02:34:00Z,-149.3568,60.026,294.09,10.576,3.3004,29.3783,1485.084,1.35,10.3603,0.36,3.83,4.81
SKQ202110S,TSG,2021-06-28T02:35:00Z,-149.3569,60.0259,295.22,10.5641,3.2864,29.2503,1484.887,1.349,10.3974,0.36,3.85,4.54
SKQ202110S,TSG,2021-06-28T02:36:00Z,-149.357,60.0257,294.37,10.6009,3.2729,29.0874,1484.823,1.35,10.4177,0.34,3.63,4.42
SKQ202110S,TSG,2021-06-28T02:37:00Z,-149.3571,60.0255,294.69,10.6108,3.2665,29.0169,1484.773,1.358,10.4528,0.36,3.82,4.51
SKQ202110S,TSG,2021-06-28T02:38:00Z,-149.3573,60.0252,293.91,10.6588,3.2648,28.9616,1484.879,1.363,10.7192,0.36,3.85,4.83
SKQ202110S,TSG,2021-06-28T02:39:00Z,-149.3575,60.0246,294.13,10.9368,3.2252,28.358,1485.149,1.367,11.0088,0.36,3.86,4.33
SKQ202110S,TSG,2021-06-28T02:40:00Z,-149.3578,60.0238,294.72,11.1962,3.192,27.8376,1485.449,1.368,11.1684,0.36,3.86,3.77
SKQ202110S,TSG,2021-06-28T02:41:00Z,-149.3582,60.0225,295.01,11.3418,3.1848,27.6587,1485.752,1.373,11.2527,0.37,3.87,3.42
SKQ202110S,TSG,2021-06-28T02:42:00Z,-149.3585,60.0205,294.39,11.4273,3.1882,27.6278,1486.018,1.379,11.2649,0.36,3.86,3.23
SKQ202110S,TSG,2021-06-28T02:43:00Z,-149.3589,60.0182,294.38,11.426,3.2061,27.8005,1486.22,1.384,11.1952,0.36,3.82,3.31
SKQ202110S,TSG,2021-06-28T02:44:00Z,-149.359,60.0158,294.47,11.369,3.2244,28.0187,1486.28,1.387,11.0879,0.36,3.86,3.63
