Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Temperature_[C],Conductivity_[S/m],Salinity_[psu],Sound_Speed_[m/s],Nitrate_[uM],Temperature_UNCSW_[C],Flow_Speed_[m/s],Volume_Flow_[l/min],Chlorophyll_a_[ug/l]
SKQ202110S,TSG,2021-06-28T00:00:00Z,-149.372,60.0493,293.16,11.0122,3.3128,29.1513,1486.371,1.377,10.9319,0.38,3.99,4.14
SKQ202110S,TSG,2021-06-28T00:01:00Z,-149.3721,60.0493,293.22,11.1184,3.301,28.9523,1486.51,1.376,10.9012,0.37,3.87,3.99
SKQ202110S,TSG,2021-06-28T00:02:00Z,-149.3722,60.0492,293.18,11.0867,3.3107,29.0718,1486.541,1.373,10.8379,0.37,3.87,4.25
SKQ202110S,TSG,2021-06-28T00:03:00Z,-149.3722,60.0492,293.2,11.043,3.3106,29.1056,1486.426,1.368,10.854,0.36,3.85,4.41
SKQ202110S,TSG,2021-06-28T00:04:00Z,-149.3723,60.0491,293.41,11.0517,3.31,29.0924,1486.441,1.36,10.8519,0.36,3.88,4.42
SKQ202110S,TSG,2021-06-28T00:05:00Z,-149.3723,60.0491,293.54,11.0477,3.3134,29.1288,1486.471,1.351,10.8463,0.36,3.84,4.32
SKQ202110S,TSG,2021-06-28T00:06:00Z,-149.3723,60.049,293.44,11.0473,3.3144,29.1393,1486.482,1.365,10.8665,0.37,3.88,4.22
SKQ202110S,TSG,2021-06-28T00:07:00Z,-149.3724,60.0489,293.31,11.0638,3.3146,29.1274,1486.526,1.381,10.8816,0.37,3.89,4.27
SKQ202110S,TSG,2021-06-28T00:08:00Z,-149.3724,60.0489,293.32,11.079,3.3137,29.1075,1486.556,1.399,10.8926,0.37,3.88,4.39
SKQ202110S,TSG,2021-06-28T00:09:00Z,-149.3724,60.0488,293.27,11.0855,3.3116,29.0812,1486.548,1.419,10.8907,0.37,3.87,4.54
SKQ202110S,TSG,2021-06-28T00:10:00Z,-149.3724,60.0488,293.38,11.0861,3.3168,29.1316,1486.611,1.441,10.8946,0.36,3.88,4.6
SKQ202110S,TSG,2021-06-28T00:11:00Z,-149.3724,60.0487,293.26,11.0911,3.318,29.1394,1486.638,1.447,10.9018,0.37,3.87,4.61
SKQ202110S,TSG,2021-06-28T00:12:00Z,-149.3723,60.0487,293.24,11.0968,3.314,29.0958,1486.606,1.451,10.8994,0.36,3.85,4.61
SKQ202110S,TSG,2021-06-28T00:13:00Z,-149.3723,60.0486,293.33,11.0932,3.3188,29.1457,1486.653,1.452,10.8972,0.36,3.86,4.49
SKQ202110S,TSG,2021-06-28T00:14:00Z,-149.3723,60.0486,293.27,11.0946,3.3187,29.1432,1486.655,1.452,10.9125,0.36,3.87,4.42
SKQ202110S,TSG,2021-06-28T00:15:00Z,-149.3723,60.0485,293.3,11.1047,3.3179,29.1279,1486.672,1.448,10.8981,0.36,3.85,4.49
SKQ202110S,TSG,2021-06-28T00:16:00Z,-149.3723,60.0485,293.26,11.0932,3.321,29.1667,1486.678,1.444,10.8909,0.37,3.87,4.38
SKQ202110S,TSG,2021-06-28T00:17:00Z,-149.3723,60.0484,293.31,11.0848,3.3225,29.1884,1486.674,1.439,10.8856,0.36,3.85,4.37
SKQ202110S,TSG,2021-06-28T00:18:00Z,-149.3723,60.0483,293.28,11.0847,3.3199,29.1631,1486.643,1.433,10.914,0.36,3.86,4.39
SKQ202110S,TSG,2021-06-28T00:19:00Z,-149.372,60.0478,293.49,11.1131,3.3116,29.0598,1486.621,1.426,11.1156,0.37,3.89,4.48
SKQ202110S,TSG,2021-06-28T00:20:00Z,-149.3714,60.0471,293.34,11.3483,3.2049,27.8507,1486.005,1.418,11.5578,0.36,3.89,4.15
SKQ202110S,TSG,2021-06-28T00:21:00Z,-149.3707,60.0461,293.16,11.7729,3.015,25.7369,1484.982,1.413,11.9823,0.37,3.89,3.23
SKQ202110S,TSG,2021-06-28T00:22:00Z,-149.3699,60.0451,293.26,12.1533,2.8319,23.7761,1483.99,1.407,12.1051,0.37,3.89,2.66
SKQ202110S,TSG,2021-06-28T00:23:00Z,-149.3692,60.0439,293.11,12.2366,2.8293,23.6984,1484.19,1.399,11.8092,0.37,3.87,2.39
SKQ202110S,TSG,2021-06-28T00:24:00Z,-149.3684,60.0427,293.15,11.9559,3.0482,25.9204,1485.844,1.391,11.7019,0.37,3.87,2.49
SKQ202110S,TSG,2021-06-28T00:25:00Z,-149.3676,60.0414,293.33,11.8762,3.1047,26.5077,1486.264,1.38,11.643,0.36,3.85,2.49
SKQ202110S,TSG,2021-06-28T00:26:00Z,-149.3668,60.0402,293.38,11.8332,3.1603,27.0632,1486.774,1.38,11.6497,0.37,3.9,2.58
SKQ202110S,TSG,2021-06-28T00:27:00Z,-149.3659,60.0389,293.63,11.8373,3.1701,27.1535,1486.896,1.38,11.6715,0.36,3.88,2.68
SKQ202110S,TSG,2021-06-28T00:28:00Z,-149.3651,60.0377,293.62,11.8601,3.1496,26.9428,1486.725,1.38,11.6714,0.37,3.89,2.8
SKQ202110S,TSG,2021-06-28T00:29:00Z,-149.3643,60.0364,293.58,11.8459,3.1404,26.8663,1486.584,1.382,11.6046,0.36,3.87,2.98
SKQ202110S,TSG,2021-06-28T00:30:00Z,-149.3635,60.0351,293.53,11.787,3.1623,27.1165,1486.676,1.384,11.5632,0.37,3.87,3.18
SKQ202110S,TSG,2021-06-28T00:31:00Z,-149.3627,60.0338,293.53,11.7511,3.1769,27.2808,1486.745,1.392,11.5187,0.36,3.86,3.34
SKQ202110S,TSG,2021-06-28T00:32:00Z,-149.3619,60.0324,293.69,11.7068,3.1827,27.368,1486.694,1.395,11.5037,0.36,3.84,3.35
SKQ202110S,TSG,2021-06-28T00:33:00Z,-149.3612,60.031,293.95,11.6948,3.1758,27.3112,1486.584,1.394,11.5084,0.36,3.88,3.25
SKQ202110S,TSG,2021-06-28T00:34:00Z,-149.3604,60.0298,293.65,11.6944,3.1676,27.2343,1486.49,1.387,11.4142,0.37,3.86,3.14
SKQ202110S,TSG,2021-06-28T00:35:00Z,-149.3598,60.0289,294.36,11.5966,3.1837,27.4592,1486.414,1.377,11.3669,0.36,3.86,2.93
SKQ202110S,TSG,2021-06-28T00:36:00Z,-149.3593,60.028,294.43,11.5626,3.1834,27.4815,1486.321,1.366,11.3809,0.36,3.87,2.79
SKQ202110S,TSG,2021-06-28T00:37:00Z,-149.3588,60.0272,294.38,11.5867,3.1704,27.3399,1486.237,1.355,11.445,0.36,3.84,2.75
