Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Temperature_[C],Conductivity_[S/m],Salinity_[psu],Sound_Speed_[m/s],Nitrate_[uM],Temperature_UNCSW_[C],Flow_Speed_[m/s],Volume_Flow_[l/min],Chlorophyll_a_[ug/l]
SKQ202106S,TSG,2021-04-23T03:39:00Z,-149.4182,60.0824,175.04,7.4407,3.2048,31.056,1475.426,NaN,5.8905,0.19,2.01,13.49
SKQ202106S,TSG,2021-04-23T03:40:00Z,-149.416,60.0805,181.65,6.5851,3.1311,31.0298,1472.062,NaN,5.8872,0.2,2.14,17.22
SKQ202106S,TSG,2021-04-23T03:41:00Z,-149.4137,60.0784,189.15,6.3619,3.1114,31.0157,1471.16,NaN,5.8855,0.28,2.92,17.37
SKQ202106S,TSG,2021-04-23T03:42:00Z,-149.4114,60.0764,196.39,6.2808,3.1048,31.0168,1470.839,NaN,5.8726,0.38,4.01,17.94
SKQ202106S,TSG,2021-04-23T03:43:00Z,-149.4091,60.0743,204.48,6.2535,3.1028,31.0194,1470.734,NaN,5.8496,0.35,3.76,17.86
SKQ202106S,TSG,2021-04-23T03:44:00Z,-149.4067,60.0722,214.48,6.2675,3.1052,31.0336,1470.807,NaN,5.8492,0.37,3.89,17.19
SKQ202106S,TSG,2021-04-23T03:45:00Z,-149.4043,60.07,228.14,6.3071,3.109,31.0394,1470.972,NaN,5.8712,0.35,3.76,16.28
SKQ202106S,TSG,2021-04-23T03:46:00Z,-149.4019,60.0678,238.98,6.3903,3.1136,31.0144,1471.27,NaN,5.9026,0.34,3.6,16.12
SKQ202106S,TSG,2021-04-23T03:47:00Z,-149.3995,60.0656,248.35,6.4001,3.1132,31.0008,1471.293,NaN,5.9183,0.35,3.76,16.09
SKQ202106S,TSG,2021-04-23T03:48:00Z,-149.3972,60.0634,251.74,6.4217,3.1156,31.0073,1471.387,NaN,5.8951,0.35,3.74,15.83
SKQ202106S,TSG,2021-04-23T03:49:00Z,-149.3949,60.0612,246.1,6.4782,3.1218,31.0246,1471.633,NaN,5.7898,0.35,3.73,15.29
SKQ202106S,TSG,2021-04-23T03:50:00Z,-149.3926,60.059,236.18,6.4792,3.1236,31.0431,1471.66,NaN,5.7573,0.37,3.89,14.99
SKQ202106S,TSG,2021-04-23T03:51:00Z,-149.3904,60.0567,232.42,6.4276,3.1212,31.0642,1471.482,NaN,5.7516,0.37,3.94,14.48
SKQ202106S,TSG,2021-04-23T03:52:00Z,-149.3881,60.0545,224.45,6.4022,3.1193,31.0659,1471.383,NaN,5.7865,0.38,3.98,14.04
SKQ202106S,TSG,2021-04-23T03:53:00Z,-149.386,60.0523,209.03,6.3876,3.116,31.0436,1471.297,NaN,5.7875,0.37,3.94,14.57
SKQ202106S,TSG,2021-04-23T03:54:00Z,-149.384,60.05,219.9,6.3971,3.1155,31.0293,1471.317,NaN,5.7744,0.37,3.94,14.34
SKQ202106S,TSG,2021-04-23T03:55:00Z,-149.3819,60.0477,237.52,6.4068,3.1171,31.0381,1471.366,NaN,5.7253,0.37,3.97,13.6
SKQ202106S,TSG,2021-04-23T03:56:00Z,-149.3797,60.0455,272.56,6.4027,3.1172,31.0428,1471.356,NaN,5.6371,0.38,3.96,13.23
SKQ202106S,TSG,2021-04-23T03:57:00Z,-149.3774,60.0433,291.11,6.3744,3.1148,31.0415,1471.242,NaN,5.5674,0.38,3.98,13.32
SKQ202106S,TSG,2021-04-23T03:58:00Z,-149.3751,60.0412,292.08,6.3154,3.1117,31.0618,1471.033,NaN,5.5554,0.37,3.95,13.84
SKQ202106S,TSG,2021-04-23T03:59:00Z,-149.3728,60.039,291.88,6.2407,3.1072,31.0804,1470.759,NaN,5.5983,0.37,3.95,14.21
SKQ202106S,TSG,2021-04-23T04:00:00Z,-149.3705,60.0368,291.52,6.1961,3.1025,31.0684,1470.566,NaN,5.6236,0.37,3.94,14.31
