Cruise,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Temperature_[C],Conductivity_[S/m],Salinity_[psu],Sound_Speed_[m/s],Nitrate_[uM],Temperature_UNCSW_[C],Flow_Speed_[m/s],Volume_Flow_[l/min],Chlorophyll_a_[ug/l]
SKQ202010S,TSG,2020-09-01T15:26:00Z,-149.3598,60.0259,291.71,14.3977,3.2277,25.8961,1494.127,11.165,NaN,0.27,2.79,2.5
SKQ202010S,TSG,2020-09-01T15:27:00Z,-149.3593,60.0255,291.42,14.2932,3.2227,25.9216,1493.812,11.172,NaN,0.27,2.88,2.5
SKQ202010S,TSG,2020-09-01T15:28:00Z,-149.3591,60.0253,291.56,14.2313,3.219,25.93,1493.616,11.172,NaN,0.35,3.69,2.48
SKQ202010S,TSG,2020-09-01T15:29:00Z,-149.3589,60.0252,293.53,14.2654,3.2215,25.929,1493.728,11.165,NaN,0.37,3.95,2.46
SKQ202010S,TSG,2020-09-01T15:30:00Z,-149.3589,60.0251,292.13,14.2642,3.2206,25.9226,1493.717,11.153,NaN,0.37,3.91,2.45
SKQ202010S,TSG,2020-09-01T15:31:00Z,-149.3589,60.0251,292.25,14.2527,3.2207,25.9311,1493.688,11.167,NaN,0.37,3.92,2.44
SKQ202010S,TSG,2020-09-01T15:32:00Z,-149.3589,60.0251,292.68,14.2451,3.2229,25.9549,1493.691,11.158,NaN,0.37,3.93,2.44
SKQ202010S,TSG,2020-09-01T15:33:00Z,-149.3589,60.0251,293.75,14.2476,3.2265,25.9855,1493.735,11.13,NaN,0.37,3.9,2.48
SKQ202010S,TSG,2020-09-01T15:34:00Z,-149.3589,60.0251,293.78,14.2182,3.2178,25.9283,1493.571,11.084,NaN,0.36,3.8,2.46
SKQ202010S,TSG,2020-09-01T15:35:00Z,-149.3589,60.0251,293.42,14.2098,3.2286,26.0302,1493.662,11.023,NaN,0.36,3.82,2.42
SKQ202010S,TSG,2020-09-01T15:36:00Z,-149.3589,60.0251,294.01,14.1972,3.2351,26.096,1493.697,10.99,NaN,0.36,3.83,2.41
SKQ202010S,TSG,2020-09-01T15:37:00Z,-149.3589,60.0251,293.98,14.192,3.2662,26.3776,1494.009,10.958,NaN,0.36,3.81,2.35
SKQ202010S,TSG,2020-09-01T15:38:00Z,-149.3589,60.0251,293.9,14.1827,3.285,26.5521,1494.181,10.928,NaN,0.36,3.81,2.32
SKQ202010S,TSG,2020-09-01T15:39:00Z,-149.3589,60.0251,294.31,14.1846,3.2692,26.409,1494.021,10.899,NaN,0.36,3.8,2.36
SKQ202010S,TSG,2020-09-01T15:40:00Z,-149.3589,60.0251,293.58,14.1837,3.2612,26.3383,1493.935,10.871,NaN,0.36,3.8,2.37
SKQ202010S,TSG,2020-09-01T15:41:00Z,-149.3589,60.0251,293.89,14.1715,3.2828,26.5398,1494.13,10.85,NaN,0.36,3.82,2.31
SKQ202010S,TSG,2020-09-01T15:42:00Z,-149.3589,60.0251,293.85,14.1644,3.2921,26.6278,1494.209,10.838,NaN,0.36,3.81,2.3
SKQ202010S,TSG,2020-09-01T15:43:00Z,-149.3589,60.0251,294.02,14.1583,3.2835,26.5549,1494.104,10.836,NaN,0.36,3.8,2.32
SKQ202010S,TSG,2020-09-01T15:44:00Z,-149.3589,60.0251,294.33,14.1543,3.28,26.5265,1494.057,10.842,NaN,0.36,3.84,2.32
SKQ202010S,TSG,2020-09-01T15:45:00Z,-149.3589,60.0251,293.9,14.1561,3.2798,26.5235,1494.06,10.856,NaN,0.36,3.81,2.33
SKQ202010S,TSG,2020-09-01T15:46:00Z,-149.3589,60.0251,293.41,14.1553,3.2732,26.4648,1493.989,10.834,NaN,0.33,3.52,2.33
SKQ202010S,TSG,2020-09-01T15:47:00Z,-149.3589,60.0251,293.59,14.1532,3.2684,26.4232,1493.933,10.811,NaN,0.33,3.46,2.34
SKQ202010S,TSG,2020-09-01T15:48:00Z,-149.3589,60.0251,294.19,14.1468,3.2653,26.3998,1493.884,10.786,NaN,0.33,3.48,2.35
SKQ202010S,TSG,2020-09-01T15:49:00Z,-149.3589,60.0251,293.55,14.1391,3.2562,26.3237,1493.77,10.761,NaN,0.33,3.49,2.37
SKQ202010S,TSG,2020-09-01T15:50:00Z,-149.3589,60.0251,293.55,14.1383,3.2531,26.2969,1493.737,10.736,NaN,0.33,3.45,2.37
SKQ202010S,TSG,2020-09-01T15:51:00Z,-149.3589,60.0251,293.59,14.1449,3.2511,26.2742,1493.732,10.715,NaN,0.33,3.5,2.38
SKQ202010S,TSG,2020-09-01T15:52:00Z,-149.3589,60.0251,294.2,14.1402,3.211,25.92,1493.303,10.702,NaN,0.33,3.47,2.48
SKQ202010S,TSG,2020-09-01T15:53:00Z,-149.3589,60.0251,294.47,14.1384,3.2044,25.8625,1493.229,10.696,NaN,0.33,3.47,2.48
SKQ202010S,TSG,2020-09-01T15:54:00Z,-149.3589,60.0251,293.27,14.1429,3.2056,25.8695,1493.253,10.696,NaN,0.33,3.5,2.48
SKQ202010S,TSG,2020-09-01T15:55:00Z,-149.3589,60.0251,290.92,14.1281,3.2008,25.8367,1493.165,10.703,NaN,0.33,3.46,2.48
SKQ202010S,TSG,2020-09-01T15:56:00Z,-149.3589,60.0251,290.87,14.1106,3.1958,25.8042,1493.069,10.702,NaN,0.33,3.46,2.48
SKQ202010S,TSG,2020-09-01T15:57:00Z,-149.3589,60.0251,290.86,14.1136,3.1972,25.8147,1493.092,10.695,13.9014,0.33,3.46,2.48
SKQ202010S,TSG,2020-09-01T15:58:00Z,-149.3589,60.0251,291.62,14.1272,3.2004,25.8336,1493.159,10.683,13.9067,0.32,3.45,2.48
SKQ202010S,TSG,2020-09-01T15:59:00Z,-149.3589,60.0251,291.3,14.1395,3.2039,25.8566,1493.226,10.665,13.9193,0.33,3.45,2.48
SKQ202010S,TSG,2020-09-01T16:00:00Z,-149.3589,60.0251,290.96,14.1508,3.2082,25.8873,1493.299,10.642,13.9252,0.32,3.43,2.48
SKQ202010S,TSG,2020-09-01T16:01:00Z,-149.3589,60.0251,291.09,14.1588,3.2106,25.9035,1493.345,10.622,13.9194,0.33,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:02:00Z,-149.3589,60.0251,291.98,14.1572,3.2093,25.8931,1493.328,10.604,13.9206,0.33,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:03:00Z,-149.3589,60.0251,291.59,14.1551,3.2092,25.894,1493.322,10.586,13.9206,0.33,3.45,2.48
SKQ202010S,TSG,2020-09-01T16:04:00Z,-149.3589,60.0251,291.76,14.1563,3.2089,25.8906,1493.322,10.57,13.9208,0.33,3.46,2.48
SKQ202010S,TSG,2020-09-01T16:05:00Z,-149.3589,60.0251,292.07,14.1575,3.2091,25.8911,1493.326,10.555,13.9227,0.33,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:06:00Z,-149.3589,60.0251,291.38,14.1579,3.2102,25.9003,1493.338,10.541,13.9229,0.33,3.47,2.48
SKQ202010S,TSG,2020-09-01T16:07:00Z,-149.3589,60.0251,291.68,14.1602,3.2115,25.9105,1493.358,10.526,13.923,0.33,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:08:00Z,-149.3589,60.0251,291.69,14.158,3.2151,25.9439,1493.39,10.509,13.9193,0.32,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:09:00Z,-149.3589,60.0251,291.35,14.1546,3.2211,26.0,1493.444,10.491,13.9137,0.33,3.45,2.47
SKQ202010S,TSG,2020-09-01T16:10:00Z,-149.3589,60.0251,291.71,14.1498,3.2268,26.0546,1493.492,10.472,13.9069,0.33,3.47,2.47
SKQ202010S,TSG,2020-09-01T16:11:00Z,-149.3589,60.0251,291.43,14.1442,3.2289,26.0768,1493.499,10.482,13.8971,0.33,3.44,2.47
SKQ202010S,TSG,2020-09-01T16:12:00Z,-149.3589,60.0251,292.8,14.1356,3.232,26.1099,1493.509,10.493,13.8849,0.33,3.45,2.48
SKQ202010S,TSG,2020-09-01T16:13:00Z,-149.3589,60.0251,292.29,14.1221,3.2334,26.1316,1493.49,10.507,13.8849,0.33,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:14:00Z,-149.3589,60.0251,291.45,14.1206,3.2315,26.1158,1493.466,10.523,13.8881,0.33,3.44,2.48
SKQ202010S,TSG,2020-09-01T16:15:00Z,-149.3589,60.0251,291.55,14.1227,3.2309,26.1094,1493.466,10.542,13.9023,0.33,3.44,2.5
SKQ202010S,TSG,2020-09-01T16:16:00Z,-149.3589,60.0251,293.35,14.1349,3.2303,26.0955,1493.49,10.525,13.8949,0.33,3.46,2.51
SKQ202010S,TSG,2020-09-01T16:17:00Z,-149.3589,60.0251,291.5,14.1305,3.2242,26.0441,1493.415,10.513,13.9105,0.33,3.44,2.49
SKQ202010S,TSG,2020-09-01T16:18:00Z,-149.3589,60.0251,291.32,14.1417,3.23,26.0882,1493.504,10.506,13.9188,0.33,3.46,2.49
SKQ202010S,TSG,2020-09-01T16:19:00Z,-149.3589,60.0251,291.34,14.1509,3.2264,26.0499,1493.49,10.503,13.9296,0.33,3.43,2.48
SKQ202010S,TSG,2020-09-01T16:20:00Z,-149.3589,60.0251,291.53,14.1602,3.2295,26.0712,1493.545,10.504,13.9318,0.33,3.46,2.51
SKQ202010S,TSG,2020-09-01T16:21:00Z,-149.3589,60.0251,292.64,14.1664,3.2353,26.1193,1493.622,10.521,13.9187,0.33,3.45,2.52
SKQ202010S,TSG,2020-09-01T16:22:00Z,-149.3589,60.0251,291.61,14.1543,3.2343,26.1182,1493.581,10.534,13.9214,0.33,3.45,2.5
SKQ202010S,TSG,2020-09-01T16:23:00Z,-149.3589,60.0251,291.4,14.1561,3.2238,26.0229,1493.475,10.543,13.9226,0.33,3.47,2.48
SKQ202010S,TSG,2020-09-01T16:24:00Z,-149.3589,60.0251,291.3,14.1588,3.2247,26.0293,1493.492,10.548,13.9216,0.33,3.46,2.48
SKQ202010S,TSG,2020-09-01T16:25:00Z,-149.3589,60.0251,290.9,14.1588,3.2298,26.0754,1493.546,10.55,13.9184,0.33,3.47,2.48
SKQ202010S,TSG,2020-09-01T16:26:00Z,-149.3589,60.0251,291.77,14.1563,3.2436,26.2003,1493.683,10.549,13.9172,0.33,3.48,2.45
SKQ202010S,TSG,2020-09-01T16:27:00Z,-149.3589,60.0251,291.37,14.1548,3.2485,26.2444,1493.73,10.548,13.9132,0.32,3.45,2.46
SKQ202010S,TSG,2020-09-01T16:28:00Z,-149.3589,60.0251,291.29,14.152,3.2278,26.0621,1493.508,10.547,13.912,0.33,3.47,2.48
SKQ202010S,TSG,2020-09-01T16:29:00Z,-149.3589,60.0251,291.98,14.1495,3.2318,26.0995,1493.543,10.546,13.9043,0.33,3.46,2.47
SKQ202010S,TSG,2020-09-01T16:30:00Z,-149.3589,60.0251,292.0,14.1437,3.2671,26.418,1493.896,10.545,13.8979,0.33,3.47,2.39
SKQ202010S,TSG,2020-09-01T16:31:00Z,-149.3589,60.0251,291.57,14.1379,3.2988,26.7064,1494.213,10.536,13.9017,0.33,3.48,2.33
SKQ202010S,TSG,2020-09-01T16:32:00Z,-149.3589,60.0251,291.94,14.1396,3.3096,26.8016,1494.33,10.531,13.9103,0.33,3.49,2.33
SKQ202010S,TSG,2020-09-01T16:33:00Z,-149.3589,60.0251,292.29,14.1465,3.2856,26.5818,1494.096,10.532,13.9206,0.33,3.47,2.4
SKQ202010S,TSG,2020-09-01T16:34:00Z,-149.3589,60.0251,291.87,14.1553,3.2866,26.5845,1494.128,10.537,13.9185,0.33,3.45,2.41
SKQ202010S,TSG,2020-09-01T16:35:00Z,-149.3589,60.0251,292.42,14.1577,3.3213,26.8938,1494.497,10.547,13.9092,0.33,3.45,2.35
SKQ202010S,TSG,2020-09-01T16:36:00Z,-149.3589,60.0251,291.51,14.1474,3.3166,26.8593,1494.423,10.543,13.9277,0.33,3.45,2.36
SKQ202010S,TSG,2020-09-01T16:37:00Z,-149.3589,60.0251,291.87,14.1636,3.3156,26.839,1494.453,10.54,13.9242,0.33,3.51,2.38
SKQ202010S,TSG,2020-09-01T16:38:00Z,-149.3589,60.0251,291.99,14.1659,3.321,26.8856,1494.515,10.54,13.9237,0.33,3.52,2.38
SKQ202010S,TSG,2020-09-01T16:39:00Z,-149.3589,60.0251,291.59,14.1658,3.3185,26.8629,1494.488,10.541,13.92,0.33,3.49,2.38
SKQ202010S,TSG,2020-09-01T16:40:00Z,-149.3589,60.0251,292.0,14.1607,3.3009,26.7091,1494.292,10.544,13.9166,0.33,3.49,2.39
SKQ202010S,TSG,2020-09-01T16:41:00Z,-149.3589,60.0251,291.7,14.1575,3.2813,26.5357,1494.079,10.544,13.9157,0.33,3.46,2.41
SKQ202010S,TSG,2020-09-01T16:42:00Z,-149.3589,60.0251,291.33,14.1555,3.2629,26.3732,1493.882,10.543,13.9167,0.33,3.49,2.43
SKQ202010S,TSG,2020-09-01T16:43:00Z,-149.3589,60.0251,291.49,14.1562,3.2672,26.4107,1493.929,10.541,13.9198,0.33,3.48,2.42
SKQ202010S,TSG,2020-09-01T16:44:00Z,-149.3589,60.0251,291.66,14.1587,3.2509,26.2632,1493.765,10.538,13.9179,0.33,3.48,2.45
SKQ202010S,TSG,2020-09-01T16:45:00Z,-149.3589,60.0251,291.37,14.1579,3.2514,26.2685,1493.768,10.535,13.9158,0.33,3.49,2.46
SKQ202010S,TSG,2020-09-01T16:46:00Z,-149.3589,60.0251,291.32,14.1557,3.2655,26.396,1493.91,10.548,13.916,0.33,3.47,2.43
SKQ202010S,TSG,2020-09-01T16:47:00Z,-149.3589,60.0251,292.04,14.1558,3.2679,26.4173,1493.935,10.554,13.9161,0.33,3.49,2.44
SKQ202010S,TSG,2020-09-01T16:48:00Z,-149.3589,60.0251,291.9,14.156,3.2656,26.3965,1493.911,10.553,13.9176,0.33,3.49,2.45
SKQ202010S,TSG,2020-09-01T16:49:00Z,-149.3589,60.0251,291.75,14.157,3.2611,26.3561,1493.867,10.547,13.9243,0.33,3.48,2.47
SKQ202010S,TSG,2020-09-01T16:50:00Z,-149.3589,60.0251,291.67,14.1621,3.2495,26.2483,1493.758,10.535,13.9312,0.33,3.49,2.5
SKQ202010S,TSG,2020-09-01T16:51:00Z,-149.3589,60.0251,293.17,14.1698,3.2439,26.1934,1493.72,10.536,13.9284,0.33,3.5,2.52
SKQ202010S,TSG,2020-09-01T16:52:00Z,-149.3589,60.0251,293.32,14.1671,3.2377,26.1398,1493.649,10.536,13.9291,0.33,3.48,2.52
SKQ202010S,TSG,2020-09-01T16:53:00Z,-149.3589,60.0251,292.16,14.1692,3.2424,26.1808,1493.703,10.533,13.923,0.33,3.48,2.52
SKQ202010S,TSG,2020-09-01T16:54:00Z,-149.3589,60.0251,292.89,14.1636,3.2502,26.2541,1493.77,10.528,13.9232,0.33,3.5,2.49
