Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],Oxygen_[umol/kg],Oxygen2_[umol/kg],PAR_[umol_photons/m2/sec],Altimeter_[m],SUNA,LISST,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
TGX201904,RES2.5,B,2019-04-27T07:04:16,-149.3557,60.0185,300,1,275.33,1,6.3041,6.3038,3.3099,3.3098,1.2257,1.3553,0.0453,3.4164,3.9559,1.1439,0.4011,0.0098,0.0308,0.7037,83.8672,110.717,112.788,0.0,8.02,27.1285,1.1439,33.1368,33.1362,26.0424,26.0419
TGX201904,RES2.5,B,2019-04-27T07:06:41,-149.3557,60.0185,300,1,252.63,2,6.4901,6.4885,3.317,3.3168,1.3925,1.5482,0.0457,3.1758,4.3424,1.1436,2.9548,0.0084,0.0317,0.3308,92.064,135.511,137.437,0.0,59.09,25.1775,1.1436,33.0459,33.0458,25.9469,25.947
TGX201904,RES2.5,B,2019-04-27T07:08:38,-149.3557,60.0185,300,1,201.88,3,6.5346,6.5346,3.2756,3.2756,2.0163,2.2758,0.0484,2.5229,4.3835,1.1431,4.3593,0.0068,0.0385,0.293,92.9365,229.999,232.418,0.0,87.19,19.8824,1.1431,32.5708,32.5701,25.5665,25.566
TGX201904,RES2.5,B,2019-04-27T07:10:08,-149.3557,60.0185,300,1,150.62,4,6.3989,6.398,3.2265,3.2264,2.2402,2.5378,0.0488,2.1178,4.4503,1.0752,4.53,0.0062,0.0395,0.2325,94.3531,263.704,266.499,0.0,90.6,16.5973,1.0752,32.1817,32.1807,25.277,25.2763
TGX201904,RES2.5,B,2019-04-27T07:11:39,-149.3557,60.0185,300,1,125.81,5,6.3343,6.3337,3.2097,3.2096,2.2917,2.5992,0.049,1.9934,4.4586,1.0744,4.6173,0.0061,0.04,0.225,94.5286,270.929,274.508,0.0,92.35,15.5889,1.0744,32.0681,32.0675,25.1954,25.1951
TGX201904,RES2.5,B,2019-04-27T07:13:31,-149.3557,60.0185,300,1,100.62,6,6.2913,6.2916,3.1966,3.1966,2.3059,2.6174,0.0491,2.0334,4.4863,1.0746,4.6776,0.0061,0.0403,0.2004,95.1146,272.766,275.809,0.0,93.55,15.9128,1.0746,31.9753,31.9751,25.1276,25.1274
TGX201904,RES2.5,B,2019-04-27T07:15:14,-149.3557,60.0185,300,1,75.57,7,6.1778,6.177,3.1745,3.1744,2.3307,2.6459,0.0524,2.0303,4.4103,1.084,4.6208,0.0061,0.0485,0.2687,93.5029,276.961,280.122,0.0,92.42,15.8875,1.084,31.8486,31.8479,25.0416,25.0412
TGX201904,RES2.5,B,2019-04-27T07:16:40,-149.3557,60.0185,300,1,50.06,8,6.1027,6.1022,3.1498,3.1497,2.348,2.6659,0.0549,1.9137,4.4058,1.0751,4.4544,0.0065,0.0549,0.2728,93.4078,279.671,282.788,0.0,89.09,14.9424,1.0751,31.6566,31.6557,24.8993,24.8986
TGX201904,RES2.5,B,2019-04-27T07:18:09,-149.3557,60.0185,300,1,40.06,9,6.1477,6.1471,3.146,3.1459,2.4128,2.7422,0.0579,1.7707,4.4084,1.0754,4.3681,0.007,0.0623,0.2704,93.4633,288.843,292.217,0.0,87.36,13.7824,1.0754,31.5773,31.5766,24.8312,24.8307
TGX201904,RES2.5,B,2019-04-27T07:19:05,-149.3557,60.0185,300,1,30.2,10,6.0894,6.0876,3.1318,3.1316,2.4014,2.7274,0.0753,1.7515,4.3813,1.1444,4.3692,0.0067,0.1059,0.295,92.8894,287.538,290.458,0.0,87.38,13.6268,1.1445,31.4777,31.4774,24.7596,24.7596
