Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202010S,RES2.5,B,2020-07-02T19:13:33,-149.3572,60.0232,293.0,1,292.01,1,5.9972,5.9973,3.3046,3.3048,0.0118,3.1965,1.1553,1.3839,4.2471,0.011,1.2533,-0.0532,0.3947,90.6084,0.0,118.358,124.88,38.941,41.088,25.07,26.5017,33.3687,33.371,26.264,26.2658
SKQ202010S,RES2.5,B,2020-07-02T19:17:06,-149.3572,60.0232,293.0,1,252.61,2,5.9929,5.9925,3.3005,3.3008,0.0117,3.1416,1.1893,1.4261,4.3744,0.011,2.1826,-0.0562,0.2764,93.324,0.0,124.272,130.065,40.876,42.782,43.65,26.0567,33.3468,33.3508,26.2473,26.2505
SKQ202010S,RES2.5,B,2020-07-02T19:17:13,-149.3572,60.0232,293.0,1,252.62,3,5.9928,5.9931,3.3005,3.3009,0.0115,3.1733,1.1895,1.4264,4.3777,0.011,2.1821,-0.0597,0.2733,93.3947,0.0,124.305,130.159,40.887,42.814,43.64,26.3135,33.3468,33.3513,26.2473,26.2508
SKQ202010S,RES2.5,B,2020-07-02T19:17:37,-149.3572,60.0232,293.0,1,252.65,4,5.993,5.9923,3.3005,3.3008,0.0117,3.1318,1.1893,1.427,4.3779,0.011,2.1802,-0.0556,0.2732,93.3979,0.0,124.313,130.177,40.89,42.819,43.6,25.9768,33.347,33.3505,26.2474,26.2503
SKQ202010S,RES2.5,B,2020-07-02T19:21:16,-149.3572,60.0232,293.0,1,201.9,5,5.9715,5.9711,3.2878,3.2883,0.0115,3.0324,1.252,1.5168,4.3658,0.011,4.6914,-0.0597,0.2843,93.1395,0.0,135.249,141.951,44.433,46.636,93.83,25.1705,33.2502,33.2566,26.1736,26.1787
SKQ202010S,RES2.5,B,2020-07-02T19:24:08,-149.3572,60.0232,293.0,1,151.44,6,5.6897,5.6902,3.2128,3.2133,0.0116,2.5841,1.628,2.0338,4.47,0.0109,1.8936,-0.0568,0.1899,95.3632,0.0,205.741,215.475,66.877,70.044,37.87,21.5347,32.7058,32.711,25.7775,25.7816
SKQ202010S,RES2.5,B,2020-07-02T19:26:52,-149.3572,60.0232,293.0,1,126.04,7,5.3632,5.3628,3.1459,3.1462,0.0115,2.272,1.8459,2.3395,4.4943,0.0107,4.4423,-0.0591,0.1682,95.8817,0.0,248.407,259.267,79.872,83.365,88.85,19.004,32.2765,32.2802,25.476,25.479
SKQ202010S,RES2.5,B,2020-07-02T19:29:25,-149.3572,60.0232,293.0,1,101.12,8,5.1773,5.1815,3.1113,3.112,0.012,2.1757,1.9071,2.4273,4.4997,0.0108,5.0,-0.049,0.1634,95.9976,0.0,260.595,272.283,83.297,87.044,100.0,18.2233,32.0736,32.078,25.3363,25.3393
SKQ202010S,RES2.5,B,2020-07-02T19:31:42,-149.3572,60.0232,293.0,1,75.81,9,4.7221,4.7217,3.0479,3.0467,0.0126,1.6962,1.9939,2.5709,4.4483,0.166,5.0,-0.0334,0.2093,94.9017,0.0518,280.568,295.504,88.529,93.231,100.0,14.3343,31.7953,31.7819,25.165,25.1544
SKQ202010S,RES2.5,B,2020-07-02T19:33:58,-149.3572,60.0232,293.0,1,50.51,10,7.0365,7.0332,3.2155,3.2155,0.0152,0.9225,2.2059,2.8407,4.4131,1.0614,5.0,0.027,0.2411,94.1503,1.25,301.024,314.21,100.07,104.448,100.0,8.0595,31.5151,31.5182,24.6699,24.6728
