Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],C0S/m,C1S/m,Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202012S,GAK8,B,2020-09-03T17:39:14,-148.4895,58.8073,289.0,13,288.41,2,4.7652,4.7664,3.2424,3.2429,0.0118,4.0553,0.8325,0.9261,4.1824,0.0134,0.2008,-0.0532,0.456,89.2259,0.0006,60.116,62.497,19.289,20.054,4.01,33.4662,33.8949,33.899,26.8255,26.8287
SKQ202012S,GAK8,B,2020-09-03T17:42:17,-148.4895,58.8073,289.0,13,252.43,3,4.859,4.859,3.2481,3.2485,0.0116,4.1233,0.8538,0.9549,4.2817,0.0122,1.9887,-0.0579,0.3621,91.3459,0.0003,63.888,66.35,20.543,21.336,39.77,34.0177,33.8839,33.888,26.8063,26.8096
SKQ202012S,GAK8,B,2020-09-03T17:46:23,-148.4895,58.8073,289.0,13,202.28,4,5.9194,5.9208,3.326,3.3265,0.0114,3.6237,1.0694,1.2513,4.5639,0.0103,4.4822,-0.0633,0.1067,97.3678,0.0,101.38,104.819,33.384,34.519,89.64,29.9659,33.731,33.735,26.5599,26.563
SKQ202012S,GAK8,B,2020-09-03T17:49:31,-148.4895,58.8073,289.0,13,151.42,5,6.2577,6.2589,3.3023,3.3026,0.0113,3.1322,1.3505,1.6403,4.5502,0.0106,3.5095,-0.0639,0.1187,97.0754,0.0,151.561,156.96,50.089,51.876,70.19,25.9803,33.1571,33.1594,26.0643,26.066
SKQ202012S,GAK8,B,2020-09-03T17:52:21,-148.4895,58.8073,289.0,13,125.93,6,5.8914,5.8879,3.2291,3.2291,0.0125,2.5982,1.7009,2.1267,4.5004,0.0109,2.8605,-0.0352,0.1628,96.0119,0.0,217.467,225.639,71.023,73.688,57.21,21.6491,32.7067,32.7104,25.754,25.7573
SKQ202012S,GAK8,B,2020-09-03T17:54:54,-148.4895,58.8073,289.0,13,101.12,7,6.323,6.324,3.2428,3.2432,0.0126,2.3334,1.8143,2.283,4.5245,0.0229,4.8709,-0.0328,0.1413,96.5277,0.0031,235.023,244.138,77.389,80.394,97.42,19.5013,32.4569,32.4611,25.5036,25.5067
SKQ202012S,GAK8,B,2020-09-03T17:58:46,-148.4895,58.8073,289.0,13,75.67,8,6.522,6.5232,3.2465,3.247,0.0127,2.3309,1.8062,2.2682,4.4653,0.1559,4.9526,-0.0316,0.1941,95.2643,0.0478,231.83,240.033,76.614,79.329,99.05,19.4815,32.3218,32.326,25.3719,25.3749
SKQ202012S,GAK8,B,2020-09-03T18:01:44,-148.4895,58.8073,289.0,13,50.26,9,6.9983,6.9998,3.275,3.2754,0.0151,2.1531,1.8095,2.2756,4.4154,0.7943,4.9655,0.0258,0.2391,94.1992,0.618,229.311,237.694,76.546,79.35,99.31,18.0392,32.1979,32.2013,25.2123,25.2148
SKQ202012S,GAK8,B,2020-09-03T18:03:40,-148.4895,58.8073,289.0,13,40.4,10,7.5488,7.5738,3.3144,3.3164,0.0194,2.031,1.8251,2.2906,4.4401,1.0872,4.79,0.1299,0.2168,94.7251,1.33,228.652,236.393,77.245,79.905,95.8,17.0494,32.1167,32.1159,25.0738,25.0697
SKQ202012S,GAK8,B,2020-09-03T18:05:37,-148.4895,58.8073,289.0,13,30.37,11,10.166,10.1657,3.5343,3.5345,0.0386,1.3759,1.9483,2.4577,4.4501,1.3847,4.9675,0.5909,0.2078,94.9383,2.76,234.398,243.188,83.865,87.01,99.35,11.7361,32.0427,32.0451,24.616,24.618
SKQ202012S,GAK8,B,2020-09-03T18:07:31,-148.4895,58.8073,289.0,13,20.42,12,12.5122,12.5131,3.7247,3.7252,0.0912,0.82,2.1183,2.6867,4.2819,1.8392,5.0,1.8516,0.3619,91.3497,8.1,247.653,257.377,93.008,96.664,100.0,7.2281,31.8799,31.8838,24.0708,24.0736
SKQ202012S,GAK8,B,2020-09-03T18:09:34,-148.4895,58.8073,289.0,13,10.47,13,12.5634,12.5645,3.7242,3.7247,0.0989,0.7667,2.1337,2.7133,4.2453,2.5142,5.0,2.0382,0.3963,90.5691,38.8,250.233,260.24,94.047,97.813,100.0,6.7961,31.8356,31.8393,24.0267,24.0294
SKQ202012S,GAK8,B,2020-09-03T18:09:40,-148.4895,58.8073,289.0,13,10.39,14,12.5646,12.5656,3.7242,3.7247,0.0965,0.7897,2.1351,2.7113,4.2438,2.514,4.8183,1.9802,0.3977,90.5366,38.7,250.467,260.149,94.137,97.781,96.37,6.9826,31.8349,31.8387,24.026,24.0287
SKQ202012S,GAK8,B,2020-09-03T18:09:46,-148.4895,58.8073,289.0,13,10.33,15,12.5638,12.565,3.7242,3.7247,0.0988,0.7617,2.1318,2.7107,4.2436,2.5321,5.0,2.0352,0.3978,90.5334,40.4,249.604,259.93,93.811,97.697,100.0,6.7552,31.8352,31.8389,24.0263,24.029
SKQ202012S,GAK8,B,2020-09-03T18:12:31,-148.4895,58.8073,289.0,13,3.65,16,12.5541,12.5563,3.7236,3.7241,0.0973,0.7793,2.1348,2.7096,4.2436,3.1399,5.0,1.9987,0.3978,90.5335,165.0,249.966,259.414,93.932,97.489,100.0,6.8979,31.8403,31.8434,24.0322,24.0342
SKQ202012S,GAK8,B,2020-09-03T18:12:38,-148.4895,58.8073,289.0,13,3.3,17,12.5514,12.5533,3.7234,3.7239,0.0939,0.795,2.1387,2.7103,4.2463,3.198,4.8125,1.9174,0.3952,90.5914,188.0,250.828,259.418,94.251,97.485,96.25,7.0256,31.8411,31.8444,24.0332,24.0354
SKQ202012S,GAK8,B,2020-09-03T18:12:45,-148.4895,58.8073,289.0,13,3.5,18,12.5539,12.5552,3.7235,3.7241,0.0976,0.7714,2.136,2.7162,4.2454,3.1997,5.0,2.0065,0.3961,90.5723,189.0,250.268,260.222,94.045,97.791,100.0,6.834,31.84,31.8438,24.0319,24.0346
SKQ202012S,GAK9,B,2020-09-03T20:20:36,-148.3513,58.6798,275.0,14,50.93,1,6.7919,6.7922,3.2715,3.2719,0.0154,2.1999,1.8363,2.3177,4.5624,1.1425,4.9122,0.0324,0.108,97.3354,1.53,234.774,244.544,78.089,81.342,98.24,18.4187,32.3539,32.3577,25.3623,25.3652
SKQ202012S,GAK9,B,2020-09-03T20:20:46,-148.3513,58.6798,275.0,14,50.75,2,6.8057,6.8064,3.2725,3.2729,0.0151,2.1663,1.8376,2.3163,4.561,1.1529,5.0,0.0258,0.1093,97.3051,1.57,235.174,243.81,78.246,81.123,100.0,18.1469,32.3513,32.3553,25.3584,25.3615
SKQ202012S,GAK9,B,2020-09-03T20:22:52,-148.3513,58.6798,275.0,14,40.55,3,7.7213,7.723,3.344,3.3445,0.0295,1.955,1.8615,2.346,4.5403,1.4111,5.0,0.3727,0.1275,96.8632,2.94,233.632,242.581,79.328,82.371,100.0,16.4328,32.2751,32.2788,25.1741,25.1767
SKQ202012S,GAK9,B,2020-09-03T20:22:59,-148.3513,58.6798,275.0,14,40.42,4,7.7239,7.7251,3.3442,3.3447,0.0292,1.9815,1.8593,2.3472,4.5384,1.4011,4.8341,0.3643,0.129,96.8249,2.87,233.258,242.481,79.205,82.342,96.68,16.6476,32.2748,32.2786,25.1735,25.1763
SKQ202012S,GAK9,B,2020-09-03T20:25:02,-148.3513,58.6798,275.0,14,33.09,5,8.0175,8.0201,3.3675,3.3682,0.0328,1.8985,1.87,2.3595,4.5302,1.6348,5.0,0.451,0.1363,96.65,5.01,232.427,242.187,79.436,82.779,100.0,15.9749,32.2551,32.2599,25.1162,25.1196
SKQ202012S,GAK9,B,2020-09-03T20:26:34,-148.3513,58.6798,275.0,14,30.11,6,8.7226,8.7215,3.4234,3.4237,0.04,1.7611,1.9026,2.4008,4.5154,1.7337,5.0,0.6238,0.1495,96.332,6.32,234.646,243.621,81.434,84.549,100.0,14.8604,32.1999,32.2037,24.9686,24.9718
SKQ202012S,GAK9,B,2020-09-03T20:28:22,-148.3513,58.6798,275.0,14,25.3,7,10.5898,10.5542,3.5713,3.569,0.0554,1.2934,1.9898,2.5174,4.4637,1.869,5.0,0.9941,0.1956,95.2281,8.68,238.373,247.599,86.068,89.336,100.0,11.0678,32.0417,32.0501,24.5437,24.5563
SKQ202012S,GAK9,B,2020-09-03T20:30:07,-148.3513,58.6798,275.0,14,20.45,8,12.6307,12.631,3.7345,3.7349,0.0855,0.792,2.1141,2.6873,4.3185,2.0431,5.0,1.7171,0.3278,92.1313,13.0,246.676,256.836,92.864,96.692,100.0,7.0014,31.8725,31.8762,24.0424,24.0453
SKQ202012S,GAK9,B,2020-09-03T20:30:14,-148.3513,58.6798,275.0,14,20.57,9,12.6202,12.6225,3.7338,3.7344,0.0864,0.7894,2.1127,2.6919,4.3181,2.0437,5.0,1.7386,0.3282,92.1233,13.0,246.782,257.502,92.884,96.927,100.0,6.9795,31.8742,31.8781,24.0458,24.0483
SKQ202012S,GAK9,B,2020-09-03T20:32:07,-148.3513,58.6798,275.0,14,13.25,10,12.7128,12.714,3.7365,3.7373,0.1084,0.6506,2.1405,2.7248,4.227,2.4493,5.0,2.2655,0.4135,90.1793,33.4,250.606,260.821,94.472,98.33,100.0,5.8539,31.8252,31.832,23.9901,23.9951
SKQ202012S,GAK9,B,2020-09-03T20:33:51,-148.3513,58.6798,275.0,14,10.22,11,12.7465,12.7518,3.7298,3.7296,0.1052,0.6674,2.1537,2.7423,4.1359,2.6852,4.7737,2.1883,0.5007,88.2348,57.6,252.315,262.766,95.122,99.068,95.47,5.9905,31.7344,31.7284,23.9133,23.9076
SKQ202012S,GAK9,B,2020-09-03T20:33:58,-148.3513,58.6798,275.0,14,10.24,12,12.7545,12.7521,3.7296,3.7304,0.1045,0.5998,2.1536,2.7419,4.1326,2.6866,5.0,2.1728,0.5039,88.1635,57.7,252.311,262.513,95.13,98.978,100.0,5.4429,31.7259,31.7353,23.9052,23.913
SKQ202012S,GAK9,B,2020-09-03T20:35:31,-148.3513,58.6798,275.0,14,8.1,13,12.7491,12.7503,3.7286,3.7291,0.1038,0.6154,2.1605,2.7498,4.1201,2.9754,4.8261,2.1542,0.516,87.8971,113.0,252.58,263.412,95.218,99.306,96.52,5.5688,31.7216,31.725,23.9029,23.9053
SKQ202012S,GAK9,B,2020-09-03T20:37:52,-148.3513,58.6798,275.0,14,2.81,14,12.7716,12.7725,3.7288,3.7292,0.0885,0.6152,2.1601,2.7567,4.11,3.5313,5.0,1.7883,0.5258,87.6828,406.0,252.618,263.995,95.266,99.561,100.0,5.567,31.7062,31.71,23.8867,23.8895
SKQ202012S,GAK9,B,2020-09-03T20:37:59,-148.3513,58.6798,275.0,14,3.09,15,12.7711,12.7725,3.7287,3.7292,0.085,0.6037,2.163,2.7554,4.1116,3.498,4.7549,1.7039,0.5242,87.7163,376.0,253.501,263.903,95.598,99.526,95.1,5.4738,31.7065,31.7099,23.887,23.8894
SKQ202012S,GAK9,B,2020-09-03T20:38:06,-148.3513,58.6798,275.0,14,3.13,16,12.7732,12.7738,3.7289,3.7294,0.0894,0.6411,2.1616,2.7547,4.1134,3.4796,4.9926,1.8092,0.5225,87.7536,359.0,253.187,263.791,95.484,99.487,99.85,5.7775,31.7058,31.71,23.8861,23.8892
SKQ202012S,GAK9,B,2020-09-03T22:18:14,-148.3513,58.68,275.0,15,277.78,1,4.7571,4.7567,3.2407,3.241,0.0129,4.1262,0.8344,0.9299,4.3746,0.0115,0.8619,-0.0251,0.2762,93.3283,0.0001,60.395,62.956,19.374,20.196,17.24,34.0414,33.8887,33.8923,26.8215,26.8244
SKQ202012S,GAK9,B,2020-09-03T22:18:21,-148.3513,58.68,275.0,15,277.45,2,4.7549,4.7569,3.2405,3.241,0.0117,4.116,0.8334,0.9283,4.3743,0.0113,0.1885,-0.0562,0.2764,93.3235,0.0,60.412,62.9,19.378,20.178,3.77,33.9585,33.8892,33.8932,26.8221,26.8251
SKQ202012S,GAK9,B,2020-09-03T22:18:28,-148.3513,58.68,275.0,15,277.6,3,4.7395,4.7478,3.2394,3.2404,0.0117,4.147,0.832,0.9263,4.3713,0.0114,0.1815,-0.055,0.2792,93.257,0.0,59.962,62.439,19.227,20.026,3.63,34.2103,33.8915,33.8951,26.8257,26.8276
SKQ202012S,GAK9,B,2020-09-03T22:20:59,-148.3513,58.68,275.0,15,252.36,4,4.9258,4.9276,3.2527,3.2532,0.0117,4.129,0.8721,0.9819,4.4549,0.0109,1.4228,-0.0562,0.2034,95.042,0.0,67.129,69.944,21.617,22.525,28.45,34.0642,33.8693,33.8733,26.7873,26.7902
SKQ202012S,GAK9,B,2020-09-03T22:21:07,-148.3513,58.68,275.0,15,252.37,5,4.9262,4.9273,3.2527,3.2532,0.0117,4.1351,0.8718,0.9815,4.4547,0.0108,1.4245,-0.055,0.2036,95.0378,0.0,67.104,69.895,21.61,22.51,28.49,34.1137,33.8692,33.8735,26.7872,26.7904
SKQ202012S,GAK9,B,2020-09-03T22:23:45,-148.3513,58.68,275.0,15,202.35,6,5.673,5.6734,3.3099,3.3103,0.0116,3.76,1.018,1.1825,4.5593,0.0105,3.9141,-0.0585,0.1107,97.2695,0.0,92.509,96.029,30.303,31.457,78.28,31.0715,33.7949,33.7988,26.6408,26.6438
SKQ202012S,GAK9,B,2020-09-03T22:23:51,-148.3513,58.68,275.0,15,202.27,7,5.6729,5.6749,3.3098,3.3104,0.0115,3.7487,1.0172,1.1823,4.558,0.0105,3.9158,-0.0609,0.1119,97.2408,0.0,92.313,96.135,30.238,31.493,78.31,30.9797,33.7944,33.7984,26.6403,26.6433
SKQ202012S,GAK9,B,2020-09-03T22:26:35,-148.3513,58.68,275.0,15,151.73,8,6.2397,6.2417,3.3351,3.3355,0.0117,3.4634,1.1628,1.3824,4.5395,0.0105,1.5936,-0.0562,0.1282,96.8462,0.0,116.944,121.436,38.742,40.233,31.87,28.6662,33.5405,33.5427,26.3692,26.3707
SKQ202012S,GAK9,B,2020-09-03T22:26:47,-148.3513,58.68,275.0,15,151.28,9,6.2405,6.2411,3.335,3.3355,0.0115,3.427,1.1616,1.3836,4.54,0.0104,1.486,-0.0597,0.1278,96.8568,0.0,116.662,121.724,38.649,40.328,29.72,28.371,33.5383,33.5435,26.3674,26.3714
SKQ202012S,GAK9,B,2020-09-03T22:28:57,-148.3513,58.68,275.0,15,126.64,10,6.1446,6.1454,3.2863,3.2867,0.0114,3.0809,1.3819,1.6868,4.4538,0.0113,2.2459,-0.0621,0.2043,95.0192,0.0,157.192,163.329,51.793,53.817,44.92,25.564,33.1009,33.1043,26.0342,26.0368
SKQ202012S,GAK9,B,2020-09-03T22:31:00,-148.3513,58.68,275.0,15,101.55,11,5.9978,5.9971,3.2254,3.2258,0.0115,2.5524,1.7117,2.1442,4.5194,0.1545,3.5035,-0.0609,0.1459,96.4182,0.0473,218.316,226.835,71.408,74.196,70.07,21.2777,32.5742,32.5799,25.6364,25.641
SKQ202012S,GAK9,B,2020-09-03T22:31:06,-148.3513,58.68,275.0,15,101.6,12,5.9977,5.9981,3.2253,3.2258,0.0114,2.5836,1.7108,2.1482,4.5211,0.1573,3.5032,-0.0615,0.1444,96.4538,0.0483,217.679,227.193,71.199,74.314,70.06,21.5313,32.5739,32.5787,25.6362,25.64
SKQ202012S,GAK9,B,2020-09-03T22:33:26,-148.3513,58.68,275.0,15,75.54,13,6.2049,6.2049,3.2244,3.2248,0.0122,2.4149,1.8134,2.2864,4.5349,0.623,4.8191,-0.0418,0.1322,96.7489,0.377,234.758,244.175,77.045,80.139,96.38,20.163,32.3782,32.3825,25.4562,25.4596
SKQ202012S,GAK9,B,2020-09-03T22:35:50,-148.3513,58.68,275.0,15,50.24,14,7.0188,7.0196,3.283,3.2834,0.0173,2.301,1.8123,2.2865,4.5489,1.3715,4.9024,0.0803,0.1199,97.0477,2.68,229.665,239.389,76.739,79.992,98.05,19.2394,32.2659,32.2701,25.2631,25.2663
SKQ202012S,GAK9,B,2020-09-03T22:38:03,-148.3513,58.68,275.0,15,40.59,15,7.0587,7.0517,3.2845,3.2844,0.0191,2.2056,1.7973,2.2648,4.5446,1.6775,4.8909,0.1227,0.1236,96.9568,5.54,226.2,235.704,75.642,78.81,97.82,18.4652,32.2499,32.2553,25.2452,25.2504
SKQ202012S,GAK9,B,2020-09-03T22:40:02,-148.3513,58.68,275.0,15,30.52,16,9.3371,9.3251,3.4712,3.4706,0.0441,1.7745,1.9009,2.4002,4.4933,2.0234,5.0,0.7207,0.1691,95.8604,12.4,230.854,240.219,81.176,84.449,100.0,14.9693,32.1392,32.1436,24.826,24.8313
SKQ202012S,GAK9,B,2020-09-03T22:41:57,-148.3513,58.68,275.0,15,20.17,17,12.6645,12.6642,3.7294,3.7298,0.0778,0.7383,2.1001,2.6664,4.3493,2.5951,5.0,1.5311,0.2994,92.788,46.7,244.702,254.637,92.135,95.878,100.0,6.5657,31.796,31.7997,23.9768,23.9797
SKQ202012S,GAK9,B,2020-09-03T22:42:03,-148.3513,58.68,275.0,15,20.26,18,12.6412,12.6304,3.727,3.727,0.0775,0.7961,2.0989,2.6667,4.3518,2.5897,5.0,1.5245,0.2971,92.8417,46.1,244.71,254.526,92.092,95.77,100.0,7.0341,31.7926,31.8012,23.9786,23.9873
SKQ202012S,GAK9,B,2020-09-03T22:44:08,-148.3513,58.68,275.0,15,9.96,19,13.0321,13.0302,3.7572,3.7575,0.089,0.62,2.1697,2.7589,4.1445,3.0483,5.0,1.8002,0.4924,88.4188,133.0,252.974,262.982,95.945,99.74,100.0,5.6066,31.7532,31.7578,23.8726,23.8765
SKQ202012S,GAK9,B,2020-09-03T22:44:14,-148.3513,58.68,275.0,15,10.07,20,13.026,13.0278,3.7567,3.7573,0.0984,0.6247,2.1691,2.7551,4.1439,2.9616,4.8282,2.0256,0.493,88.4044,109.0,252.999,262.436,95.943,99.527,96.56,5.6446,31.7539,31.7575,23.8743,23.8767
SKQ202012S,GAK9,B,2020-09-03T22:46:47,-148.3513,58.68,275.0,15,3.05,21,13.0391,13.0416,3.7575,3.7581,0.0746,0.623,2.1691,2.7624,4.1383,3.9721,5.0,1.4539,0.4983,88.2864,1120.0,252.476,263.072,95.77,99.797,100.0,5.631,31.7532,31.7568,23.8712,23.8735
SKQ202012S,GAK9,B,2020-09-03T22:46:53,-148.3513,58.68,275.0,15,3.12,22,13.0396,13.0407,3.7576,3.758,0.0661,0.613,2.1723,2.7598,4.1403,3.9769,5.0,1.2512,0.4964,88.3289,1150.0,253.359,262.534,96.105,99.591,100.0,5.5498,31.753,31.7566,23.871,23.8736
SKQ202012S,GAK9,B,2020-09-03T22:46:59,-148.3513,58.68,275.0,15,3.11,23,13.0396,13.0399,3.7576,3.758,0.0658,0.5979,2.1714,2.7622,4.135,3.9364,4.9785,1.2422,0.5016,88.2146,1030.0,252.999,263.069,95.969,99.792,99.57,5.4273,31.7532,31.7571,23.8711,23.8741
SKQ202012S,GAK10,B,2020-09-04T01:07:29,-148.2102,58.5428,1453.0,16,1459.17,1,2.4369,2.4387,3.1384,3.1389,0.0114,4.1431,0.6162,0.6267,4.5629,0.0167,0.0617,-0.0627,0.1076,97.3465,0.0014,23.417,24.431,7.132,7.441,1.23,34.178,34.4825,34.4867,27.5214,27.5247
SKQ202012S,GAK10,B,2020-09-04T01:07:38,-148.2102,58.5428,1453.0,16,1459.14,2,2.4364,2.4404,3.1384,3.139,0.0112,4.1431,0.6163,0.6267,4.5655,0.0181,0.0605,-0.0669,0.1053,97.4034,0.0019,23.34,24.438,7.108,7.444,1.21,34.1782,34.4826,34.4865,27.5215,27.5243
SKQ202012S,GAK10,B,2020-09-04T01:17:42,-148.2102,58.5428,1453.0,16,1011.97,3,3.2196,3.2199,3.1741,3.1746,0.0112,4.1432,0.5801,0.576,4.5928,0.0103,5.0,-0.0663,0.0814,97.9846,0.0,13.659,14.263,4.236,4.423,100.0,34.1794,34.3165,34.3216,27.3192,27.3232
SKQ202012S,GAK10,B,2020-09-04T01:18:06,-148.2102,58.5428,1453.0,16,1011.84,4,3.217,3.2183,3.174,3.1745,0.0113,4.1435,0.5801,0.5761,4.5911,0.0102,5.0,-0.0651,0.0829,97.9474,0.0,13.614,14.229,4.221,4.413,100.0,34.1812,34.3173,34.322,27.3201,27.3237
SKQ202012S,GAK10,B,2020-09-04T01:25:06,-148.2102,58.5428,1453.0,16,758.3,5,3.5754,3.5767,3.1866,3.1871,0.0121,4.1441,0.5916,0.5924,4.5872,0.0119,5.0,-0.0466,0.0863,97.865,0.0003,15.432,16.247,4.824,5.079,100.0,34.1865,34.2237,34.228,27.2112,27.2145
SKQ202012S,GAK10,B,2020-09-04T01:25:19,-148.2102,58.5428,1453.0,16,758.52,6,3.575,3.5762,3.1866,3.1871,0.0113,4.1441,0.5917,0.5927,4.5854,0.0118,5.0,-0.0651,0.0879,97.8262,0.0002,15.537,16.315,4.857,5.1,100.0,34.1869,34.2239,34.2282,27.2114,27.2147
SKQ202012S,GAK10,B,2020-09-04T01:32:10,-148.2102,58.5428,1453.0,16,506.06,7,4.1955,4.1966,3.2171,3.2176,0.0124,4.1453,0.6524,0.677,4.5926,0.0102,5.0,-0.0376,0.0816,97.9804,0.0,27.035,28.222,8.568,8.945,100.0,34.1966,34.072,34.0764,27.0277,27.0311
SKQ202012S,GAK10,B,2020-09-04T01:32:20,-148.2102,58.5428,1453.0,16,505.71,8,4.1953,4.1965,3.2171,3.2176,0.0113,4.1455,0.6531,0.6772,4.5304,0.0131,5.0,-0.0639,0.1366,96.6521,0.0005,27.147,28.204,8.604,8.939,100.0,34.1978,34.0721,34.0764,27.0278,27.0311
SKQ202012S,GAK10,B,2020-09-04T01:39:20,-148.2102,58.5428,1453.0,16,252.89,9,5.2486,5.2502,3.2803,3.2809,0.0113,4.0727,0.9412,1.0761,4.5801,0.0103,5.0,-0.0657,0.0926,97.7124,0.0,79.971,83.072,25.948,26.956,100.0,33.6079,33.8597,33.864,26.7426,26.7458
SKQ202012S,GAK10,B,2020-09-04T01:42:27,-148.2102,58.5428,1453.0,16,201.96,10,5.7072,5.7085,3.3147,3.3152,0.0114,3.9045,1.0207,1.1844,4.5685,0.0104,5.0,-0.0615,0.1026,97.4662,0.0,93.315,96.38,30.596,31.603,100.0,32.2436,33.8155,33.8197,26.6528,26.656
SKQ202012S,GAK10,B,2020-09-04T01:45:03,-148.2102,58.5428,1453.0,16,151.88,11,6.1917,6.1928,3.3377,3.3382,0.0116,3.5742,1.1306,1.3359,4.5485,0.0107,5.0,-0.0568,0.1202,97.0387,0.0,111.425,115.456,36.894,38.23,100.0,29.5645,33.6168,33.621,26.4356,26.4387
SKQ202012S,GAK10,B,2020-09-04T01:47:38,-148.2102,58.5428,1453.0,16,126.5,12,6.2493,6.2505,3.3177,3.3182,0.0115,3.3371,1.2462,1.4968,4.5225,0.0107,5.0,-0.0609,0.1431,96.4852,0.0,132.27,137.14,43.767,45.381,100.0,27.6418,33.3491,33.3534,26.2169,26.2201
SKQ202012S,GAK10,B,2020-09-04T01:49:50,-148.2102,58.5428,1453.0,16,101.02,13,6.1672,6.1658,3.2718,3.2719,0.0116,2.9205,1.5105,1.8637,4.5549,0.0909,5.0,-0.0579,0.1146,97.1759,0.0241,180.445,187.53,59.41,61.742,100.0,24.2629,32.9296,32.9327,25.8961,25.8987
SKQ202012S,GAK10,B,2020-09-04T01:52:07,-148.2102,58.5428,1453.0,16,76.02,14,6.0353,6.0358,3.2231,3.2235,0.0117,2.5461,1.7442,2.1827,4.4914,0.4293,5.0,-0.055,0.1708,95.8205,0.197,223.566,231.17,73.162,75.654,100.0,21.227,32.5251,32.5291,25.593,25.5962
SKQ202012S,GAK10,B,2020-09-04T01:54:35,-148.2102,58.5428,1453.0,16,50.75,15,7.2484,7.2417,3.3197,3.3196,0.0211,2.1126,1.8805,2.369,4.5664,1.0235,5.0,0.1706,0.1045,97.421,1.13,240.297,248.651,80.823,83.623,100.0,17.7108,32.4496,32.4551,25.3768,25.3819
SKQ202012S,GAK10,B,2020-09-04T01:56:39,-148.2102,58.5428,1453.0,16,40.71,16,7.9747,7.9749,3.378,3.3785,0.0265,1.9275,1.9197,2.4214,4.5643,1.3339,5.0,0.2991,0.1064,97.3763,2.44,243.852,251.007,83.35,85.799,100.0,16.2099,32.4035,32.4078,25.2388,25.2422
SKQ202012S,GAK10,B,2020-09-04T01:58:44,-148.2102,58.5428,1453.0,16,30.65,17,9.8418,9.8118,3.5272,3.5236,0.0368,1.7123,1.9525,2.4738,4.5488,1.6579,4.858,0.5461,0.12,97.0456,5.29,236.679,246.627,84.219,87.695,97.16,14.4647,32.2594,32.2492,24.8387,24.8356
SKQ202012S,GAK10,B,2020-09-04T02:00:45,-148.2102,58.5428,1453.0,16,20.29,18,12.3635,12.3627,3.7296,3.7298,0.0985,1.0561,2.0482,2.6008,4.4264,2.1565,5.0,2.0274,0.2291,94.4327,16.9,238.214,247.778,89.297,92.882,100.0,9.1433,32.0534,32.0559,24.2335,24.2355
SKQ202012S,GAK10,B,2020-09-04T02:02:51,-148.2102,58.5428,1453.0,16,10.04,19,13.2934,13.2952,3.6884,3.6887,0.1252,0.6023,2.2138,2.8237,4.071,2.7026,5.0,2.6685,0.5639,86.8496,59.9,260.557,270.681,98.756,102.598,100.0,5.4625,30.8939,30.8951,23.1571,23.1576
SKQ202012S,GAK10,B,2020-09-04T02:02:57,-148.2102,58.5428,1453.0,16,10.12,20,13.2918,13.293,3.6884,3.6888,0.1258,0.5748,2.2095,2.8237,4.0754,2.6975,4.8813,2.6817,0.5597,86.9426,59.2,259.529,270.942,98.364,102.694,97.63,5.2396,30.8954,30.8977,23.1585,23.1601
SKQ202012S,GAK10,B,2020-09-04T02:05:14,-148.2102,58.5428,1453.0,16,3.14,21,13.3058,13.3072,3.688,3.6885,0.105,0.5996,2.2173,2.8286,4.0587,3.3314,4.8108,2.1847,0.576,86.588,255.0,260.521,271.291,98.76,102.848,96.22,5.441,30.8827,30.8861,23.1459,23.1483
SKQ202012S,GAK10,B,2020-09-04T02:05:22,-148.2102,58.5428,1453.0,16,3.23,22,13.3087,13.3092,3.6884,3.6888,0.1138,0.5498,2.2176,2.8265,4.0677,3.3189,5.0,2.3953,0.5672,86.7794,249.0,260.423,270.658,98.729,102.613,100.0,5.0369,30.8843,30.8874,23.1466,23.1489
SKQ202012S,GAK11,B,2020-09-04T04:30:12,-148.0688,58.3887,1414.0,17,1422.62,1,2.419,2.4218,3.1356,3.1361,0.0113,4.1441,0.6174,0.6282,4.5774,0.0117,0.9339,-0.0651,0.0949,97.655,0.0002,23.592,24.625,7.182,7.497,18.68,34.1861,34.4853,34.4894,27.5252,27.5282
SKQ202012S,GAK11,B,2020-09-04T04:40:42,-148.0688,58.3887,1414.0,17,1011.42,2,3.0185,3.0196,3.1598,3.1602,0.0113,4.144,0.5811,0.5778,4.6032,0.0101,5.0,-0.0651,0.0724,98.2064,0.0,13.952,14.708,4.307,4.54,100.0,34.1853,34.3553,34.3597,27.3688,27.3722
