Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Voltage7_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],JulianDays_[days],Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ201810S,RES2.5,B,2018-04-18T18:21:00,-149.3585,60.0193,290,1,289.86,1,5.9905,5.9892,3.2988,3.2991,0.0299,5,1.2747,1.3979,3.6064,0.127,0.213,0.0422,0.3822,1.06,76.72,0.0,129.337,134.637,42.528,44.272,4.26,108.7575,33.3112,33.3165,26.2194,26.2238
SKQ201810S,RES2.5,B,2018-04-18T18:23:11,-149.3585,60.0193,290,1,252.72,2,6.0006,5.9988,3.2954,3.2957,0.0291,5,1.3345,1.4531,4.2642,0.127,2.0466,0.042,0.3631,0.3897,90.7183,0.0,138.232,142.174,45.454,46.75,40.93,108.759,33.2818,33.2868,26.1949,26.1991
SKQ201810S,RES2.5,B,2018-04-18T18:25:57,-149.3585,60.0193,290,1,201.96,3,6.0613,6.0598,3.2916,3.2919,0.0283,5,1.3299,1.46,4.2559,0.127,4.5493,0.0408,0.3434,0.3974,90.5422,0.0,135.011,142.159,44.433,46.785,90.98,108.7609,33.2044,33.2096,26.1262,26.1306
SKQ201810S,RES2.5,B,2018-04-18T18:29:26,-149.3585,60.0193,290,1,151.5,4,5.8373,5.8327,3.227,3.2271,0.029,5,1.6818,1.8818,4.4128,0.127,1.662,0.0422,0.3589,0.2525,93.882,0.0,195.828,203.976,63.883,66.537,33.24,108.7634,32.7226,32.7281,25.7731,25.7781
SKQ201810S,RES2.5,B,2018-04-18T18:30:53,-149.3585,60.0193,290,1,126.47,5,5.5875,5.5989,3.1713,3.1745,0.0307,5,1.9173,2.1235,4.4136,0.127,2.9111,0.042,0.4008,0.2518,93.8979,0.0,236.872,241.284,76.608,78.07,58.22,108.7644,32.348,32.373,25.5067,25.5251
SKQ201810S,RES2.5,B,2018-04-18T18:32:36,-149.3585,60.0193,290,1,100.77,6,5.4931,5.4934,3.144,3.1443,0.0311,5,1.9816,2.2094,4.4004,0.127,4.6934,0.041,0.411,0.2638,93.6179,0.0,248.083,253.749,79.933,81.761,93.87,108.7656,32.1423,32.1456,25.355,25.3575
SKQ201810S,RES2.5,B,2018-04-18T18:34:17,-149.3585,60.0193,290,1,75.89,7,5.4184,5.4156,3.125,3.1248,0.034,5,2.0203,2.2464,4.434,0.127,4.9839,0.0405,0.4785,0.2334,94.3327,0.0,254.393,259.16,81.742,83.269,99.68,108.7667,32.0107,32.0119,25.2594,25.2606
SKQ201810S,RES2.5,B,2018-04-18T18:36:32,-149.3585,60.0193,290,1,50.43,8,4.8756,4.8737,3.0581,3.0583,0.0252,5,2.1465,2.3531,4.4355,0.1306,4.983,0.041,0.2698,0.2321,94.3645,0.0,279.235,278.322,88.421,88.13,99.66,108.7683,31.7778,31.7819,25.1349,25.1384
SKQ201810S,RES2.5,B,2018-04-18T18:38:27,-149.3585,60.0193,290,1,40.37,9,4.8323,4.8322,3.0487,3.0491,0.0346,5,2.0998,2.3556,4.4242,0.14,4.9829,0.0414,0.4935,0.2422,94.1248,0.0,271.062,278.716,85.704,88.128,99.66,108.7696,31.7163,31.7218,25.0908,25.0951
SKQ201810S,RES2.5,B,2018-04-18T18:40:00,-149.3585,60.0193,290,1,30.13,10,4.6914,4.6898,3.0306,3.0309,0.0425,5,2.1322,2.3931,4.4051,0.1697,4.9829,0.0418,0.683,0.2597,93.7171,0.0184,277.534,284.955,87.41,89.748,99.66,108.7707,31.6471,31.6526,25.0507,25.0552
SKQ201810S,RES2.5,B,2018-04-18T18:41:34,-149.3585,60.0193,290,1,20.14,11,4.6091,4.608,3.0174,3.0177,0.0738,5,2.2134,2.4526,4.3845,0.2861,4.9832,0.0419,1.4342,0.2782,93.2801,0.134,292.053,294.423,91.754,92.5,99.67,108.7718,31.5783,31.5835,25.0047,25.0089
SKQ201810S,RES2.5,B,2018-04-18T18:43:01,-149.3585,60.0193,290,1,10.15,12,4.9208,4.9126,3.0323,3.0322,0.7861,5,2.5116,2.8354,3.4411,1.2288,5.0,0.0421,18.5304,1.2477,73.2036,3.96,339.79,348.716,107.455,110.262,100.0,108.7728,31.4585,31.4661,24.877,24.884
SKQ201810S,RES2.5,B,2018-04-18T18:44:31,-149.3585,60.0193,290,1,3.8,13,5.2744,5.3342,3.051,3.0558,0.7418,5,2.7934,3.2145,3.2734,2.5879,5.0,0.0422,17.4677,1.4476,69.6354,98.4,384.789,400.06,122.607,127.653,100.0,108.7738,31.3423,31.3412,24.7467,24.7392
SKQ201810S,RES2.5,B,2018-04-18T18:44:39,-149.3585,60.0193,290,1,3.82,14,5.0602,5.0683,3.0413,3.0412,0.7623,5,2.6947,3.0598,3.2523,2.5731,5.0,0.042,17.9593,1.4736,69.1841,95.1,365.793,365.124,116.042,115.844,100.0,108.7739,31.4336,31.4248,24.8424,24.8345
SKQ201810S,GAK1,B,2018-04-19T01:10:42,-149.4648,59.8465,270,2,267.76,1,5.9223,5.9208,3.3022,3.3026,0.0287,5,1.2813,1.3098,3.3762,0.127,0.2648,0.0413,0.3535,1.3239,71.8217,0.0,129.772,121.61,42.64,39.959,5.3,109.0442,33.4275,33.4338,26.3197,26.3249
SKQ201810S,GAK1,B,2018-04-19T01:10:50,-149.4648,59.8465,270,2,268.51,2,5.9221,5.9207,3.3023,3.3027,0.0286,5,1.2804,1.3091,3.3815,0.127,0.2268,0.041,0.3512,1.3177,71.9336,0.0,129.483,121.099,42.545,39.791,4.54,109.0443,33.4283,33.4342,26.3204,26.3253
SKQ201810S,GAK1,B,2018-04-19T01:12:47,-149.4648,59.8465,270,2,252.86,3,5.9255,5.9241,3.3004,3.3008,0.0255,5,1.3332,1.3725,4.1836,0.127,0.9911,0.0413,0.2776,0.466,89.0039,0.0,138.31,130.522,45.444,42.886,19.82,109.0457,33.4123,33.4179,26.3074,26.3119
SKQ201810S,GAK1,B,2018-04-19T01:16:41,-149.4648,59.8465,270,2,201.52,4,5.9549,5.9534,3.2842,3.2846,0.0258,5,1.4768,1.553,4.4078,0.1272,3.5324,0.0408,0.2848,0.2571,93.7759,0.0,161.387,156.006,52.99,51.224,70.65,109.0484,33.2261,33.2322,26.1566,26.1616
SKQ201810S,GAK1,B,2018-04-19T01:19:22,-149.4648,59.8465,270,2,151.64,5,5.2814,5.2816,3.1599,3.1604,0.0318,5,1.9373,2.1951,4.5066,0.1271,4.9866,0.0398,0.4271,0.1684,95.8779,0.0,242.454,253.335,77.938,81.439,99.73,109.0502,32.5022,32.5074,25.6639,25.668
SKQ201810S,GAK1,B,2018-04-19T01:21:28,-149.4648,59.8465,270,2,126.69,6,5.0085,5.0003,3.1046,3.1039,0.0335,5,2.1009,2.3453,4.501,0.127,3.6173,0.0409,0.4672,0.1734,95.7581,0.0,272.349,278.291,86.752,88.628,72.35,109.0517,32.1461,32.1468,25.4123,25.4138
SKQ201810S,GAK1,B,2018-04-19T01:24:31,-149.4648,59.8465,270,2,101.12,7,4.9129,4.9109,3.0858,3.0861,0.0342,5,2.148,2.3904,4.5294,0.127,4.2788,0.0417,0.4857,0.1482,96.3616,0.0,280.137,284.796,88.956,90.435,85.58,109.0538,32.0353,32.041,25.3349,25.3397
SKQ201810S,GAK1,B,2018-04-19T01:26:43,-149.4648,59.8465,270,2,76.3,8,4.9296,4.931,3.0691,3.0696,0.0414,5,2.1592,2.4285,4.491,0.127,4.9866,0.0415,0.6579,0.1824,95.5449,0.0,281.707,289.739,89.36,91.914,99.73,109.0553,31.8404,31.8448,25.1787,25.1821
SKQ201810S,GAK1,B,2018-04-19T01:29:33,-149.4648,59.8465,270,2,49.61,9,5.1199,5.1166,3.0687,3.069,0.0968,5,2.2853,2.569,4.2649,0.127,4.9853,0.0417,1.988,0.3889,90.7342,0.0,300.728,308.64,95.704,98.218,99.71,109.0573,31.6678,31.6736,25.0213,25.0263
SKQ201810S,GAK1,B,2018-04-19T01:31:12,-149.4648,59.8465,270,2,40.7,10,5.1097,5.1078,3.0623,3.0626,0.2563,5,2.3955,2.6951,3.9877,0.1293,4.7814,0.0415,5.8155,0.6579,84.8349,0.0,320.011,326.901,101.77,103.961,95.63,109.0584,31.6081,31.6139,24.9752,24.98
SKQ201810S,GAK1,B,2018-04-19T01:32:48,-149.4648,59.8465,270,2,30.25,11,5.1043,5.1023,3.059,3.0593,0.3317,5,2.4226,2.7278,3.9079,0.1522,4.9841,0.0418,7.6251,0.7387,83.1379,0.0035,324.028,331.419,103.013,105.363,99.68,109.0596,31.5805,31.5867,24.9539,24.9591
SKQ201810S,GAK1,B,2018-04-19T01:34:27,-149.4648,59.8465,270,2,20.58,12,5.189,5.1881,3.055,3.0554,0.3862,5,2.5473,2.8801,3.7595,0.416,4.9841,0.0415,8.9336,0.8937,79.9791,0.307,344.723,353.687,109.715,112.57,99.68,109.0607,31.4605,31.4657,24.8496,24.8539
SKQ201810S,GAK1,B,2018-04-19T01:36:01,-149.4648,59.8465,270,2,10.25,13,5.1926,5.1909,3.0545,3.0549,0.3565,5,2.5649,2.8916,3.7406,1.5889,4.8619,0.0415,8.2202,0.9138,79.5766,9.59,346.688,354.516,110.347,112.839,97.24,109.0618,31.4562,31.4626,24.8458,24.8511
SKQ201810S,GAK1,B,2018-04-19T01:37:53,-149.4648,59.8465,270,2,3.99,14,5.1883,5.1871,3.0542,3.0546,0.3472,5,2.5599,2.8883,3.7551,2.5937,4.9934,0.0409,7.9971,0.8983,79.8857,99.7,345.724,353.494,110.032,112.506,99.87,109.0631,31.4599,31.4657,24.8493,24.854
SKQ201810S,GAK1,B,2018-04-19T01:38:01,-149.4648,59.8465,270,2,3.0,15,5.1876,5.1862,3.0542,3.0546,0.3215,5,2.5597,2.8895,3.7494,2.9285,4.7348,0.0414,7.3811,0.9045,79.7627,230.0,345.888,353.662,110.083,112.558,94.7,109.0632,31.461,31.4664,24.8502,24.8546
SKQ201810S,KOD5,B,2018-04-19T18:29:47,-150.7607,57.786,87,3,11.88,1,4.7576,4.7559,3.0721,3.0726,0.0465,5,2.5347,2.4655,4.5215,2.5667,3.7654,0.0412,0.7806,0.1551,96.195,93.7,311.101,293.454,98.45,92.867,75.31,109.7665,32.0723,32.0793,25.3808,25.3866
SKQ201810S,KOD5,B,2018-04-19T18:31:40,-150.7607,57.786,87,3,8.88,2,4.7581,4.7566,3.0715,3.072,0.0386,5,2.5362,2.4642,4.5248,2.7425,3.9075,0.0415,0.5897,0.1522,96.2661,141.0,311.257,293.303,98.496,92.817,78.15,109.7678,32.0663,32.0732,25.3761,25.3817
SKQ201810S,KOD5,B,2018-04-19T18:33:23,-150.7607,57.786,87,3,5.47,3,4.7556,4.7537,3.0712,3.0717,0.0288,5,2.537,2.4652,4.5242,2.9098,4.1032,0.0415,0.3553,0.1528,96.2523,208.0,311.341,293.462,98.518,92.861,82.06,109.769,32.0673,32.0743,25.3771,25.3828
SKQ201810S,KOD5,B,2018-04-19T18:35:44,-150.7607,57.786,87,3,3.29,4,4.7601,4.7582,3.0714,3.0718,0.0283,5,2.5372,2.4646,4.5248,3.1578,4.1743,0.0421,0.3422,0.1523,96.265,367.0,310.922,293.155,98.395,92.773,83.49,109.7707,32.0659,32.0727,25.3755,25.3811
SKQ201810S,KOD5,B,2018-04-19T20:04:42,-150.761,57.7847,87,4,83.3,1,4.7677,4.7656,3.0784,3.0789,0.0421,5,2.503,2.51,4.4837,0.3335,0.276,0.0424,0.6752,0.1888,95.3901,0.191,308.909,302.87,97.8,95.889,5.52,109.8335,32.0997,32.1069,25.4016,25.4075
SKQ201810S,KOD5,B,2018-04-19T20:04:49,-150.761,57.7847,87,4,82.8,2,4.7676,4.7656,3.0784,3.0789,0.0455,5,2.5028,2.5089,4.4855,0.3433,0.2262,0.0425,0.7566,0.1872,95.4277,0.204,309.02,302.691,97.835,95.832,4.52,109.8336,32.0998,32.107,25.4016,25.4075
SKQ201810S,KOD5,B,2018-04-19T20:06:18,-150.761,57.7847,87,4,76.42,3,4.7681,4.7661,3.0781,3.0785,0.0423,5,2.5036,2.5127,4.4842,0.4785,0.5384,0.043,0.6794,0.1883,95.4018,0.409,308.692,302.943,97.731,95.912,10.77,109.8346,32.0985,32.1057,25.4005,25.4065
SKQ201810S,KOD5,B,2018-04-19T20:06:24,-150.761,57.7847,87,4,76.08,4,4.7679,4.7658,3.078,3.0785,0.0446,5,2.5029,2.5138,4.4806,0.4818,0.5584,0.0434,0.7345,0.1916,95.3243,0.415,308.605,303.152,97.704,95.978,11.17,109.8347,32.0987,32.106,25.4007,25.4067
SKQ201810S,KOD5,B,2018-04-19T20:08:33,-150.761,57.7847,87,4,51.08,5,4.7703,4.7684,3.0767,3.0771,0.0435,5,2.5159,2.524,4.5039,1.2868,1.784,0.0442,0.707,0.1708,95.8196,4.58,309.708,303.76,98.054,96.172,35.68,109.8362,32.093,32.1001,25.3959,25.4018
SKQ201810S,KOD5,B,2018-04-19T20:08:43,-150.761,57.7847,87,4,51.05,6,4.7701,4.7679,3.0767,3.0771,0.0421,5,2.5154,2.5174,4.4931,1.2817,1.7884,0.0441,0.6747,0.1804,95.59,4.52,309.505,302.12,97.99,95.652,35.77,109.8363,32.0933,32.1008,25.3962,25.4024
SKQ201810S,KOD5,B,2018-04-19T20:10:06,-150.761,57.7847,87,4,40.24,7,4.7723,4.7709,3.0759,3.0764,0.0404,5,2.5214,2.5287,4.514,1.6711,2.3299,0.0441,0.6334,0.1618,96.0354,11.6,310.058,304.072,98.166,96.272,46.6,109.8373,32.0881,32.0945,25.3919,25.397
SKQ201810S,KOD5,B,2018-04-19T20:10:14,-150.761,57.7847,87,4,40.75,8,4.7713,4.7694,3.0761,3.0765,0.0426,5,2.5196,2.5268,4.5078,1.6567,2.296,0.0437,0.6854,0.1673,95.9034,11.2,309.728,303.474,98.061,96.082,45.92,109.8374,32.0904,32.0975,25.3938,25.3996
SKQ201810S,KOD5,B,2018-04-19T20:12:00,-150.761,57.7847,87,4,30.64,9,4.781,4.7792,3.0752,3.0757,0.0439,5,2.5288,2.537,4.5236,1.9895,2.8003,0.0441,0.7166,0.1533,96.2401,24.5,310.824,304.91,98.42,96.549,56.01,109.8386,32.076,32.0831,25.3813,25.3871
SKQ201810S,KOD5,B,2018-04-19T20:12:27,-150.761,57.7847,87,4,30.93,10,4.7798,4.7779,3.0752,3.0757,0.0396,5,2.5289,2.5351,4.5264,1.9855,2.7942,0.0439,0.6131,0.1508,96.2995,24.3,310.743,304.421,98.393,96.392,55.89,109.8389,32.0774,32.0844,25.3826,25.3883
SKQ201810S,KOD5,B,2018-04-19T20:14:35,-150.761,57.7847,87,4,20.59,11,4.7853,4.7833,3.075,3.0755,0.0407,5,2.5345,2.5379,4.5268,2.3842,3.3078,0.044,0.6418,0.1506,96.3059,61.4,311.271,304.333,98.571,96.375,66.16,109.8404,32.0749,32.0823,25.38,25.3861
SKQ201810S,KOD5,B,2018-04-19T20:14:42,-150.761,57.7847,87,4,20.42,12,4.7858,4.7841,3.0751,3.0755,0.0407,5,2.5342,2.5397,4.52,2.4077,3.3092,0.0439,0.6406,0.1565,96.1627,64.8,311.065,304.957,98.507,96.574,66.18,109.8405,32.0749,32.082,25.3799,25.3857
SKQ201810S,KOD5,B,2018-04-19T20:16:45,-150.761,57.7847,87,4,10.41,13,4.7975,4.7955,3.0752,3.0757,0.0342,5,2.5414,2.5432,4.5316,2.8713,3.8101,0.0435,0.4839,0.1463,96.4093,189.0,311.825,304.771,98.772,96.538,76.2,109.8419,32.0703,32.0776,25.3751,25.3811
SKQ201810S,KOD5,B,2018-04-19T20:16:58,-150.761,57.7847,87,4,10.52,14,4.7982,4.7964,3.0753,3.0758,0.0332,5,2.541,2.5393,4.5243,2.8671,3.7899,0.0438,0.46,0.1527,96.255,187.0,311.616,303.945,98.707,96.279,75.8,109.8421,32.0702,32.0775,25.3749,25.3808
SKQ201810S,KOD5,B,2018-04-19T20:17:15,-150.761,57.7847,87,4,8.59,15,4.7966,4.7947,3.0751,3.0756,0.0328,5,2.5385,2.5434,4.5257,2.9424,3.8966,0.0434,0.4516,0.1515,96.2841,223.0,311.102,304.817,98.541,96.551,77.93,109.8423,32.0707,32.078,25.3755,25.3815
SKQ201810S,KOD5,B,2018-04-19T20:18:41,-150.761,57.7847,87,4,4.97,16,4.8066,4.8046,3.0757,3.0761,0.0221,5,2.5382,2.5449,4.531,3.1825,4.0842,0.0437,0.1951,0.1467,96.3976,388.0,310.722,304.652,98.444,96.521,81.68,109.8432,32.0695,32.0765,25.3734,25.3792
SKQ201810S,KOD5,B,2018-04-19T20:18:48,-150.761,57.7847,87,4,5.34,17,4.8078,4.8058,3.0758,3.0762,0.0213,5,2.5397,2.5441,4.5293,3.1345,4.0992,0.0433,0.1754,0.1483,96.3605,348.0,311.213,304.428,98.602,96.453,81.98,109.8433,32.0694,32.0765,25.3732,25.3791
SKQ201810S,KOD4,B,2018-04-19T23:08:06,-150.9705,57.9005,77,5,73.44,1,4.7884,4.7864,3.0845,3.0847,0.0474,5,2.4737,2.4903,4.4193,0.2627,0.5637,0.0436,0.8027,0.2468,94.0188,0.108,303.639,299.106,96.219,94.781,11.27,109.9583,32.1551,32.1592,25.4433,25.4467
SKQ201810S,KOD4,B,2018-04-19T23:10:21,-150.9705,57.9005,77,5,51.27,2,4.7899,4.788,3.0836,3.0838,0.0508,5,2.4839,2.5018,4.4425,0.7629,1.3698,0.044,0.8828,0.2257,94.5141,1.12,304.428,300.04,96.471,95.08,27.4,109.9599,32.1537,32.1577,25.442,25.4453
SKQ201810S,KOD4,B,2018-04-19T23:12:12,-150.9705,57.9005,77,5,40.58,3,4.7747,4.7742,3.0793,3.0797,0.0648,5,2.5155,2.5378,4.4533,1.1675,1.9137,0.0443,1.2189,0.216,94.7431,3.39,308.785,305.333,97.795,96.705,38.27,109.9611,32.124,32.13,25.4201,25.4249
SKQ201810S,KOD4,B,2018-04-19T23:14:04,-150.9705,57.9005,77,5,30.3,4,4.8068,4.8056,3.079,3.0792,0.0899,5,2.5719,2.5928,4.45,1.6161,2.4367,0.0441,1.8223,0.2189,94.6742,10.2,316.818,312.702,100.394,99.09,48.73,109.9624,32.0945,32.0986,25.3932,25.3966
SKQ201810S,KOD4,B,2018-04-19T23:16:32,-150.9705,57.9005,77,5,20.48,5,4.871,4.8696,3.0838,3.0841,0.1096,5,2.6087,2.6307,4.4194,2.0789,2.9429,0.0443,2.2942,0.2466,94.0209,30.2,321.701,317.739,102.097,100.84,58.86,109.9642,32.0937,32.0978,25.3857,25.3891
SKQ201810S,KOD4,B,2018-04-19T23:18:46,-150.9705,57.9005,77,5,10.42,6,4.866,4.8647,3.0818,3.082,0.0861,5,2.5957,2.6128,4.4521,2.653,3.4552,0.0436,1.7314,0.2172,94.7166,114.0,319.917,314.543,101.508,99.803,69.11,109.9657,32.0796,32.0837,25.3751,25.3785
SKQ201810S,KOD4,B,2018-04-19T23:21:32,-150.9705,57.9005,77,5,3.93,7,4.8676,4.8658,3.0813,3.0815,0.0473,5,2.5913,2.6059,4.4632,3.1119,3.8001,0.0436,0.7997,0.2071,94.9536,330.0,318.426,313.08,101.036,99.339,76.0,109.9676,32.0763,32.0802,25.3723,25.3756
SKQ201810S,KOD3,B,2018-04-20T01:34:53,-151.1783,58.018,85,6,80.19,1,4.736,4.7339,3.0743,3.0745,0.0399,5,2.5211,2.529,4.4875,0.3694,0.5323,0.0408,0.6226,0.1853,95.4723,0.238,311.845,305.869,98.644,96.751,10.65,110.0635,32.0848,32.0884,25.393,25.3961
SKQ201810S,KOD3,B,2018-04-20T01:36:50,-151.1783,58.018,85,6,50.32,2,4.7374,4.7356,3.073,3.0731,0.0414,5,2.5262,2.5376,4.4952,1.1416,1.7389,0.0425,0.6573,0.1786,95.634,3.17,311.427,305.753,98.514,96.717,34.78,110.0648,32.0826,32.0861,25.3911,25.3942
SKQ201810S,KOD3,B,2018-04-20T01:38:22,-151.1783,58.018,85,6,40.72,3,4.7439,4.742,3.0728,3.073,0.0389,5,2.5299,2.5434,4.4997,1.4839,2.22,0.043,0.5981,0.1745,95.7305,7.41,311.672,306.357,98.604,96.921,44.4,110.0659,32.0795,32.0831,25.388,25.3911
SKQ201810S,KOD3,B,2018-04-20T01:39:48,-151.1783,58.018,85,6,30.22,4,4.7482,4.7464,3.0725,3.0727,0.041,5,2.5341,2.5459,4.4967,1.8558,2.7398,0.0431,0.6483,0.1772,95.6669,17.9,311.899,306.28,98.684,96.905,54.8,110.0669,32.077,32.0806,25.3856,25.3886
SKQ201810S,KOD3,B,2018-04-20T01:41:35,-151.1783,58.018,85,6,20.5,5,4.749,4.7472,3.072,3.0722,0.0429,5,2.5336,2.5488,4.497,2.2301,3.2326,0.0436,0.6938,0.1769,95.6738,43.0,311.124,306.397,98.44,96.943,64.65,110.0681,32.0754,32.079,25.3842,25.3873
SKQ201810S,KOD3,B,2018-04-20T01:43:37,-151.1783,58.018,85,6,10.12,6,4.7889,4.7867,3.0749,3.075,0.0412,5,2.5447,2.5563,4.497,2.6783,3.7267,0.0429,0.6519,0.177,95.6727,121.0,312.281,306.731,98.9,97.139,74.53,110.0695,32.0748,32.0783,25.3796,25.3826
SKQ201810S,KOD3,B,2018-04-20T01:45:10,-151.1783,58.018,85,6,3.83,7,4.7781,4.7792,3.0737,3.0741,0.0263,5,2.5435,2.5577,4.4933,3.063,4.0681,0.0432,0.2949,0.1802,95.5948,295.0,311.733,306.83,98.701,97.153,81.36,110.0706,32.075,32.0781,25.3808,25.3832
SKQ201810S,KOD2,B,2018-04-20T03:32:16,-151.382,58.1298,127,7,123.16,1,4.4844,4.4825,3.0572,3.0573,0.0227,5,2.4699,2.4755,4.3575,0.127,0.2496,0.0445,0.2094,0.303,92.7053,0.0,307.663,301.613,96.753,94.848,4.99,110.1421,32.1086,32.112,25.4382,25.4411
SKQ201810S,KOD2,B,2018-04-20T03:34:14,-151.382,58.1298,127,7,100.88,2,4.4826,4.4807,3.0561,3.0562,0.0229,5,2.4753,2.4815,4.3692,0.1368,1.3526,0.045,0.2136,0.2923,92.9545,0.0,307.641,301.364,96.742,94.766,27.05,110.1435,32.1083,32.1118,25.4382,25.4411
SKQ201810S,KOD2,B,2018-04-20T03:36:00,-151.382,58.1298,127,7,76.15,3,4.4817,4.4802,3.0549,3.055,0.0251,5,2.4834,2.49,4.3804,0.2339,2.5846,0.0449,0.268,0.2821,93.1921,0.0785,307.776,301.92,96.781,94.939,51.69,110.1447,32.1077,32.1111,25.4378,25.4406
SKQ201810S,KOD2,B,2018-04-20T03:38:13,-151.382,58.1298,127,7,50.14,4,4.5008,4.4974,3.055,3.055,0.0296,5,2.4966,2.5054,4.4515,0.7212,3.8811,0.0442,0.3745,0.2177,94.7044,0.984,308.795,303.329,97.144,95.419,77.62,110.1462,32.1039,32.1076,25.4328,25.4361
SKQ201810S,KOD2,B,2018-04-20T03:39:30,-151.382,58.1298,127,7,41.0,5,4.6448,4.6482,3.0647,3.0653,0.0418,5,2.5319,2.5437,4.5215,0.972,4.3266,0.0441,0.6687,0.1552,96.194,2.03,312.903,307.36,98.76,97.021,86.53,110.1471,32.0814,32.0845,25.4,25.4021
SKQ201810S,KOD2,B,2018-04-20T03:41:08,-151.382,58.1298,127,7,30.6,6,4.6791,4.6772,3.0668,3.067,0.0464,5,2.5421,2.555,4.5045,1.3081,4.8485,0.0434,0.7788,0.1703,95.8323,4.82,313.652,308.459,99.075,97.433,96.97,110.1482,32.0778,32.0813,25.3935,25.3965
SKQ201810S,KOD2,B,2018-04-20T03:42:33,-151.382,58.1298,127,7,20.11,7,4.7047,4.7033,3.0683,3.0685,0.0517,5,2.5522,2.5627,4.4924,1.705,4.9604,0.0425,0.9044,0.181,95.5757,12.6,314.623,309.041,99.441,97.676,99.21,110.1492,32.0755,32.0789,25.389,25.3918
SKQ201810S,KOD2,B,2018-04-20T03:43:50,-151.382,58.1298,127,7,10.24,8,4.8587,4.8561,3.0798,3.08,0.0504,5,2.563,2.5751,4.4864,2.1327,4.9919,0.0425,0.8745,0.1864,95.4479,34.3,314.529,309.033,99.769,98.024,99.84,110.1501,32.064,32.0685,25.3635,25.3674
SKQ201810S,KOD2,B,2018-04-20T03:44:59,-151.382,58.1298,127,7,3.71,9,4.8681,4.8666,3.0804,3.0806,0.0439,5,2.5678,2.5759,4.4821,2.5296,1.0935,0.0445,0.7159,0.1902,95.3562,86.0,315.212,308.569,100.01,97.901,21.87,110.1509,32.065,32.0686,25.3633,25.3663
SKQ201810S,KOD1,B,2018-04-20T05:50:21,-151.5885,58.2322,70,8,65.66,1,5.0318,5.0299,3.1093,3.1096,0.0457,5,2.4465,2.4526,4.3868,0.127,0.2393,0.0417,0.7608,0.2762,93.3283,0.0,297.069,291.224,94.723,92.858,4.79,110.2384,32.2083,32.2135,25.4591,25.4633
SKQ201810S,KOD1,B,2018-04-20T05:51:45,-151.5885,58.2322,70,8,50.86,2,5.0295,5.0275,3.1083,3.1084,0.0464,5,2.454,2.4598,4.4028,0.1272,0.9618,0.0428,0.7781,0.2616,93.6693,0.0,297.969,291.812,95.003,93.038,19.24,110.2394,32.2066,32.2098,25.4579,25.4607
SKQ201810S,KOD1,B,2018-04-20T05:52:45,-151.5885,58.2322,70,8,40.16,3,5.0284,5.0264,3.1076,3.1076,0.0455,5,2.4563,2.4659,4.4028,0.1294,1.4595,0.0428,0.7548,0.2616,93.6693,0.0,297.925,292.495,94.985,93.252,29.19,110.2401,32.2042,32.2072,25.4561,25.4587
SKQ201810S,KOD1,B,2018-04-20T05:53:45,-151.5885,58.2322,70,8,30.43,4,5.0271,5.0251,3.1069,3.107,0.0508,5,2.4579,2.4681,4.4073,0.1343,1.9475,0.0431,0.8816,0.2575,93.7648,0.0,297.535,292.405,94.857,93.219,38.95,110.2408,32.2024,32.206,25.4549,25.458
SKQ201810S,KOD1,B,2018-04-20T05:54:50,-151.5885,58.2322,70,8,20.68,5,5.0273,5.0252,3.1065,3.1067,0.0463,5,2.4576,2.4714,4.4027,0.1471,2.4097,0.0429,0.7752,0.2617,93.6672,0.0001,296.897,292.5,94.654,93.25,48.2,110.2415,32.2033,32.2067,25.4556,25.4585
SKQ201810S,KOD1,B,2018-04-20T05:56:08,-151.5885,58.2322,70,8,10.02,6,5.0289,5.0273,3.1069,3.1071,0.0501,5,2.4567,2.4665,4.4193,0.2011,2.9508,0.0423,0.8661,0.2467,94.0198,0.0466,296.608,291.496,94.571,92.94,59.01,110.2424,32.2114,32.2148,25.4618,25.4647
SKQ201810S,KOD1,B,2018-04-20T05:57:01,-151.5885,58.2322,70,8,4.49,7,5.029,5.0271,3.1068,3.1069,0.0409,5,2.4584,2.465,4.4115,0.3633,3.2549,0.0422,0.6442,0.2537,93.8544,0.23,296.67,290.749,94.592,92.702,65.1,110.243,32.2122,32.2152,25.4624,25.4651
SKQ201810S,KOD6,B,2018-04-20T15:54:43,-150.5482,57.6705,101,9,98.38,1,5.3755,5.3736,3.1722,3.1723,0.0983,5,2.4201,2.4238,4.3851,0.1272,0.8953,0.0385,2.0239,0.2778,93.2912,0.0,291.021,284.99,93.811,91.864,17.91,110.6594,32.5774,32.5803,25.7127,25.7152
