Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202006S,RES2.5,B,2020-05-04T15:15:19,-149.3582,60.025,292,1,291.03,1,6.0036,6.0021,3.3016,3.3019,0.016,2.9972,1.4017,1.5749,3.9217,0.1257,0.2179,0.048,0.7134,83.6645,0.0,139.07,139.635,45.749,45.935,4.36,23.7294,33.3301,33.3349,26.2327,26.2367
SKQ202006S,RES2.5,B,2020-05-04T15:19:12,-149.3582,60.025,292,1,252.24,2,6.0385,6.0379,3.2956,3.2958,0.0135,2.8842,1.4831,1.6741,4.1862,0.1255,2.1318,-0.0107,0.4523,89.3078,0.0,150.87,151.005,49.641,49.686,42.64,22.8129,33.2469,33.2504,26.1627,26.1655
SKQ202006S,RES2.5,B,2020-05-04T15:21:24,-149.3582,60.025,292,1,202.16,3,6.0285,6.0282,3.2812,3.2815,0.015,2.8091,1.5609,1.7699,4.2403,0.1255,4.6143,0.0246,0.401,90.4612,0.0,161.996,161.828,53.239,53.185,92.29,22.2038,33.1206,33.1241,26.0642,26.0669
SKQ202006S,RES2.5,B,2020-05-04T15:23:29,-149.3582,60.025,292,1,151.58,4,5.5978,5.5973,3.1753,3.1756,0.0134,2.2768,2.0888,2.4154,4.4315,0.1249,1.7136,-0.0137,0.2244,94.5433,0.0,245.509,247.069,79.434,79.94,34.27,17.8866,32.3718,32.3757,25.5243,25.5274
SKQ202006S,RES2.5,B,2020-05-04T15:26:03,-149.3582,60.025,292,1,125.82,5,5.3305,5.3316,3.136,3.1365,0.0144,2.0319,2.1882,2.527,4.4525,0.1245,2.9966,0.0084,0.2055,94.9904,0.0,262.47,260.908,84.278,83.781,59.93,15.9007,32.196,32.2002,25.416,25.4192
SKQ202006S,RES2.5,B,2020-05-04T15:28:00,-149.3582,60.025,292,1,101.08,6,4.9645,4.9773,3.0874,3.088,0.0154,2.0126,2.2478,2.5983,4.45,0.1245,5.0,0.0348,0.2078,94.9378,0.0,273.617,272.665,86.973,86.693,100.0,15.7441,32.0047,31.999,25.3051,25.2992
SKQ202006S,RES2.5,B,2020-05-04T15:30:11,-149.3582,60.025,292,1,75.82,7,4.574,4.5357,3.0412,3.0373,0.0171,1.8371,2.3131,2.6771,4.4711,0.1259,5.0,0.0743,0.1889,95.3877,0.0,286.617,284.306,90.16,89.346,100.0,14.3205,31.8596,31.8518,25.2314,25.2292
SKQ202006S,RES2.5,B,2020-05-04T15:32:21,-149.3582,60.025,292,1,50.31,8,4.2996,4.2998,3.0057,3.006,0.0453,1.4636,2.4006,2.7878,4.4864,0.1404,5.0,0.7524,0.1753,95.7126,0.0,301.629,300.876,94.162,93.93,100.0,11.2923,31.7245,31.7283,25.152,25.155
SKQ202006S,RES2.5,B,2020-05-04T15:35:02,-149.3582,60.025,292,1,40.28,9,4.4018,4.4007,3.0123,3.0125,0.0951,1.2829,2.4715,2.883,4.3802,0.1734,5.0,1.9461,0.2711,93.4484,0.0216,311.488,312.946,97.468,97.924,100.0,9.8263,31.7082,31.7116,25.1289,25.1317
SKQ202006S,RES2.5,B,2020-05-04T15:36:45,-149.3582,60.025,292,1,30.3,10,4.4647,4.4646,3.0157,3.016,0.0888,1.2537,2.5305,2.9551,4.2573,0.3076,5.0,1.7948,0.3849,90.8259,0.159,319.928,319.584,100.249,100.143,100.0,9.5891,31.6925,31.6958,25.11,25.1127
