Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,Temperature_[C],Temperature2_[C],Conductivity_[S/m],Conductivity2_[S/m],Voltage0_[V],Voltage1_[V],Voltage2_[V],Voltage3_[V],Voltage4_[V],Voltage5_[V],Voltage6_[V],Fluorescence_[mg/m3],BeamAttenuation_[1/m],BeamTransmission_[%],PAR_[umol_photons/m2/sec],Oxygen_[umol/kg],Oxygen2_[umol/kg],OxygenPS_[%_saturation],OxygenPS2_[%_saturation],Altimeter_[m],SUNA,Salinity_[psu],Salinity2_[psu],Density_[kg/m3_sigmat],Density2_[kg/m3_sigmat]
SKQ202006S,RES2.5,B,2020-05-04T15:38:36,-149.3582,60.025,292,1,20.16,11,4.6155,4.6139,3.0265,3.0266,0.2408,0.9017,2.6511,3.0914,4.1134,0.8141,5.0,5.4441,0.5225,87.7541,1.3,337.434,336.436,106.107,105.791,100.0,6.735,31.6775,31.6807,25.0827,25.0854
SKQ202006S,RES2.5,B,2020-05-04T15:40:25,-149.3582,60.025,292,1,9.9,12,5.4547,5.5194,3.0877,3.0865,0.0637,0.7294,3.1242,3.7169,4.0662,1.6847,4.9977,1.1938,0.5699,86.7481,12.0,403.552,408.155,129.37,130.974,99.95,5.3377,31.5866,31.5115,24.9198,24.8531
SKQ202006S,RES2.5,B,2020-05-04T15:42:21,-149.3582,60.025,292,1,3.16,13,6.6513,6.6694,3.1402,3.1414,0.0735,0.5461,3.1413,3.6796,4.2642,2.1203,5.0,1.4288,0.3784,90.9738,33.3,393.616,391.447,129.268,128.607,100.0,3.8512,31.0673,31.0648,24.3669,24.3626
SKQ202006S,RES2.5,B,2020-05-04T15:42:30,-149.3582,60.025,292,1,3.17,14,6.7405,6.727,3.1401,3.141,0.0614,0.4337,3.1099,3.6335,4.2438,2.1178,5.0,1.1364,0.3978,90.5377,33.1,386.662,383.562,127.17,126.132,100.0,2.9395,30.9856,31.0077,24.2913,24.3104
SKQ202006S,GAK1,B,2020-05-04T18:18:20,-149.4702,59.8447,270,2,267.09,1,5.8734,5.8727,3.3102,3.3105,0.0148,3.1992,1.2095,1.3478,3.7385,0.1257,0.2748,0.0186,0.9049,79.7552,0.0,109.091,110.128,35.841,36.183,5.5,25.3677,33.5669,33.5707,26.4359,26.439
SKQ202006S,GAK1,B,2020-05-04T18:18:40,-149.4702,59.8447,270,2,268.55,2,5.8735,5.8727,3.3104,3.3107,0.0148,3.1872,1.2092,1.3484,3.7133,0.1258,0.2063,0.0174,0.9322,79.2171,0.0,109.223,110.234,35.885,36.218,4.13,25.2701,33.5676,33.5717,26.4365,26.4398
SKQ202006S,GAK1,B,2020-05-04T18:22:07,-149.4702,59.8447,270,2,253.54,3,5.8815,5.8808,3.3084,3.3087,0.0135,3.1615,1.2605,1.4124,4.141,0.1252,0.9397,-0.0119,0.4957,88.3449,0.0,116.761,118.207,38.363,38.838,18.79,25.0615,33.5453,33.549,26.4179,26.4209
SKQ202006S,GAK1,B,2020-05-04T18:22:16,-149.4702,59.8447,270,2,253.82,4,5.8814,5.8808,3.3085,3.3087,0.0136,3.1809,1.2606,1.4122,4.1411,0.1253,1.2166,-0.0095,0.4957,88.3454,0.0,116.929,118.202,38.417,38.836,24.33,25.2194,33.5455,33.5491,26.4181,26.421
SKQ202006S,GAK1,B,2020-05-04T18:25:56,-149.4702,59.8447,270,2,203.21,5,6.0062,6.0055,3.3037,3.3039,0.0123,3.0688,1.409,1.5916,4.2498,0.1246,3.4376,-0.0412,0.392,90.6653,0.0,138.556,139.679,45.604,45.974,68.75,24.3102,33.3938,33.3971,26.2827,26.2854
SKQ202006S,GAK1,B,2020-05-04T18:26:04,-149.4702,59.8447,270,2,203.22,6,6.0063,6.0057,3.3037,3.3039,0.0129,3.0614,1.41,1.5925,4.2499,0.1246,3.4315,-0.0251,0.3919,90.6664,0.0,138.878,139.438,45.71,45.895,68.63,24.2497,33.3934,33.3968,26.2824,26.2851
SKQ202006S,GAK1,B,2020-05-04T18:29:24,-149.4702,59.8447,270,2,152.59,7,5.2963,5.2952,3.1458,3.146,0.0122,1.9325,2.2695,2.64,4.515,0.1245,5.0,-0.0424,0.1498,96.3246,0.0,275.782,276.757,88.567,88.88,100.0,15.0945,32.3267,32.3301,25.5233,25.5261
SKQ202006S,GAK1,B,2020-05-04T18:29:34,-149.4702,59.8447,270,2,152.13,8,5.2959,5.2952,3.1457,3.146,0.0135,1.915,2.2706,2.6438,4.517,0.1245,5.0,-0.0119,0.148,96.3666,0.0,276.072,277.828,88.659,89.224,100.0,14.9525,32.3266,32.33,25.5232,25.526
SKQ202006S,GAK1,B,2020-05-04T18:31:43,-149.4702,59.8447,270,2,127.01,9,5.2305,5.2293,3.1294,3.1296,0.0139,1.7223,2.3515,2.7367,4.5386,0.1245,4.2976,-0.0017,0.1289,96.8281,0.0,288.34,287.875,92.379,92.23,85.95,13.3895,32.216,32.2196,25.4431,25.4461
SKQ202006S,GAK1,B,2020-05-04T18:34:02,-149.4702,59.8447,270,2,101.45,10,5.1658,5.1571,3.1143,3.114,0.0147,1.5681,2.4269,2.8322,4.5326,0.1253,4.8595,0.0162,0.1343,96.6994,0.0,300.753,302.377,96.139,96.641,97.19,12.1394,32.1192,32.1232,25.3737,25.3778
SKQ202006S,GAK1,B,2020-05-04T18:34:09,-149.4702,59.8447,270,2,101.28,11,5.1481,5.13,3.1129,3.1117,0.0159,1.5248,2.4165,2.8074,4.5365,0.125,4.3921,0.0462,0.1309,96.7819,0.0,297.838,297.787,95.167,95.113,87.84,11.7884,32.1194,32.1237,25.3758,25.3812
SKQ202006S,GAK1,B,2020-05-04T18:36:23,-149.4702,59.8447,270,2,75.11,12,5.306,5.3143,3.111,3.112,0.0135,1.2039,2.5989,3.0438,4.573,0.1319,5.0,-0.0107,0.0988,97.5614,0.0,324.83,325.976,104.058,104.448,100.0,9.1859,31.9598,31.963,25.2318,25.2334
SKQ202006S,GAK1,B,2020-05-04T18:38:25,-149.4702,59.8447,270,2,50.41,13,4.9632,4.9628,3.0703,3.0706,0.0153,1.2825,2.5018,2.9182,4.5609,0.1759,4.9999,0.0312,0.1093,97.3045,0.0238,311.753,311.634,98.966,98.93,100.0,9.8235,31.8351,31.8386,25.1708,25.1737
SKQ202006S,GAK1,B,2020-05-04T18:38:31,-149.4702,59.8447,270,2,50.01,14,4.9678,4.9705,3.0706,3.0712,0.0153,1.316,2.5027,2.925,4.5578,0.1765,5.0,0.0306,0.1121,97.237,0.0244,311.925,313.435,99.031,99.52,100.0,10.0943,31.8344,31.8386,25.1698,25.1728
SKQ202006S,GAK1,B,2020-05-04T18:40:36,-149.4702,59.8447,270,2,40.54,15,4.8558,4.8557,3.0566,3.0569,0.0147,1.2498,2.4943,2.9175,4.56,0.2693,5.0,0.0156,0.1101,97.2854,0.116,311.388,312.54,98.56,98.928,100.0,9.5581,31.7845,31.7882,25.1423,25.1453
SKQ202006S,GAK1,B,2020-05-04T18:40:44,-149.4702,59.8447,270,2,40.34,16,4.8535,4.8531,3.0565,3.0568,0.015,1.2325,2.4967,2.9187,4.567,0.2722,5.0,0.024,0.1039,97.4348,0.119,311.522,312.498,98.598,98.909,100.0,9.4179,31.7858,31.7895,25.1435,25.1465
SKQ202006S,GAK1,B,2020-05-04T18:42:47,-149.4702,59.8447,270,2,30.86,17,5.1452,5.1451,3.0777,3.078,0.0237,1.0654,2.5864,3.0172,4.5475,0.3924,4.8168,0.2322,0.1211,97.0179,0.271,322.769,321.955,102.847,102.59,96.34,8.0627,31.7554,31.7593,25.0879,25.091
SKQ202006S,GAK1,B,2020-05-04T18:42:58,-149.4702,59.8447,270,2,31.22,18,5.1652,5.1722,3.0797,3.0808,0.0236,1.0882,2.5861,3.0211,4.5474,0.3925,5.0,0.231,0.1212,97.0158,0.271,322.956,323.582,102.959,103.179,100.0,8.2468,31.7593,31.765,25.0888,25.0925
SKQ202006S,GAK1,B,2020-05-04T18:44:52,-149.4702,59.8447,270,2,20.33,19,6.0544,6.0216,3.1405,3.1381,0.2542,0.552,3.0483,3.5821,3.9101,0.9056,4.9995,5.7658,0.7254,83.4157,1.69,384.438,384.296,125.017,124.878,99.99,3.8989,31.6123,31.6155,24.8701,24.8766
SKQ202006S,GAK1,B,2020-05-04T18:45:05,-149.4702,59.8447,270,2,20.12,20,6.0184,5.9935,3.1371,3.1357,0.2727,0.5034,3.0587,3.6015,3.9355,0.8914,4.9997,6.2077,0.6996,83.958,1.63,387.888,390.094,126.028,126.679,100.0,3.5048,31.608,31.6158,24.871,24.8801
SKQ202006S,GAK1,B,2020-05-04T18:47:32,-149.4702,59.8447,270,2,10.26,21,6.7138,6.7183,3.1577,3.1578,0.1126,0.4376,3.0189,3.5385,4.1615,1.6898,4.9212,2.366,0.476,88.7809,12.1,374.278,372.923,123.215,122.778,98.43,2.9707,31.1988,31.1957,24.4626,24.4596
SKQ202006S,GAK1,B,2020-05-04T18:48:10,-149.4702,59.8447,270,2,10.3,22,6.6426,6.6371,3.1601,3.1605,0.1366,0.4809,3.0169,3.5471,4.13,1.6772,4.8103,2.9425,0.5064,88.1093,11.8,375.13,376.568,123.375,123.841,96.21,3.3223,31.2904,31.2997,24.5437,24.5518
SKQ202006S,GAK1,B,2020-05-04T18:50:04,-149.4702,59.8447,270,2,3.09,23,6.7564,6.7558,3.1554,3.1557,0.0955,0.5027,3.0058,3.5356,4.1781,2.2979,3.9591,1.9551,0.4601,89.1355,50.3,371.493,372.677,122.364,122.755,79.18,3.4991,31.1387,31.1422,24.4098,24.4126
SKQ202006S,GAK1,B,2020-05-04T18:50:11,-149.4702,59.8447,270,2,3.45,24,6.7518,6.7497,3.1556,3.156,0.0825,0.5251,3.0085,3.531,4.1864,2.2648,2.9234,1.6447,0.4521,89.3121,46.7,372.709,373.028,122.757,122.861,58.47,3.6806,31.1449,31.1506,24.4153,24.42
SKQ202006S,GAK8,B,2020-05-05T17:09:37,-148.4902,58.8093,289,4,287.05,1,4.6905,4.6894,3.2379,3.2381,0.013,3.9608,0.8709,0.9343,4.391,0.1243,0.2387,-0.0233,0.2612,93.6792,0.0,58.559,59.302,18.759,18.997,4.77,31.5441,33.9195,33.9234,26.8533,26.8565
SKQ202006S,GAK8,B,2020-05-05T17:11:59,-148.4902,58.8093,289,4,253.62,2,4.869,4.8666,3.2492,3.2493,0.0122,3.8948,0.9388,1.0173,4.4908,0.1233,1.9108,-0.0424,0.1713,95.8077,0.0,68.825,69.755,22.136,22.435,38.22,31.0088,33.8855,33.8898,26.8065,26.8102
SKQ202006S,GAK8,B,2020-05-05T17:15:01,-148.4902,58.8093,289,4,203.37,3,5.3874,5.3865,3.2867,3.2869,0.0127,3.5913,1.0849,1.1928,4.552,0.1233,4.4241,-0.0304,0.1172,97.1131,0.0,90.242,90.435,29.368,29.431,88.48,28.5478,33.8176,33.8212,26.6929,26.6959
SKQ202006S,GAK8,B,2020-05-05T17:17:56,-148.4902,58.8093,289,4,151.28,4,6.136,6.1354,3.3363,3.3366,0.0122,3.2558,1.2615,1.4094,4.5676,0.1234,4.4452,-0.043,0.1035,97.4465,0.0,114.519,115.582,37.88,38.233,88.9,25.8268,33.6567,33.6608,26.4741,26.4774
SKQ202006S,GAK8,B,2020-05-05T17:20:21,-148.4902,58.8093,289,4,127.76,5,6.1089,6.1081,3.3199,3.3202,0.0122,3.1135,1.3617,1.5311,4.5613,0.1243,4.3475,-0.0424,0.109,97.3115,0.0,129.601,130.069,42.796,42.951,86.95,24.6727,33.5115,33.5152,26.3629,26.3659
SKQ202006S,GAK8,B,2020-05-05T17:22:31,-148.4902,58.8093,289,4,100.73,6,5.8958,5.8953,3.2729,3.2732,0.0129,2.8048,1.6005,1.8203,4.5582,0.1245,5.0,-0.0257,0.1117,97.2466,0.0,166.91,167.577,54.72,54.94,100.0,22.1692,33.2069,33.2114,26.1487,26.1523
SKQ202006S,GAK8,B,2020-05-05T17:24:47,-148.4902,58.8093,289,4,75.83,7,5.4767,5.4757,3.1944,3.1946,0.0147,2.2263,2.0314,2.3431,4.5633,0.1246,5.0,0.0156,0.1072,97.3551,0.0,234.2,233.774,75.768,75.63,100.0,17.4778,32.7422,32.7455,25.8314,25.8341
SKQ202006S,GAK8,B,2020-05-05T17:27:41,-148.4902,58.8093,289,4,52.58,8,5.1922,5.1903,3.1427,3.1427,0.0742,1.8674,2.3272,2.6993,4.4762,0.1324,5.0,1.4443,0.1843,95.4972,0.0,281.729,281.143,90.331,90.14,100.0,14.5667,32.4411,32.4431,25.6256,25.6274
SKQ202006S,GAK8,B,2020-05-05T17:29:36,-148.4902,58.8093,289,4,40.9,9,5.1964,5.1954,3.1353,3.1355,0.215,1.584,2.448,2.8426,4.1945,0.1715,5.0,4.8245,0.4444,89.4854,0.0199,300.161,298.517,96.191,95.665,100.0,12.2685,32.3587,32.3621,25.5599,25.5627
SKQ202006S,GAK8,B,2020-05-05T17:31:32,-148.4902,58.8093,289,4,30.84,10,5.8681,5.8604,3.1834,3.1831,0.7135,0.95,2.7228,3.1801,3.6889,0.3393,4.9988,16.7889,0.9583,78.6965,0.199,335.541,335.306,109.166,109.073,99.98,7.1268,32.2621,32.2663,25.4056,25.4098
SKQ202006S,GAK8,B,2020-05-05T17:33:21,-148.4902,58.8093,289,4,20.85,11,6.2894,6.2895,3.2146,3.2149,1.1313,0.6494,2.9229,3.421,3.2944,0.9526,4.9983,26.8145,1.4108,70.2787,1.93,362.16,361.641,118.947,118.78,99.97,4.6886,32.2149,32.2183,25.3169,25.3195
SKQ202006S,GAK8,B,2020-05-05T17:35:11,-148.4902,58.8093,289,4,10.27,12,6.2787,6.2768,3.2133,3.2134,1.0957,0.6376,2.9246,3.4224,3.2899,2.064,4.9979,25.9611,1.4163,70.1824,29.2,361.277,360.723,118.628,118.443,99.96,4.5924,32.2154,32.2182,25.3186,25.321
SKQ202006S,GAK8,B,2020-05-05T17:36:58,-148.4902,58.8093,289,4,3.33,13,6.2972,6.2969,3.2145,3.2148,0.813,0.6195,2.9339,3.4288,3.2591,3.2673,4.9975,19.1751,1.454,69.5247,482.0,362.986,361.501,119.24,118.754,99.95,4.4461,32.2152,32.2183,25.3161,25.3186
SKQ202006S,GAK8,B,2020-05-05T17:37:10,-148.4902,58.8093,289,4,3.58,14,6.2962,6.2947,3.2145,3.2146,0.8194,0.6555,2.9343,3.4257,3.2644,3.1711,4.9976,19.3288,1.4475,69.6369,379.0,363.197,361.536,119.307,118.76,99.95,4.7383,32.2153,32.2184,25.3163,25.319
SKQ202006S,GAK9,B,2020-05-05T20:08:56,-148.3478,58.6808,279,5,274.37,1,4.7091,4.708,3.2386,3.2388,0.0129,4.0348,0.8827,0.9496,4.3119,0.1245,0.3901,-0.0251,0.334,91.9893,0.0,60.337,61.271,19.337,19.636,7.8,32.1443,33.9148,33.9184,26.8476,26.8505
SKQ202006S,GAK9,B,2020-05-05T20:09:04,-148.3478,58.6808,279,5,273.76,2,4.7095,4.7083,3.2386,3.2388,0.014,3.9671,0.883,0.9497,4.3094,0.1245,0.3594,0.0007,0.3363,91.9372,0.0,60.375,61.241,19.349,19.627,7.19,31.5948,33.9147,33.9184,26.8475,26.8505
SKQ202006S,GAK9,B,2020-05-05T20:11:44,-148.3478,58.6808,279,5,252.35,3,4.7581,4.7569,3.2409,3.2411,0.013,3.9622,0.9042,0.9762,4.4145,0.1236,1.4334,-0.0233,0.2399,94.179,0.0,63.638,64.798,20.417,20.789,28.67,31.5558,33.903,33.9065,26.8328,26.8356
SKQ202006S,GAK9,B,2020-05-05T20:14:51,-148.3478,58.6808,279,5,202.83,4,5.2864,5.2859,3.2786,3.2789,0.0122,3.6802,1.0683,1.176,4.5562,0.1233,3.9344,-0.0418,0.1134,97.2041,0.0,87.931,88.877,28.55,28.857,78.69,29.2686,33.827,33.8305,26.7123,26.7151
SKQ202006S,GAK9,B,2020-05-05T20:18:11,-148.3478,58.6808,279,5,151.83,5,6.0146,6.01,3.3312,3.3312,0.0123,3.3703,1.2249,1.3677,4.5668,0.1263,4.4451,-0.0406,0.1042,97.4295,0.0,110.118,111.497,36.339,36.791,88.9,26.7552,33.7192,33.7246,26.5388,26.5436
SKQ202006S,GAK9,B,2020-05-05T20:20:30,-148.3478,58.6808,279,5,126.41,6,6.0992,6.1131,3.3233,3.326,0.0129,3.2356,1.3391,1.5019,4.5651,0.1334,2.3289,-0.0269,0.1057,97.3928,0.0,127.398,128.25,42.074,42.374,46.58,25.6625,33.5599,33.5759,26.4023,26.4132
SKQ202006S,GAK9,B,2020-05-05T20:23:26,-148.3478,58.6808,279,5,100.07,7,6.0744,6.0737,3.2997,3.2999,0.0135,2.9822,1.4925,1.688,4.5693,0.1769,3.8014,-0.0125,0.1019,97.4832,0.0247,149.202,150.408,49.164,49.562,76.03,23.6077,33.333,33.3357,26.2262,26.2284
SKQ202006S,GAK9,B,2020-05-05T20:26:07,-148.3478,58.6808,279,5,76.87,8,5.6626,5.6672,3.2249,3.226,0.0148,2.3139,1.9442,2.2417,4.5628,0.3453,4.8697,0.0186,0.1077,97.3434,0.206,220.488,221.517,71.731,72.078,97.39,18.1883,32.9061,32.9139,25.9391,25.9447
SKQ202006S,GAK9,B,2020-05-05T20:28:30,-148.3478,58.6808,279,5,51.04,9,5.2477,5.2497,3.1574,3.1579,0.0274,1.9731,2.2218,2.5748,4.5589,0.7746,4.8415,0.3219,0.1112,97.2604,1.16,264.527,264.928,85.0,85.135,96.83,15.4235,32.5565,32.5604,25.7107,25.7136
SKQ202006S,GAK9,B,2020-05-05T20:30:23,-148.3478,58.6808,279,5,39.91,10,5.1902,5.1895,3.1381,3.1384,0.1779,1.6769,2.4065,2.8003,4.3288,1.1528,4.8384,3.9328,0.3184,92.3504,3.27,293.329,293.645,94.015,94.118,96.77,13.0221,32.3976,32.4014,25.5914,25.5945
SKQ202006S,GAK9,B,2020-05-05T20:32:17,-148.3478,58.6808,279,5,30.24,11,5.6755,5.6747,3.1738,3.174,0.2647,1.2799,2.5885,3.009,4.2531,1.7668,5.0,6.0176,0.3889,90.7361,14.5,317.407,314.97,102.859,102.07,100.0,9.8023,32.3389,32.3418,25.4891,25.4915
SKQ202006S,GAK9,B,2020-05-05T20:34:23,-148.3478,58.6808,279,5,21.13,12,6.1194,6.1243,3.2096,3.2103,0.2402,1.008,2.7028,3.1572,4.2231,2.3601,5.0,5.4279,0.4172,90.0953,58.2,330.432,330.637,108.183,108.264,100.0,7.5971,32.3209,32.3233,25.4215,25.4228
SKQ202006S,GAK9,B,2020-05-05T20:36:45,-148.3478,58.6808,279,5,9.54,13,6.4647,6.4638,3.2393,3.2395,0.0744,0.9026,2.7387,3.1878,4.2805,3.159,5.0,1.4504,0.3632,91.3209,368.0,332.05,329.94,109.593,108.897,100.0,6.742,32.328,32.331,25.384,25.3865
SKQ202006S,GAK9,B,2020-05-05T20:38:57,-148.3478,58.6808,279,5,3.04,14,6.4655,6.465,3.2391,3.2394,0.0426,0.9443,2.7392,3.197,4.314,3.7073,5.0,0.6878,0.3321,92.034,1300.0,332.06,332.637,109.599,109.791,100.0,7.0803,32.3283,32.3313,25.3841,25.3866
SKQ202006S,GAK10,B,2020-05-06T00:20:28,-148.2255,58.5383,1405,8,1442.61,1,2.5728,2.5723,3.1474,3.1476,0.0122,4.1369,0.6019,0.6112,4.5744,0.0,0.4341,-0.043,0.0976,97.5906,0.0,19.389,21.2,5.924,6.477,8.68,32.9719,34.4559,34.4592,27.4886,27.4912
SKQ202006S,GAK10,B,2020-05-06T00:30:32,-148.2255,58.5383,1405,8,1013.25,2,3.341,3.34,3.1832,3.1834,0.0122,4.1369,0.5748,0.5772,4.6007,0.0,5.0,-0.0424,0.0745,98.1537,0.0,13.087,14.519,4.07,4.515,100.0,32.9723,34.2976,34.3009,27.2927,27.2954
SKQ202006S,GAK10,B,2020-05-06T00:37:12,-148.2255,58.5383,1405,8,757.2,3,3.784,3.7833,3.2018,3.202,0.0122,4.1377,0.6048,0.6134,4.5825,0.0,5.0,-0.043,0.0904,97.765,0.0,17.798,19.112,5.59,6.003,100.0,32.9783,34.1877,34.1905,27.1619,27.1642
SKQ202006S,GAK10,B,2020-05-06T00:43:47,-148.2255,58.5383,1405,8,503.45,4,4.3273,4.3266,3.2246,3.2247,0.0122,4.107,0.7167,0.7503,4.5821,0.0,5.0,-0.043,0.0908,97.756,0.0,35.558,36.789,11.302,11.693,100.0,32.7294,34.0247,34.0274,26.9761,26.9784
SKQ202006S,GAK10,B,2020-05-06T00:50:53,-148.2255,58.5383,1405,8,252.49,5,5.1845,5.184,3.2732,3.2734,0.0122,3.8088,1.0272,1.1282,4.5342,0.0,5.0,-0.043,0.1328,96.7345,0.0,82.378,83.585,26.685,27.077,100.0,30.311,33.8426,33.8453,26.7364,26.7386
SKQ202006S,GAK10,B,2020-05-06T00:53:52,-148.2255,58.5383,1405,8,200.75,6,5.4751,5.4749,3.2891,3.2893,0.0135,3.6329,1.1549,1.2848,4.5637,0.0,5.0,-0.0125,0.1069,97.363,0.0,101.156,102.557,32.972,33.43,100.0,28.8848,33.7577,33.7602,26.6351,26.6371
SKQ202006S,GAK10,B,2020-05-06T00:56:48,-148.2255,58.5383,1405,8,149.73,7,5.9666,5.9665,3.2991,3.2991,0.0128,3.1264,1.4237,1.6112,4.5675,0.0,5.0,-0.0281,0.1035,97.4444,0.0,140.689,142.072,46.269,46.723,100.0,24.777,33.4075,33.4075,26.2985,26.2985
SKQ202006S,GAK10,B,2020-05-06T00:58:52,-148.2255,58.5383,1405,8,126.82,8,5.8358,5.8359,3.2602,3.2604,0.0143,2.8313,1.6781,1.9245,4.5679,0.0,5.0,0.0073,0.1032,97.4529,0.0,179.259,181.092,58.644,59.245,100.0,22.3835,33.1096,33.1126,26.0791,26.0815
SKQ202006S,GAK10,B,2020-05-06T01:01:56,-148.2255,58.5383,1405,8,100.9,9,5.6435,5.6425,3.2274,3.2275,0.0146,2.5734,1.8297,2.11,4.563,0.0,5.0,0.0126,0.1075,97.3482,0.0,203.442,205.611,66.173,66.878,100.0,20.2925,32.9405,32.9427,25.9686,25.9704
SKQ202006S,GAK10,B,2020-05-06T01:03:51,-148.2255,58.5383,1405,8,74.87,10,5.1619,5.1642,3.1477,3.1482,0.0168,1.9856,2.2562,2.6328,4.5733,0.0,4.9937,0.0665,0.0984,97.5694,0.0,272.276,274.714,87.287,88.075,99.87,15.525,32.5169,32.5206,25.689,25.6917
SKQ202006S,GAK10,B,2020-05-06T01:05:45,-148.2255,58.5383,1405,8,51.08,11,5.1175,5.1165,3.1318,3.132,0.0402,1.7059,2.4129,2.8217,4.5331,0.0,5.0,0.6286,0.1338,96.7106,0.0,294.879,296.999,94.345,95.022,100.0,13.2568,32.3906,32.3932,25.594,25.5962
SKQ202006S,GAK10,B,2020-05-06T01:06:59,-148.2255,58.5383,1405,8,39.81,12,5.2142,5.2149,3.1378,3.138,0.0976,1.6003,2.4452,2.8518,4.4324,0.0,5.0,2.0065,0.2236,94.5629,0.0,299.457,300.447,96.015,96.335,100.0,12.4001,32.3713,32.3728,25.5678,25.569
SKQ202006S,GAK10,B,2020-05-06T01:08:38,-148.2255,58.5383,1405,8,27.0,13,6.2749,6.2951,3.2142,3.2155,0.5804,0.918,2.7361,3.2042,3.9139,0.0,4.9999,13.593,0.7217,83.497,0.0,337.033,338.603,110.662,111.226,100.0,6.8671,32.2212,32.2161,25.3236,25.3171
