Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag
TGX201809,KOD1,B,2018-09-18T03:08:29,-151.5952,58.2418,69,41,40.64,3,60.7,1
TGX201809,KOD1,B,2018-09-18T03:07:29,-151.5952,58.2418,69,41,50.1,2,71.4,1
TGX201809,MID1,B,2018-09-19T15:26:11,-145.5005,60.2537,16,42,2.69,3,67.1,1
TGX201809,MID1,B,2018-09-19T15:25:15,-145.5005,60.2537,16,42,10.12,2,65.8,1
TGX201809,MID2,B,2018-09-19T18:25:20,-145.6487,60.1028,118,45,2.2,12,65.4,1
TGX201809,MID2,B,2018-09-19T18:23:41,-145.6487,60.1028,118,45,9.86,10,66,1
TGX201809,MID2,B,2018-09-19T18:22:57,-145.6487,60.1028,118,45,20.25,7,66.7,1
TGX201809,MID2,B,2018-09-19T18:21:44,-145.6487,60.1028,118,45,29.65,6,61.7,1
TGX201809,MID2,B,2018-09-19T18:20:55,-145.6487,60.1028,118,45,40.7,5,60.4,1
TGX201809,MID2,B,2018-09-19T18:19:31,-145.6487,60.1028,118,45,50.42,4,60.2,1
TGX201809,MID2,B,2018-09-19T18:18:21,-145.6487,60.1028,118,45,75.98,3,60.1,1
TGX201809,MID2,B,2018-09-19T18:16:13,-145.6487,60.1028,118,45,118.85,1,61.7,1
TGX201809,MID5,B,2018-09-20T17:29:47,-146.1077,59.6488,93,57,2.29,10,66.3,1
TGX201809,MID5,B,2018-09-20T17:28:23,-146.1077,59.6488,93,57,9.97,8,66.1,1
TGX201809,MID5,B,2018-09-20T17:27:23,-146.1077,59.6488,93,57,19.95,7,64.7,1
TGX201809,MID5,B,2018-09-20T17:26:21,-146.1077,59.6488,93,57,30.59,5,63.3,1
TGX201809,MID5,B,2018-09-20T17:25:25,-146.1077,59.6488,93,57,40.72,4,60.7,1
TGX201809,MID5,B,2018-09-20T17:24:29,-146.1077,59.6488,93,57,51.03,3,61.4,1
TGX201809,MID5,B,2018-09-20T17:23:25,-146.1077,59.6488,93,57,75.76,2,59.5,1
TGX201809,MID5,B,2018-09-20T17:22:21,-146.1077,59.6488,93,57,93.39,1,61.7,1
TGX201809,MID9,B,2018-09-21T01:48:23,-146.0985,59.067,2900,61,2.14,15,69.4,1
TGX201809,MID9,B,2018-09-21T01:47:20,-146.0985,59.067,2900,61,9.53,14,70.9,1
TGX201809,MID9,B,2018-09-21T01:46:13,-146.0985,59.067,2900,61,20.14,13,72.8,1
TGX201809,MID9,B,2018-09-21T01:45:18,-146.0985,59.067,2900,61,31.11,12,62.4,1
TGX201809,MID9,B,2018-09-21T01:44:26,-146.0985,59.067,2900,61,40.08,11,59.1,1
TGX201809,MID9,B,2018-09-21T01:43:33,-146.0985,59.067,2900,61,49.78,10,58.4,1
TGX201809,MID9,B,2018-09-21T01:42:09,-146.0985,59.067,2900,61,75.73,9,58.3,1
TGX201809,MID9,B,2018-09-21T01:37:54,-146.0985,59.067,2900,61,151.86,6,56.6,1
TGX201809,PWS2,B,2018-09-23T19:20:54,-147.8032,60.5353,737,79,2.12,14,61,1
TGX201809,PWS2,B,2018-09-23T19:19:54,-147.8032,60.5353,737,79,10.25,12,65.6,1
TGX201809,PWS2,B,2018-09-23T19:18:38,-147.8032,60.5353,737,79,20.31,10,62,1
TGX201809,PWS2,B,2018-09-23T19:17:35,-147.8032,60.5353,737,79,30.49,9,57.8,1
TGX201809,PWS2,B,2018-09-23T19:16:14,-147.8032,60.5353,737,79,40,8,58.6,1
TGX201809,PWS2,B,2018-09-23T19:15:12,-147.8032,60.5353,737,79,50.81,7,56.2,1
TGX201809,PWS2,B,2018-09-23T19:13:45,-147.8032,60.5353,737,79,75.9,6,56.2,1
TGX201809,PWS2,B,2018-09-23T19:12:00,-147.8032,60.5353,737,79,151.88,5,59.2,1
