Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,DOC_[umoles/L],Quality_flag,
TGX201904,MID1,B,2019-04-28T15:37:47,-145.5018,60.2495,17,3,17.21,2,58.4,1.0,
TGX201904,MID1,B,2019-04-28T15:38:53,-145.5018,60.2495,17,3,10,4,58.5,1.0,
TGX201904,MID2,B,2019-04-28T19:22:05,-145.6645,60.1053,119,6,114.99,1,57.4,1.0,
TGX201904,MID2,B,2019-04-28T19:24:06,-145.6645,60.1053,119,6,76.13,3,65.4,1.0,
TGX201904,MID2,B,2019-04-28T19:25:33,-145.6645,60.1053,119,6,50.92,5,35.6,1.0,
TGX201904,MID2,B,2019-04-28T19:26:45,-145.6645,60.1053,119,6,40.58,6,53.9,1.0,
TGX201904,MID2,B,2019-04-28T19:27:41,-145.6645,60.1053,119,6,30.69,7,57.8,1.0,
TGX201904,MID2,B,2019-04-28T19:28:29,-145.6645,60.1053,119,6,20.25,8,58.8,1.0,
TGX201904,MID2,B,2019-04-28T19:29:25,-145.6645,60.1053,119,6,9.8,9,58.2,1.0,
TGX201904,MID2,B,2019-04-28T19:30:14,-145.6645,60.1053,119,6,2.48,11,63.7,1.0,
TGX201904,PWS2,B,2019-04-30T19:58:20,-147.7983,60.5347,734,24,151.15,5,55.4,1.0,
TGX201904,PWS2,B,2019-04-30T20:01:44,-147.7983,60.5347,734,24,75.92,8,60.4,1.0,
TGX201904,PWS2,B,2019-04-30T20:02:55,-147.7983,60.5347,734,24,50.74,9,59.6,1.0,
TGX201904,PWS2,B,2019-04-30T20:04:05,-147.7983,60.5347,734,24,40.19,11,62.0,1.0,
TGX201904,PWS2,B,2019-04-30T20:04:52,-147.7983,60.5347,734,24,30.19,12,64.7,1.0,
TGX201904,PWS2,B,2019-04-30T20:05:37,-147.7983,60.5347,734,24,19.79,13,49.6,1.0,
TGX201904,PWS2,B,2019-04-30T20:06:29,-147.7983,60.5347,734,24,10.72,14,64.5,1.0,
TGX201904,PWS2,B,2019-04-30T20:07:23,-147.7983,60.5347,734,24,2.46,15,70.9,1.0,
TGX201904,GAK1,B,2019-05-01T16:04:47,-149.485,59.8462,270,30,76.23,1,58.6,1.0,
TGX201904,GAK1,B,2019-05-01T16:05:46,-149.485,59.8462,270,30,49.88,2,59.6,1.0,
TGX201904,GAK1,B,2019-05-01T16:06:56,-149.485,59.8462,270,30,40.25,4,63.2,1.0,
TGX201904,GAK1,B,2019-05-01T16:07:35,-149.485,59.8462,270,30,29.45,5,59.0,1.0,
TGX201904,GAK1,B,2019-05-01T16:08:22,-149.485,59.8462,270,30,20.81,6,60.1,1.0,
TGX201904,GAK1,B,2019-05-01T16:08:54,-149.485,59.8462,270,30,10.09,7,61.9,1.0,
TGX201904,GAK1,B,2019-05-01T16:57:43,-149.4833,59.8447,270,31,252.41,3,56.9,1.0,
TGX201904,GAK1,B,2019-05-01T17:00:19,-149.4833,59.8447,270,31,151.26,7,57.8,1.0,
TGX201904,GAK5,B,2019-05-02T16:24:36,-148.9298,59.2432,167,40,150.23,2,60.3,1.0,
TGX201904,GAK5,B,2019-05-02T16:28:11,-148.9298,59.2432,167,40,75.66,5,59.8,1.0,
TGX201904,GAK5,B,2019-05-02T16:29:13,-148.9298,59.2432,167,40,49.72,6,62.9,1.0,
TGX201904,GAK5,B,2019-05-02T16:29:59,-148.9298,59.2432,167,40,39.53,8,63.8,1.0,
TGX201904,GAK5,B,2019-05-02T16:30:55,-148.9298,59.2432,167,40,30.89,10,63.8,1.0,
TGX201904,GAK5,B,2019-05-02T16:31:35,-148.9298,59.2432,167,40,20.1,11,63.4,1.0,
TGX201904,GAK5,B,2019-05-02T16:32:26,-148.9298,59.2432,167,40,10.75,13,65.5,1.0,
TGX201904,GAK5,B,2019-05-02T16:33:17,-148.9298,59.2432,167,40,2.56,14,63.2,1.0,
TGX201904,GAK9,B,2019-05-04T16:34:40,-148.3492,58.6778,277,49,249.38,2,51.7,1.0,
TGX201904,GAK9,B,2019-05-04T16:37:52,-148.3492,58.6778,277,49,152.59,4,64.7,1.0,
TGX201904,GAK9,B,2019-05-04T16:40:21,-148.3492,58.6778,277,49,75.44,7,61.3,1.0,
TGX201904,GAK9,B,2019-05-04T16:41:11,-148.3492,58.6778,277,49,50.23,8,75.3,1.0,
TGX201904,GAK9,B,2019-05-04T16:42:16,-148.3492,58.6778,277,49,41.07,10,67.9,1.0,
TGX201904,GAK9,B,2019-05-04T16:43:01,-148.3492,58.6778,277,49,31.42,11,59.5,1.0,
TGX201904,GAK9,B,2019-05-04T16:43:35,-148.3492,58.6778,277,49,20,12,64.2,1.0,
TGX201904,GAK9,B,2019-05-04T16:44:08,-148.3492,58.6778,277,49,9,14,63.5,1.0,
TGX201904,GAK9,B,2019-05-04T16:44:59,-148.3492,58.6778,277,49,2.41,15,61.1,1.0,
TGX201904,GAK15,B,2019-05-05T06:52:20,-147.5018,57.7918,4543,57,1010.39,1,43.7,1.0,
TGX201904,GAK15,B,2019-05-05T07:02:23,-147.5018,57.7918,4543,57,506.32,3,44.1,1.0,
TGX201904,GAK15,B,2019-05-05T07:06:42,-147.5018,57.7918,4543,57,254.85,4,62.1,1.0,
TGX201904,GAK15,B,2019-05-05T07:09:37,-147.5018,57.7918,4543,57,152.26,6,53.3,1.0,
TGX201904,GAK15,B,2019-05-05T07:12:16,-147.5018,57.7918,4543,57,74.97,8,55.3,1.0,
TGX201904,GAK15,B,2019-05-05T07:13:16,-147.5018,57.7918,4543,57,50.68,9,59.5,1.0,
TGX201904,GAK15,B,2019-05-05T07:14:09,-147.5018,57.7918,4543,57,39.96,10,61.3,1.0,
TGX201904,GAK15,B,2019-05-05T07:14:49,-147.5018,57.7918,4543,57,30.25,11,60.6,1.0,
TGX201904,GAK15,B,2019-05-05T07:15:31,-147.5018,57.7918,4543,57,19.8,12,53.8,1.0,
TGX201904,GAK15,B,2019-05-05T07:16:26,-147.5018,57.7918,4543,57,10.02,13,62.5,1.0,
TGX201904,GAK15,B,2019-05-05T07:17:10,-147.5018,57.7918,4543,57,2.31,15,63.7,1.0,
TGX201904,KOD10,B,2019-05-06T21:20:04,-149.7008,57.2095,2503,62,1013.12,1,44.1,1.0,
TGX201904,KOD10,B,2019-05-06T21:30:40,-149.7008,57.2095,2503,62,507.2,3,49.3,1.0,
TGX201904,KOD10,B,2019-05-06T21:35:25,-149.7008,57.2095,2503,62,251.73,4,52.1,1.0,
TGX201904,KOD10,B,2019-05-06T21:37:54,-149.7008,57.2095,2503,62,150.6,6,54.5,1.0,
TGX201904,KOD10,B,2019-05-06T21:41:20,-149.7008,57.2095,2503,62,75.55,9,58.6,1.0,
TGX201904,KOD10,B,2019-05-06T21:42:18,-149.7008,57.2095,2503,62,50.48,10,60.7,1.0,
TGX201904,KOD10,B,2019-05-06T21:42:55,-149.7008,57.2095,2503,62,41.73,11,59.4,1.0,
TGX201904,KOD10,B,2019-05-06T21:43:42,-149.7008,57.2095,2503,62,30.96,12,57.0,1.0,
TGX201904,KOD10,B,2019-05-06T21:44:36,-149.7008,57.2095,2503,62,19.99,13,61.1,1.0,
TGX201904,KOD10,B,2019-05-06T21:45:19,-149.7008,57.2095,2503,62,9.25,14,62.0,1.0,
TGX201904,KOD10,B,2019-05-06T21:45:58,-149.7008,57.2095,2503,62,2.13,15,60.5,1.0,
TGX201904,KOD1,B,2019-05-08T14:14:59,-151.5818,58.2447,70,67,49.5,3,58.8,1.0,
TGX201904,KOD1,B,2019-05-08T14:15:41,-151.5818,58.2447,70,67,39.52,5,58.7,1.0,
