Cruise,Station,Type,Date_Time_[UTC],Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth_[m],Cast_Number,Depth _[m],Bottle_Number,Total_MZ_Biomass_[ug C/L],Ciliate_Biomass_[ug C/L],Dinoflagellate_Biomass_[ug C/L],Biomass_Ciliates_<20 um,Biomass_Ciliates_20-39_um,Biomass_Ciliates_40-59_um,Biomass_Ciliate_>60_um,C_Tontonia_like_biomass,C_Laboea_biomass,C_Strombidium_spp._biomass,C_Mesodinium_biomass,C_Strombidinopsis_biomass,C_Strobilidium_Biomass,C_Tiarina_biomass,C_Didinium_biomass,C_Scuticociliates_biomass,C_Tintinnids_biomass,C_Other_Oligotrichs_biomass,Biomass_Dinos_<20_um,Biomass_Dinos_20-39_um,Biomass_Dinos_40-59_um,Biomass_Dinos_>60_um,D_Gymnodinium/Gyrodinium_biomass,D_Ceratium_fusus_biomass,D_Ceratium_cf._tripos_biomass,D_Ceratium_cf._lineatum_biomass,D_Dinophysis_biomass,D_Torodinium_biomass,D_Prorocentrum_biomass,D_Protoperidinium-like_biomass,D_Thecate_no_spines_biomass,D_Pyrocystis_biomass,D_Amphidinium/Katodinium_biomass,D_Polykrikos_biomass,D_Misc._Dinoflagellates_biomass,Data_Quality_Flag,,
SKQ202207S,PWS2,B,2022-04-23T01:04:43,-147.8007,60.5362,725,3,10.03,20,28.197,19.615,8.582,2.438,3.791,2.694,10.691,0.000,0.000,9.682,1.727,0.000,0.275,1.706,0.000,0.331,0.145,5.747,2.492,4.013,2.077,0.000,1.862,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.105,0.000,0.151,0.000,3.463,1,,
SKQ202207S,MID5,B,2022-04-24T19:40:49,-146.1053,59.6442,97,17,10.37,13,5.654,1.956,3.699,0.442,0.675,0.111,0.727,0.000,0.000,0.974,0.218,0.000,0.000,0.000,0.000,0.104,0.026,0.634,0.827,1.744,0.652,0.476,0.175,0.000,0.186,0.000,0.000,0.046,0.000,0.000,0.822,0.000,0.338,0.000,2.132,1,,
SKQ202207S,MID2,B,2022-04-25T04:30:26,-145.6523,60.0997,118,23,10.56,18,13.162,7.047,6.114,0.371,1.712,1.547,3.418,0.000,0.000,2.540,0.190,0.000,0.326,0.000,0.000,0.057,0.000,3.934,2.522,2.937,0.656,0.000,0.768,0.000,0.368,0.000,0.000,0.125,0.000,0.000,1.617,0.000,0.282,0.000,2.954,1,,
SKQ202207S,MID10,B,2022-04-26T17:31:34,-146.0008,58.9097,4444,30,9.88,19,12.133,7.530,4.603,0.791,1.845,4.287,0.608,0.375,0.000,3.295,1.002,0.000,0.850,0.000,0.000,0.000,0.000,2.008,1.086,2.125,1.392,0.000,0.387,0.000,0.000,0.000,0.000,0.303,0.000,0.000,2.396,0.000,0.200,0.000,1.316,1,,
SKQ202207S,KOD10,B,2022-04-27T22:16:08,-149.721,57.2047,2360,33,10.25,19,7.065,4.418,2.647,0.296,1.567,2.555,0.000,0.011,0.000,2.794,0.908,0.000,0.000,0.000,0.000,0.000,0.000,0.705,0.654,1.920,0.073,0.000,0.125,0.000,0.000,0.000,0.000,0.073,0.000,0.000,0.242,0.000,0.642,0.000,1.565,1,,
SKQ202207S,KOD5,B,2022-04-29T00:02:12,-150.7543,57.7863,89,39,10.03,16,34.38,10.295,24.085,1.243,1.358,2.382,5.312,0.083,1.208,0.593,1.692,0.000,0.819,0.000,0.000,3.503,1.324,1.075,1.588,8.807,4.647,9.043,4.687,0.496,0.000,0.000,0.000,0.188,0.000,1.512,7.364,0.000,1.742,0.000,8.095,1,,
SKQ202207S,GAK1,B,2022-05-03T20:57:36,-149.4685,59.8452,268,47,10.52,19,33.431,25.320,8.112,1.293,1.621,4.188,18.218,0.019,0.000,4.523,0.351,16.726,1.450,0.000,0.000,0.248,0.025,1.977,1.352,4.580,0.604,1.576,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.929,0.000,1.373,0.000,5.521,1,,
SKQ202207S,GAK3,B,2022-05-04T05:41:10,-149.1868,59.5502,212,49,10.75,20,21.710,8.325,13.385,1.968,2.932,1.736,1.689,0.182,0.000,1.502,0.096,0.000,0.816,0.000,0.109,0.323,2.734,2.564,0.922,6.594,3.141,2.729,2.205,0.000,0.000,0.000,0.000,0.106,0.023,1.341,5.536,0.000,2.002,0.000,2.171,1,,
SKQ202207S,GAK5,B,2022-05-04T22:02:55,-148.9102,59.2612,167,52,9.7,17,20.443,6.631,13.811,0.892,0.627,0.421,4.692,0.006,0.000,0.751,3.973,0.000,0.290,0.000,0.000,0.214,0.511,0.887,1.784,4.253,4.653,3.121,1.037,0.000,0.000,0.622,0.000,0.000,0.000,0.000,8.350,0.000,0.721,0.000,3.081,1,,
SKQ202207S,GAK7,B,2022-05-05T02:24:32,-148.6305,58.9723,240,54,10.61,20,30.513,18.976,11.537,0.567,0.794,0.866,16.748,0.000,0.000,0.898,0.255,0.000,16.591,0.000,0.000,0.087,0.128,1.018,1.462,3.939,3.382,2.754,2.569,0.000,0.000,0.000,0.000,0.000,0.000,0.303,4.254,0.000,1.027,0.000,3.385,1,,
