Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Bottle_Number,Oligotrich_Ciliates_<20,Oligotrich_Ciliate_20-39,Oligotrich_Ciliate_40-59,Oligotrich_Ciliate_>60,Laboea,Tintinnids,Dinoflagellate_<20,Dinoflagellate_20-39,Dinoflagellate_40-59,Dinoflagellate_>60,Silicoflagellate,Total_Ciliates ,Total_Dinoflagellates,Quality_flag
TGX201904,MID1,B,2019-04-28T15:38:53,-145.5018,60.2495,17,3,10,4,0.29,0.39,0.07,0,0,0,0.45,1.09,0.45,0.25,0.01,0.75,2.25,1
TGX201904,MID2,B,2019-04-28T19:29:29,-145.6645,60.1053,119,6,9.96,10,0.18,1.03,0.09,0,0,0,0.32,0.18,0,0,0.03,1.31,0.5,1
TGX201904,MID3,B,2019-04-28T21:12:38,-145.7958,59.9512,85,8,9.14,11,0.57,4.45,1.19,0,1.49,0,1.72,0.54,0.73,2.06,0.74,7.71,5.04,1
TGX201904,MID4,B,2019-04-28T23:23:39,-145.9467,59.7997,89,10,10.17,7,0.32,3.24,0.75,0,0,0,0.84,0.26,0,0.12,0.09,4.31,1.22,1
TGX201904,MS2,B,2019-04-30T01:50:11,-147.8965,59.9443,191,19,9.82,11,0.88,0.76,0,0,0.84,0.24,1.35,2.26,1.98,0.97,0.06,2.72,6.56,1
TGX201904,MS2,B,2019-04-30T01:50:11,-147.8965,59.9443,191,19,9.82,11,1.17,2.55,3.36,0.51,0,0.28,1.89,4.85,2.32,0.38,0.26,7.87,9.45,1
TGX201904,PWSA,B,2019-04-30T14:47:53,-147.3928,60.8255,462,21,9.73,12,1.95,2.06,1.07,0,0,2.62,4.32,2.8,0.19,0.79,0.33,7.69,8.1,1
TGX201904,PWS2,B,2019-04-30T20:06:29,-147.7983,60.5347,734,24,10.72,14,1.4,0.52,2.4,1.33,0,0,2.17,1.26,0.16,0,0.09,5.65,3.59,1
TGX201904,GAK1,B,2019-05-01T16:08:57,-149.485,59.8462,270,30,10.32,8,3.9,2,0.31,0,0,0.53,2.34,2.31,3.96,0,2.12,6.74,8.6,1
TGX201904,GAK1,B,2019-05-01T16:08:57,-149.485,59.8462,270,30,10.32,8,4.8,4.53,0.58,0,0,0,2.62,4.41,1.88,0,1.68,9.92,8.91,1
TGX201904,GAK3,B,2019-05-01T22:06:08,-149.1873,59.552,215,36,10.38,13,0.8,1.35,1.14,0,0,0,0.79,0.61,0,0,0.01,3.29,1.4,1
TGX201904,GAK5,B,2019-05-02T16:32:23,-148.9298,59.2432,167,40,9.55,12,2.36,2.66,4.39,0,0.21,0,2.75,1.22,0,0,0.05,9.61,3.97,1
TGX201904,GAK7,B,2019-05-02T22:05:43,-148.6348,58.9733,240,45,10.23,13,1.81,3.3,1.82,0,2.78,0,2.48,1.58,0.7,0,0.23,9.71,4.76,1
TGX201904,GAK9,B,2019-05-04T16:44:03,-148.3492,58.6778,277,49,9.12,13,2.27,2.88,0.1,0,0,0,1.99,0.95,0,0,0.22,5.24,2.94,1
TGX201904,GAK11,B,2019-05-04T22:24:07,-148.0735,58.3878,2134,53,9.68,14,1.26,1.8,2.96,0,0,0,1.64,0.62,0,0,0.2,6.02,2.25,1
TGX201904,GAK13,B,2019-05-05T02:41:06,-147.7837,58.0967,2058,55,10.13,14,1.96,2.88,3.34,0.4,0,0,2,2.28,0.56,0,0.19,8.58,4.84,1
TGX201904,KOD12,B,2019-05-06T16:25:24,-149.2922,56.9678,5000,59,76.14,9,0.12,1,2.1,0.42,0,0,0.53,0.74,0.82,0.19,0.01,3.64,2.27,1
TGX201904,KOD12,B,2019-05-06T16:28:40,-149.2922,56.9678,5000,59,30.16,12,0.39,0.5,0.2,0.28,0,0.05,0.41,0.63,0.53,0.06,0,1.4,1.63,1
TGX201904,KOD12,B,2019-05-06T16:30:37,-149.2922,56.9678,5000,59,10.5,14,0.72,0.52,1.5,0,0,0,2.35,3.51,3.53,2.71,0.02,2.75,12.09,1
TGX201904,KOD12,B,2019-05-06T16:31:24,-149.2922,56.9678,5000,59,2.97,15,0.41,1.59,0.41,0,0,0.01,2.03,2.03,4.52,1.05,0.03,2.42,9.63,1
TGX201904,KOD11,B,2019-05-06T18:35:19,-149.5078,57.0875,2750,60,76.07,9,0.11,0.5,0.78,1.08,0,0.02,0.43,0.86,0.48,0.45,0,2.48,2.22,1
TGX201904,KOD11,B,2019-05-06T18:38:30,-149.5078,57.0875,2750,60,30.02,12,0.87,0.36,0.38,0,0,0,0.75,0.97,0.95,0.51,0,1.61,3.18,1
TGX201904,KOD11,B,2019-05-06T18:40:10,-149.5078,57.0875,2750,60,9.17,14,1.47,2.92,2.52,0,0,0,2.21,1.71,1.37,2.71,0.1,6.91,8,1
TGX201904,KOD11,B,2019-05-06T18:41:08,-149.5078,57.0875,2750,60,2.36,15,1.26,2.25,1.06,0.45,0,0,2.15,3.17,3.61,1.15,0.08,5.02,10.08,1
TGX201904,KOD10,B,2019-05-06T21:45:19,-149.7008,57.2095,2503,62,9.25,14,1.27,2.92,4.38,0,0,0,3.04,2.32,1.23,0.56,0.19,8.57,7.15,1
TGX201904,KOD7,B,2019-05-07T03:18:24,-150.3383,57.5572,181,65,9.95,13,0.07,0.76,0.27,0,0,0,0.49,0.51,0.12,0,0.01,1.1,1.12,1
TGX201904,KOD1,B,2019-05-08T14:17:44,-151.5818,58.2447,70,67,9.24,9,0.58,0.38,0.16,0,0,0.25,1.04,0.81,0.28,0,0.02,1.38,2.13,1
TGX201904,KOD3,B,2019-05-08T17:08:53,-151.179,58.014,75,69,9.77,12,0.95,3.08,6.17,1.79,0.69,0.17,1.88,3.54,1.04,0.05,0.08,12.84,6.51,1
TGX201904,KOD5,B,2019-05-08T20:56:25,-150.7623,57.7837,85,72,9.16,10,0.31,5.06,6.03,1.87,4.64,0.04,0.64,1.71,0.12,0.46,0.01,17.94,2.93,1
